报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),182592,108132,58958,177536,126503,75691,37488,133116,89203,58137,26796,91921,58717,47328,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),1307,715,265,508,946,258,,246,1287,,,222,152,164,
收到的其他与经营活动有关的现金(万元),9154,6453,4169,1799,23443,15589,164,1470,27199,765,684,634,926,300,
经营活动现金流入小计(万元),193053,115300,63392,179843,150892,91537,37651,134832,117689,58902,27480,92778,59795,47792,
购买商品、接受劳务支付的现金(万元),138200,80058,46988,134292,96373,57702,32760,96317,65197,46319,24025,71622,43574,34001,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),19368,13125,5881,16710,12498,7988,3828,12958,9837,6253,3195,10083,5564,4150,
支付的各项税费(万元),6378,4480,2260,7118,5620,3801,1264,5319,4882,3190,814,3537,3161,1739,
支付的其他与经营活动有关的现金(万元),20327,12840,6820,8708,32853,21095,1600,5894,34848,2741,364,6016,4074,2685,
经营活动现金流出小计(万元),184273,110502,61948,166828,147345,90586,39452,120488,114763,58504,28398,91257,56374,42575,
经营活动产生的现金流量净额(万元),8780,4798,1444,13014,3547,952,-1800,14344,2925,398,-918,1520,3421,5217,
收回投资所收到的现金(万元),,,,,,,,,907,,,,,,
取得投资收益所收到的现金(万元),556,362,267,238,106,67,55,194,93,74,33,2562,231,28,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),116,100,44,918,15,72,3,989,116,946,23,73,0,40,
处置子公司及其他营业单位收到的现金净额(万元),,,,175,,,,,,,,1792,,,
收到的其他与投资活动有关的现金(万元),159802,111117,64712,70841,35921,19051,15051,50039,34030,22700,10500,27400,60000,4900,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,
投资活动现金流入小计(万元),160475,111579,65024,72171,36042,19190,15109,51221,35146,23720,10556,31827,60231,4967,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),14021,12101,7038,16383,11219,5660,3823,11963,6472,3989,1365,5684,3366,2396,
投资所支付的现金(万元),1924,1685,1000,973,45,45,,,,,,,4002,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),32633,29200,13340,20572,20464,30,,3303,3407,,,4899,2019,,
支付的其他与投资活动有关的现金(万元),137010,87970,51960,98670,57435,19605,10000,51090,38190,19700,7500,32300,59827,7220,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,
投资活动现金流出小计(万元),185588,130956,73338,136598,89164,25340,13823,66357,48069,23689,8865,42883,69214,9617,
投资活动产生的现金流量净额(万元),-25113,-19377,-8314,-64427,-53122,-6150,1286,-15136,-12923,32,1691,-11056,-8984,-4649,
吸收投资收到的现金(万元),,,,38918,40373,,,5,5,,,9011,17300,171,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,5,,,,,200,,
取得借款收到的现金(万元),39216,18804,7000,28218,20218,8040,7740,12600,11400,9000,,1800,,1318,
发行债券收到的现金(万元),,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,0,,,,,,2100,,2400,
筹资活动现金流入小计(万元),39216,18804,7000,67136,60591,8040,7740,12605,11405,9000,0,12911,17300,3889,
偿还债务支付的现金(万元),27900,7154,6046,18440,20897,11547,9000,2400,661,,,1700,1318,704,
分配股利、利润或偿付利息所支付的现金(万元),3164,2643,347,543,511,368,148,307,178,54,26,607,29,21,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1,1,,2535,1187,61,,,,,,1649,4642,2932,
筹资活动现金流出小计(万元),31064,9797,6393,21518,22595,11975,9148,2707,839,54,26,3956,5989,3657,
