报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),31604,20379,9937,48007,36472,23097,13737,54782,41541,22736,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),1431,743,390,1596,1101,947,423,2202,885,796,
收到的其他与经营活动有关的现金(万元),1383,1040,486,3832,1340,1285,400,1637,576,546,
经营活动现金流入小计(万元),34418,22162,10813,53435,38913,25329,14560,58621,43003,24078,
购买商品、接受劳务支付的现金(万元),15389,9047,5713,18045,13945,9363,5711,26056,16043,11747,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5862,3671,1581,7380,5387,3566,1622,7175,5654,4017,
支付的各项税费(万元),2868,1876,1227,3703,3020,2031,1158,3495,3097,1436,
支付的其他与经营活动有关的现金(万元),3203,2386,1087,1867,2039,897,933,1803,4278,1432,
经营活动现金流出小计(万元),27323,16978,9610,30996,24390,15857,9424,38529,29071,18632,
经营活动产生的现金流量净额(万元),7095,5184,1204,22439,14522,9472,5137,20091,13931,5446,
收回投资所收到的现金(万元),104797,79010,2638,136144,106983,71116,14090,56644,53189,23330,
取得投资收益所收到的现金(万元),511,384,234,396,232,123,39,77,774,2994,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),51,33,33,43,11,0,,9,2,1,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,145,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),105359,79427,2905,136582,107226,71239,14129,56730,53965,26470,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),2146,1425,761,8854,7724,5889,2476,11693,2678,1963,
投资所支付的现金(万元),132438,80227,592,152945,123537,79620,16302,59611,51779,27740,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,223,342,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),134584,81652,1353,161799,131261,85509,18778,71527,54799,29703,
投资活动产生的现金流量净额(万元),-29225,-2224,1552,-25216,-24035,-14270,-4649,-14797,-834,-3234,
吸收投资收到的现金(万元),36342,,,,,,,12,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,
取得借款收到的现金(万元),3600,3600,3600,11080,6380,2940,1980,11676,5871,,
发行债券收到的现金(万元),,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,507,2595,
筹资活动现金流入小计(万元),39942,3600,3600,11080,6380,2940,1980,11688,6378,2595,
偿还债务支付的现金(万元),10500,10500,2200,8180,5980,4000,,11731,2383,,
分配股利、利润或偿付利息所支付的现金(万元),90,90,79,122,122,110,52,104,4318,2840,
其中：子公司支付给少数股东的股利、利润(万元),0,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),66,,,170,170,145,,503,414,2631,
筹资活动现金流出小计(万元),10656,10590,2279,8472,6272,4255,52,12338,7115,5471,
筹资活动产生的现金流量净额(万元),29286,-6990,1321,2608,108,-1315,1928,-650,-737,-2876,
汇率变动对现金及现金等价物的影响(万元),-50,334,294,295,376,-11,-381,546,-505,187,
现金及现金等价物净增加额(万元),7105,-3697,4370,126,-9029,-6123,2034,5191,11856,-476,
加:期初现金及现金等价物余额(万元),18801,18801,18801,18675,18675,18675,18675,13484,1629,2104,
期末现金及现金等价物余额(万元),25907,15104,23172,18801,9646,12552,20710,18675,13484,1629,
净利润(万元),,,3312,18250,,9238,3189,20164,13442,8735,
少数股东损益(万元),,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,
资产减值准备(万元),,,-65,172,,287,-74,1038,370,438,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,,502,1912,,903,455,1012,772,554,
无形资产摊销(万元),,,34,102,,35,13,42,16,15,
长期待摊费用摊销(万元),,,105,317,,153,76,173,139,108,
待摊费用的减少(万元),,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,-20,,,,-4,-0,1,
固定资产报废损失(万元),,,0,0,,0,,15,7,1,
公允价值变动损失(万元),,,,,,,,,-1893,1893,
递延收益增加(减：减少)(万元),,,,,,,,,,,
预计负债(万元),,,,,,,,,,,
财务费用(万元),,,-205,-197,,97,423,-301,514,-146,
投资损失(万元),,,-234,-493,,-222,-39,-506,1827,-1879,
递延所得税资产减少(万元),,,-67,-304,,-241,-65,-405,221,-370,
递延所得税负债增加(万元),,,8,339,,258,40,615,36,54,
存货的减少(万元),,,-176,201,,2352,531,-3267,-1357,-4133,
经营性应收项目的减少(万元),,,1238,242,,111,-1760,152,-3111,-2360,
经营性应付项目的增加(万元),,,-3247,1917,,-3500,2348,1253,1045,2535,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,
其他(万元),,,,,,,,110,1905,,
经营活动产生现金流量净额(万元),,,1204,22439,,9472,5137,20091,13931,5446,
债务转为资本(万元),,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,
现金的期末余额(万元),25907,15104,23172,18801,9646,12552,20710,18675,13484,1629,
现金的期初余额(万元),18801,18801,18801,18675,18675,18675,18675,13484,1629,2104,
现金等价物的期末余额(万元),,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,
现金及现金等价物的净增加额(万元),7105,-3697,4370,126,-9029,-6123,2034,5191,11856,-476,

