报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,
销售商品、提供劳务收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,1011182,802028,,-706116,-914451,-584321,,614271,-155793,86349,-987361,-122202,-62900,-809984,-45648,-291602,-170160,251567,-92929,
收取利息、手续费及佣金的现金(万元),1196715,766434,352111,1561591,1126915,775776,382141,1486555,930020,597774,320565,1495280,1101687,730410,1913713,955994,330766,918293,309406,576669,235422,440319,177141,
拆入资金净增加额(万元),650000,390000,80000,,,,,464000,-161000,-36000,,707600,171600,-58400,-130000,-30000,-30000,-143600,10000,392000,257000,110000,150000,
回购业务资金净增加额(万元),1393602,1004561,1219188,559429,1086462,612449,1067293,,-95509,2428,114666,,-136258,-7646,,-153617,180714,1624375,-206724,447315,393395,392519,278698,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),259339,145312,116182,91066,132428,116701,487400,306866,279151,294875,90791,462038,620051,268587,408157,220011,232159,338812,22536,108046,73696,17689,30544,
经营活动现金流入小计(万元),4857355,4090171,3670346,4410772,3977376,2742257,2851889,1551305,38211,274756,526021,3775460,2420170,1824706,4060335,7902125,2675350,4311317,456398,1232429,635391,1032899,367284,
购买商品、接受劳务支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),200110,130259,67589,286682,230147,163836,69984,316247,227260,143238,70270,263563,191031,137093,292662,144443,45825,123862,42285,80309,33350,73572,37487,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),331959,146869,75917,416624,302755,147545,77570,426718,345061,227897,69013,431009,356133,241780,366197,168115,43017,171598,92012,150335,83452,133015,77726,
支付的各项税费(万元),145327,89750,27720,164622,127214,77763,38724,245151,66767,23986,76412,240141,229991,172469,331343,162664,52970,166000,73910,95921,53044,66718,75459,
支付的其他与经营活动有关的现金(万元),351550,302037,178044,274973,151065,236462,88451,499933,502982,375051,211842,329125,200392,104356,278947,255642,122425,228486,162143,119457,710094,244746,48089,
经营活动现金流出小计(万元),3334847,2303897,1627658,3960450,3027568,1927634,1381423,6130232,3155852,1825265,1624913,3292454,2777950,1461023,2411948,1812871,678445,2407669,533418,1971549,879941,518051,271865,
经营活动产生的现金流量净额(万元),1522508,1786274,2042688,450322,949809,814624,1470466,-4578927,-3117641,-1550509,-1098891,483006,-357779,363683,1648387,6089253,1996906,1903647,-77021,-739120,-244549,514848,95419,
收回投资所收到的现金(万元),10863,8958,2821,15954,753,1285,228,243,243,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),403,395,281,242,406,233,382,694,453,,,,,,,,,352,246,494,387,264,79,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),18636,18627,12080,28189,27660,13,2250,43984,27504,18761,18083,66,1579,9,132,87,129129,349058,80133,1272,1309,70,30,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),29902,27979,15182,44385,28818,1531,2859,44921,28200,18761,18083,66,1579,9,132,87,129129,349410,80379,1766,-438720,-512174,-151251,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),14116,7122,2196,17287,10561,7659,5292,25823,11642,6211,1212,26209,14894,9655,28201,5670,2028,19377,5312,14832,3350,11420,3727,
投资所支付的现金(万元),363936,267058,159629,23635,278599,281343,,1525,243,,,7050,3843,,3000,,,39540,7000,5025,2984,5668,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,18631,31113,12406,,31760,32101,32468,,26589,1006253,964314,46841,9967,,,,558213,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),378052,274180,161826,59552,320273,301409,55774,441871,416428,254217,488721,1729492,1024990,973969,412537,15637,2028,58917,12312,578070,6333,17089,3727,
