报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),208848,147247,74588,244579,219890,154538,86001,206302,177275,126821,75246,142218,96694,60397,35008,110238,78675,53560,35851,120240,110246,107363,69480,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),2308,1182,948,1822,756,586,367,2230,476,417,260,506,807,203,189,165,104,171,66,300,201,631,2448,
经营活动现金流入小计(万元),211155,148429,75536,246401,220647,155124,86368,208532,177752,127238,75506,142725,97501,60600,35197,110403,78779,53731,35918,120540,110447,107994,71928,
购买商品、接受劳务支付的现金(万元),160314,112405,56714,220532,172974,119271,69022,177765,160308,115894,83183,140603,97891,54837,37191,108350,91665,64716,44164,116165,113810,92123,63343,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5150,3361,1667,6490,4758,3392,1575,5928,4619,2884,1372,5532,4098,2605,1279,4607,3156,2105,1093,4098,3186,2466,1420,
支付的各项税费(万元),10052,7067,3777,9889,11016,8310,3903,9117,6826,4845,2186,10089,7540,4954,1761,8275,6485,5177,2008,8192,7547,6430,3671,
支付的其他与经营活动有关的现金(万元),2682,2348,2160,3238,22316,21583,20761,9553,10072,7204,642,9816,6749,2754,238,3148,2938,1698,1410,2741,2954,1697,1625,
经营活动现金流出小计(万元),178198,125181,64318,240150,211064,152556,95261,202362,181825,130827,87383,166040,116278,65150,40470,124379,104244,73696,48674,131195,127496,102715,70058,
经营活动产生的现金流量净额(万元),32957,23248,11218,6251,9583,2568,-8893,6169,-4073,-3588,-11877,-23315,-18777,-4550,-5273,-13976,-25465,-19965,-12756,-10655,-17049,5279,1870,
收回投资所收到的现金(万元),,,,5500,5500,2000,2000,7000,4000,4000,4000,5000,,,,,,,,,,1000,100,
取得投资收益所收到的现金(万元),273,273,214,2046,2046,43,43,716,716,716,68,41,,,,,,,,62,,4,2,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,,,100,100,100,100,,,,,,,,,,,1,7,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,135,558,
收到的其他与投资活动有关的现金(万元),,,,20000,,,,,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),273,273,214,27546,7546,2043,2043,7817,4816,4816,4168,5041,0,0,0,0,0,0,0,62,0,1140,667,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3,2,1,4640,3149,2261,819,5137,4046,2163,980,4834,3538,1994,385,250,117,102,38,1680,267,1153,4761,
投资所支付的现金(万元),,,,15000,,,,36500,36500,28000,28000,31636,9690,690,,500,0,0,,500,,600,600,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,25189,25187,25187,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,20000,,,,,,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),3,2,1,39640,3149,2261,819,41637,40546,30163,28980,61659,38415,27871,385,750,117,102,38,2180,267,1753,5361,
投资活动产生的现金流量净额(万元),270,271,213,-12094,4396,-218,1224,-33820,-35730,-25347,-24812,-56618,-38415,-27871,-385,-750,-117,-102,-38,-2118,-267,-613,-4694,
吸收投资收到的现金(万元),,,,,,,,,,,,43120,43120,43120,43120,,,,,142,,8858,5375,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,142,,,,
