报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),69689,45083,20601,85408,59219,35945,17178,76409,55876,36871,15943,58363,42241,30531,22190,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,
收到的税费返还(万元),8253,5816,2752,9305,6920,4654,2391,7639,5480,3678,1487,5573,3891,2365,2116,
收到的其他与经营活动有关的现金(万元),5790,3535,2061,8976,7476,5316,1731,8445,5107,3268,1660,5509,6103,6792,8806,
经营活动现金流入小计(万元),83732,54434,25413,103689,73615,45915,21300,92492,66463,43818,19091,69445,52235,39688,33112,
购买商品、接受劳务支付的现金(万元),50382,32653,16248,59880,45901,28848,14227,49786,36089,23393,10668,34928,24740,20767,15286,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),14978,9644,4432,16248,11860,7714,3535,14018,10730,7442,3594,10063,6344,4748,3510,
支付的各项税费(万元),2681,1615,1108,2993,1988,1188,828,2768,2049,1411,629,2745,1512,354,408,
支付的其他与经营活动有关的现金(万元),13776,9151,4885,18035,12772,7245,4664,15371,10565,6745,4055,10922,10418,9498,10125,
经营活动现金流出小计(万元),81816,53062,26673,97155,72521,44995,23253,81944,59432,38991,18946,58657,43014,35367,29329,
经营活动产生的现金流量净额(万元),1916,1372,-1260,6534,1094,920,-1953,10548,7030,4827,144,10788,9221,4321,3783,
收回投资所收到的现金(万元),66600,52500,16100,114450,69107,54600,11000,96900,79900,58900,20100,56060,20900,11050,1960,
取得投资收益所收到的现金(万元),461,395,102,1026,370,346,18,214,178,113,47,168,212,114,31,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),21,19,19,14,14,2,,5,5,2,,6,9,2,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,632,200,200,,400,400,,,290,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),67082,52913,16220,116122,69691,55149,11018,97519,80483,59016,20147,56523,21120,11166,1991,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4879,2851,1747,11316,3175,1922,717,9081,1973,1108,740,3138,2065,438,1277,
投资所支付的现金(万元),50300,30600,11100,143850,107596,61600,12200,96900,88700,58900,23900,56060,19400,11450,3060,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,1844,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,545,955,545,400,174,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),55179,33451,12847,155166,110771,63522,12917,106526,91628,60553,25040,59372,23309,11888,4337,
投资活动产生的现金流量净额(万元),11902,19462,3374,-39044,-41080,-8373,-1899,-9007,-11145,-1537,-4894,-2849,-2189,-722,-2347,
吸收投资收到的现金(万元),,,,36930,36930,36930,36930,,,,,,720,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,,,,,1000,2300,5600,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),0,0,0,36930,36930,36930,36930,0,0,0,0,0,1720,2300,5600,
偿还债务支付的现金(万元),,,,,,,,,,,,,2000,4800,6400,
分配股利、利润或偿付利息所支付的现金(万元),1711,1711,,800,800,776,,4000,3680,,,1800,2354,143,308,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,1806,1419,1419,1401,28,,,,358,,,,
筹资活动现金流出小计(万元),1711,1711,0,2606,2219,2195,1401,4028,3680,0,0,2158,4354,4943,6708,
筹资活动产生的现金流量净额(万元),-1711,-1711,0,34324,34711,34735,35529,-4028,-3680,0,0,-2158,-2634,-2643,-1108,
汇率变动对现金及现金等价物的影响(万元),957,91,-341,956,1063,381,-339,-491,-329,-168,-47,459,506,27,-185,
现金及现金等价物净增加额(万元),13065,19214,1773,2770,-4212,27664,31338,-2978,-8124,3122,-4796,6240,4905,983,143,
加:期初现金及现金等价物余额(万元),12591,12591,12591,9821,9821,9821,9821,12798,12798,12798,12798,6559,1654,671,527,
期末现金及现金等价物余额(万元),25656,31805,14364,12591,5609,37484,41158,9821,4674,15920,8002,12798,6559,1654,671,
净利润(万元),,3581,,8377,,2462,,8268,,3988,,7322,5912,2527,,
少数股东损益(万元),,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,
资产减值准备(万元),,189,,152,,158,,123,,126,,52,-388,87,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,891,,1425,,686,,1037,,489,,816,559,601,,
无形资产摊销(万元),,86,,130,,60,,72,,35,,72,48,29,,
长期待摊费用摊销(万元),,99,,108,,45,,32,,14,,81,101,112,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,7,,2,,-0,,83,,75,,79,55,16,,
固定资产报废损失(万元),,0,,8,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,-30,284,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,
财务费用(万元),,-157,,-995,,-384,,490,,168,,-459,-453,115,,
投资损失(万元),,-395,,-1026,,-346,,-214,,-113,,-168,-212,-114,,
递延所得税资产减少(万元),,-17,,-17,,-21,,-18,,-16,,-8,32,-38,,
递延所得税负债增加(万元),,,,,,,,,,,,,,-38,,
存货的减少(万元),,586,,-2366,,-559,,-834,,922,,-1668,-481,-288,,
经营性应收项目的减少(万元),,-2414,,-2724,,-3395,,-3530,,-2537,,-1323,-205,-1252,,
经营性应付项目的增加(万元),,-1083,,3459,,2215,,5040,,1675,,5991,4283,2279,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,1372,,6534,,920,,10548,,4827,,10788,9221,4321,,
债务转为资本(万元),,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,
现金的期末余额(万元),25656,31805,14364,12591,5609,37484,41158,9821,4674,15920,8002,12798,6559,1654,671,
现金的期初余额(万元),12591,12591,12591,9821,9821,9821,9821,12798,12798,12798,12798,6559,1654,671,527,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),13065,19214,1773,2770,-4212,27664,31338,-2978,,3122,-4796,6240,4905,983,143,

