报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),185033,114508,51082,265824,184933,125802,75891,274327,200902,122736,74215,272374,351430,386489,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),20547,16931,9160,23422,18786,12630,7453,20568,11132,8613,4051,24801,21614,22083,
经营活动现金流入小计(万元),205580,131439,60242,289245,203719,138433,83344,294895,212034,131349,78266,297176,373044,408572,
购买商品、接受劳务支付的现金(万元),47258,30558,16511,59530,43906,31644,13822,43390,33349,26209,10318,66629,92737,93325,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),18964,14514,6326,23163,17042,9024,5159,19627,13315,9084,4297,22459,24567,26059,
支付的各项税费(万元),39429,30094,14178,50297,43501,32379,21313,56474,41739,27837,15827,54329,59262,76970,
支付的其他与经营活动有关的现金(万元),19700,12532,7778,29499,23192,17297,10966,31189,21443,13901,8129,39037,37477,34890,
经营活动现金流出小计(万元),125352,87698,44792,162488,127640,90344,51260,150680,109846,77032,38571,182454,214042,231244,
经营活动产生的现金流量净额(万元),80229,43741,15450,126757,76079,48089,32084,144215,102188,54317,39696,114722,159002,177328,
收回投资所收到的现金(万元),216909,152150,100210,114210,7977,2505,1505,29851,24007,22803,18640,95315,85140,933,
取得投资收益所收到的现金(万元),5235,3446,2443,2799,940,1812,799,133,90,84,58,84286,3451,1411,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),709,341,223,610,485,468,240,438,210,124,91,414,202,199,
处置子公司及其他营业单位收到的现金净额(万元),,,,1527,,,,,,,,154289,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,85105,20131,4994,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,
投资活动现金流入小计(万元),222854,155937,102876,119146,9402,4785,2544,30421,24307,23012,18789,419410,108924,7537,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4209,3474,2716,8609,6645,3781,991,2402,762,410,67,4863,9705,12636,
投资所支付的现金(万元),252603,113300,10424,312472,249604,100589,210,22849,16739,14504,11303,49582,32046,40554,
质押贷款净增加额(万元),,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,34156,18591,1,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,36259,34836,7742,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,
投资活动现金流出小计(万元),256813,116774,13140,321081,256249,104370,1201,25251,17501,14914,11370,124861,95179,60933,
投资活动产生的现金流量净额(万元),-33959,39163,89736,-201934,-246846,-99586,1344,5170,6805,8098,7419,294550,13745,-53396,
吸收投资收到的现金(万元),240,90,80,237917,237827,237767,237737,30,,,,84872,270,,
