报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),145819,90620,58586,169570,123525,72521,39134,150646,110391,72777,42572,159443,107459,73042,34108,126236,120687,112538,110023,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),40,30,,,10,10,4,,2,2,,,89,,0,,,,,
收到的其他与经营活动有关的现金(万元),3522,737,69,5823,1627,1628,884,2232,642,8,336,2430,342,563,540,1381,2969,3575,4122,
经营活动现金流入小计(万元),149380,91387,58655,175393,125161,74159,40021,152878,111036,72787,42908,161873,107890,73605,34648,127617,123656,116113,114145,
购买商品、接受劳务支付的现金(万元),103357,65727,38840,101773,90344,58879,30228,99860,79049,49989,20822,99010,66851,53595,21063,74931,81950,76808,77194,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),17137,14471,8831,23313,17721,12553,7903,20869,16376,12038,6828,18530,14011,9732,5409,17888,15912,13435,12983,
支付的各项税费(万元),15812,9147,5295,14943,12191,8787,5566,10645,7182,4604,3446,10359,5970,4174,2813,11518,7984,9883,7180,
