报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2013-09-30,2013-06-30,2012-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,35876,49085,,,,,,,,,46456,16425,71048,75045,24935,
收取利息、手续费及佣金的现金(万元),135458,103711,48861,206600,121749,59801,37230,188731,137418,88599,43606,224894,168752,99694,44724,437647,254986,170368,101240,56826,121154,84297,51883,84593,
拆入资金净增加额(万元),,,,122640,138500,120000,28500,61500,91000,45000,,40000,,,,,-30600,197300,71600,-9000,40000,90000,58000,,
回购业务资金净增加额(万元),560871,371899,297717,287140,77755,,71170,,,,,189780,371767,143939,574347,,192850,135806,,-118540,,,,17641,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),91705,22101,32225,49571,160908,64254,47273,108720,71240,42348,33148,32724,26111,19634,13999,88989,22268,16973,43993,4365,89506,6187,5176,16382,
经营活动现金流入小计(万元),992448,791328,779854,874680,655259,406607,257466,402391,299657,268190,131108,690911,810756,495903,821744,1047377,1682433,987024,436818,46015,267085,251532,190105,143551,
购买商品、接受劳务支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),49086,34981,6963,67023,26539,14650,23084,27595,16645,14793,5602,31564,21188,26423,11455,74795,36538,22416,13541,7449,16531,11616,6986,15245,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),63074,44412,22736,72122,56318,42912,26879,76610,58602,43717,24402,95026,71742,58946,44143,106027,58127,51570,40776,30678,44272,35562,27282,37340,
支付的各项税费(万元),20573,9042,2637,14919,18885,11130,6125,31816,22092,16094,10098,58312,35968,25674,18582,69521,29808,25786,16041,9839,18548,13548,10121,14787,
支付的其他与经营活动有关的现金(万元),153526,78165,93103,61980,153293,82837,85878,188149,170533,30649,38060,78691,78010,52232,35639,90026,77527,97685,20844,27060,43477,202932,155738,52682,
经营活动现金流出小计(万元),744473,432159,439101,715528,763820,467063,297327,817719,582212,231354,372989,961110,1079620,583839,765384,1153591,990114,722487,352506,119277,355469,291641,238259,124173,
经营活动产生的现金流量净额(万元),247975,359170,340753,159152,-108561,-60456,-39861,-415328,-282554,36836,-241881,-270199,-268864,-87936,56360,-106214,692318,264537,84312,-73262,-88384,-40109,-48155,19378,
收回投资所收到的现金(万元),189130,89900,,,64704,19828,23101,,23825,12677,37163,,,29823,,,48522,8300,,-56152,,484,116,34380,
取得投资收益所收到的现金(万元),21359,6528,3963,3505,2489,551,2416,20810,21637,4073,7881,5885,5389,3160,2342,7485,4565,3644,1682,9691,747,679,534,7167,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4634,52,3,130,3,,,61,,,,,,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,4388,4388,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,14,4,46,,,,,284,75,33,,59,12,50,29,,95,14,6,53,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),215123,96480,3966,3635,67210,20384,25563,20871,45462,16750,45045,10557,9851,33016,2342,7544,53098,11994,1710,-46461,841,1177,656,41600,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4257,3107,1128,4878,3515,1627,653,8889,4762,3816,1139,9228,5198,3407,1065,9213,1631,5170,2011,966,16586,3179,1242,6386,
投资所支付的现金(万元),252196,183979,68377,100238,96099,33770,53541,60995,104620,71868,,18602,52742,65156,6505,184221,33490,38351,72216,,26628,8607,6956,6000,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,1462,1462,1462,,,,,,5000,,,,,
支付的其他与投资活动有关的现金(万元),,,76,,166,,40,,27,30,,,,,,,,,10,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),256453,187086,69581,105115,99780,35397,54233,69884,109409,75714,1139,29291,59402,70024,7570,193433,35121,43521,74238,5966,43214,11786,8198,12386,
