报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),83746,55106,26342,111679,89604,56080,25811,139205,64141,100318,91280,80878,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),9671,6004,3092,10896,8455,5850,3074,9550,5136,8250,6556,5628,
收到的其他与经营活动有关的现金(万元),1259,968,432,2873,1042,963,45,5985,5858,5038,696,1014,
经营活动现金流入小计(万元),94675,62079,29867,125448,99101,62893,28930,154740,75134,113606,98532,87520,
购买商品、接受劳务支付的现金(万元),65436,42516,25120,80742,61623,41799,23290,98777,50992,74368,62371,53527,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),12052,8512,4987,14296,11126,7952,4679,14610,8230,12053,10117,8488,
支付的各项税费(万元),2421,2034,1284,5535,4413,2750,1813,4316,1442,7129,7998,6634,
支付的其他与经营活动有关的现金(万元),4379,2822,1092,5096,4131,2925,1401,5567,2712,4264,11389,4274,
经营活动现金流出小计(万元),84288,55884,32483,105668,81293,55427,31183,123271,63376,97813,91875,72924,
经营活动产生的现金流量净额(万元),10388,6195,-2616,19780,17808,7466,-2254,31470,11758,15793,6657,14596,
收回投资所收到的现金(万元),,,,,,,,,,,,,
取得投资收益所收到的现金(万元),43,,,4,4,4,4,4,,72,175,615,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),123,113,48,31,23,3,0,54,5,122,120,143,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),13524,471,94,1313,1101,1104,956,478,20,14354,27000,47086,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),13690,584,142,1348,1129,1111,960,537,25,14549,27295,47844,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),18137,9571,6731,13403,9254,4637,686,7008,2446,6941,5411,4761,
投资所支付的现金(万元),,,,,,,,,258,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,3529,3529,15432,,,
支付的其他与投资活动有关的现金(万元),48059,26130,81,873,678,513,187,3010,838,6000,28820,27863,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),66196,35701,6812,14276,9932,5150,873,13548,7072,28373,34231,32624,
投资活动产生的现金流量净额(万元),-52506,-35117,-6670,-12928,-8804,-4040,86,-13011,-7047,-13824,-6936,15220,
吸收投资收到的现金(万元),70615,70615,71129,,,,,,,2031,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,
取得借款收到的现金(万元),6271,4271,4271,10660,10660,10660,7660,19300,16100,7500,,,
发行债券收到的现金(万元),,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,
筹资活动现金流入小计(万元),76885,74885,75400,10660,10660,10660,7660,19300,16100,9531,0,0,
偿还债务支付的现金(万元),8931,4660,4660,19700,14500,10500,10500,13100,3800,,,,
分配股利、利润或偿付利息所支付的现金(万元),4457,4434,66,494,415,271,130,22088,21704,8452,7300,25180,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,,,,,
筹资活动现金流出小计(万元),13387,9094,4726,20194,14915,10771,10630,35188,25504,8452,7300,25180,
筹资活动产生的现金流量净额(万元),63498,65791,70674,-9534,-4255,-111,-2970,-15888,-9404,1079,-7300,-25180,
汇率变动对现金及现金等价物的影响(万元),-281,127,105,13,47,-126,-200,99,-166,-876,780,1172,
现金及现金等价物净增加额(万元),21099,36996,61492,-2669,4797,3189,-5338,2669,-4860,2172,-6799,5808,
加:期初现金及现金等价物余额(万元),15149,15149,15149,17818,17818,17818,17818,15148,15148,12976,19775,13967,
期末现金及现金等价物余额(万元),36248,52145,76641,15149,22615,21007,12480,17818,10288,15148,12976,19775,
净利润(万元),,4410,,14203,,7344,,17533,,,,,
少数股东损益(万元),,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,
资产减值准备(万元),,-100,,150,,20,,-279,,,,,
