报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),249400,163336,86643,287777,218757,138888,67973,247490,166458,106795,60154,184019,160771,264966,170920,98937,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),16242,14121,8710,19463,17123,13024,4042,23163,19658,13350,8843,7084,6054,8615,5535,5860,
收到的其他与经营活动有关的现金(万元),2907,2538,1176,1576,7631,1169,308,2276,3803,2480,110,880,1863,3763,543,1013,
经营活动现金流入小计(万元),268549,179995,96529,308816,243510,153081,72322,272929,189920,122625,69107,191983,168688,277344,176997,105810,
购买商品、接受劳务支付的现金(万元),216867,130864,72718,287979,222212,143915,72421,210732,144783,92420,66353,145456,133486,213477,122613,87492,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),22953,14258,7399,30353,22907,15670,7368,29651,25438,16319,7978,30093,22104,28086,17841,10756,
支付的各项税费(万元),1840,1214,672,1771,974,784,199,945,779,676,564,1642,1728,2480,586,357,
支付的其他与经营活动有关的现金(万元),10345,11489,6546,5432,11458,4625,2760,11809,10547,6216,2889,11343,7127,4781,5544,3032,
经营活动现金流出小计(万元),252004,157826,87335,325534,257550,164994,82748,253137,181546,115631,77784,188534,164446,248825,146584,101636,
经营活动产生的现金流量净额(万元),16546,22169,9194,-16718,-14040,-11913,-10426,19792,8374,6994,-8677,3449,4242,28519,30413,4173,
收回投资所收到的现金(万元),,,,,,,0,,,,0,11,,1004,1965,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1631,,,3095,,,,4,4,4,,69,70,7,130,5,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,100,100,,2653,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),1631,0,0,3095,100,100,0,2657,4,4,0,80,70,1011,2095,5,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),10337,5313,2137,44706,29490,19002,6943,27352,16895,13178,6308,18387,12917,16009,16549,5566,
投资所支付的现金(万元),,,,,,,0,,,,0,67,,1002,1960,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),17881,17940,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,
