报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),88631,58955,30098,106616,80519,51552,22952,85761,41020,69424,49453,43380,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),1193,505,223,2410,2001,1051,801,1035,103,100,486,1519,
收到的其他与经营活动有关的现金(万元),2274,2063,86,2700,1509,127,12,1328,83,769,724,242,
经营活动现金流入小计(万元),92099,61523,30407,111726,84029,52730,23765,88124,41206,70293,50663,45141,
购买商品、接受劳务支付的现金(万元),34920,21703,11495,46914,34618,22421,7711,47386,19287,29297,29013,26930,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),9876,6848,3533,11581,8472,5254,2632,9456,4662,7755,5868,4610,
支付的各项税费(万元),11219,7557,3993,12533,10117,6559,2968,11665,6968,7688,2711,2703,
支付的其他与经营活动有关的现金(万元),17232,11974,5972,24725,18296,12635,8126,19487,8959,11826,1866,1562,
经营活动现金流出小计(万元),73247,48082,24993,95753,71504,46869,21437,87994,39876,56566,39459,35805,
经营活动产生的现金流量净额(万元),18852,13441,5414,15973,12525,5861,2328,130,1330,13727,11205,9336,
收回投资所收到的现金(万元),43800,3400,,1000,,,,,,,,,
取得投资收益所收到的现金(万元),356,12,,11,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,1,0,5,2,2,,154,49,119,9,0,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,1281,1281,1281,1282,,,18120,3300,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),44160,3412,0,2297,1283,1283,1282,154,49,18239,3309,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4406,3584,1270,5896,4345,2135,2123,4278,2708,14779,4767,809,
投资所支付的现金(万元),143600,103400,,1000,1000,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,549,549,1420,7011,1800,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),148006,106984,1270,6896,5345,2135,2123,4827,3257,16199,11778,2609,
投资活动产生的现金流量净额(万元),-103846,-103572,-1269,-4599,-4061,-851,-841,-4672,-3208,2039,-8469,-2608,
吸收投资收到的现金(万元),114241,114241,114241,,,,,,,55,500,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,
取得借款收到的现金(万元),,,,1910,1910,1910,,9764,4764,,12000,,
发行债券收到的现金(万元),,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,20,320,,1198,1388,5956,229,4500,
筹资活动现金流入小计(万元),114241,114241,114241,1910,1930,2230,0,10962,6152,6012,12729,4500,
偿还债务支付的现金(万元),7059,2059,,4393,4393,4393,,12000,12000,,,,
分配股利、利润或偿付利息所支付的现金(万元),150,138,76,339,243,174,83,2484,2260,5324,175,,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,,19882,10620,5100,
筹资活动现金流出小计(万元),7209,2196,76,4733,4636,4567,83,14484,14260,25206,10795,5100,
筹资活动产生的现金流量净额(万元),107032,112044,114165,-2823,-2706,-2337,-83,-3522,-8108,-19194,1934,-600,
汇率变动对现金及现金等价物的影响(万元),366,115,-124,16,186,153,-57,-172,-96,360,78,-1,
现金及现金等价物净增加额(万元),22405,22028,118186,8567,5944,2825,1346,-8236,-10082,-3068,4748,6127,
加:期初现金及现金等价物余额(万元),15390,15390,15390,6822,6822,6822,6822,15059,15059,18127,13379,7253,
期末现金及现金等价物余额(万元),37794,37418,133576,15390,12766,9648,8169,6822,4976,15059,18127,13379,
净利润(万元),,13713,,22432,,11130,,19491,10746,20636,11559,10824,
少数股东损益(万元),,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,
资产减值准备(万元),,-24,,345,,,,102,35,-1477,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,2233,,4067,,1958,,3290,1520,2472,2321,1908,
无形资产摊销(万元),,118,,236,,118,,236,118,229,210,201,
长期待摊费用摊销(万元),,,,,,,,,,106,183,31,
待摊费用的减少(万元),,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,43,,30,,5,,193,248,76,,15,
固定资产报废损失(万元),,,,,,,,,,,,,
公允价值变动损失(万元),,-450,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,-230,,-115,,-194,-69,-60,-52,-41,
预计负债(万元),,,,,,,,,,,,,
财务费用(万元),,-285,,-580,,-570,,466,236,-132,71,91,
投资损失(万元),,-12,,-11,,,,,,-58,-11,,
递延所得税资产减少(万元),,64,,-391,,-25,,-482,-130,62,-27,6,
递延所得税负债增加(万元),,72,,,,,,,,,,,
存货的减少(万元),,451,,-1560,,-3311,,-5614,-592,-2463,-389,-1929,
经营性应收项目的减少(万元),,-4290,,-13827,,-9411,,-14066,-11764,-12098,564,1130,
经营性应付项目的增加(万元),,2091,,5462,,6083,,-3292,982,6436,-3225,-2900,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,
其他(万元),,-283,,,,,,,,,,,
经营活动产生现金流量净额(万元),,13441,,15973,,5861,,130,1330,13727,11205,9336,
债务转为资本(万元),,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,
现金的期末余额(万元),37794,37418,133576,15390,12766,9648,8169,6822,4976,15059,18127,13379,
现金的期初余额(万元),15390,15390,15390,6822,6822,6822,6822,15059,15059,18127,13379,7253,
现金等价物的期末余额(万元),,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),22405,22028,118186,8567,5944,2825,,-8236,-10082,-3068,4748,6127,

