报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),72565,50984,20505,86756,67405,46492,15145,73552,61451,49595,36798,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,
收到的税费返还(万元),4973,3694,1733,6677,5248,3143,1421,6534,4410,3221,2292,
收到的其他与经营活动有关的现金(万元),6105,3585,1526,6873,5222,4237,1205,3823,1704,2627,1244,
经营活动现金流入小计(万元),83643,58264,23765,100307,77874,53872,17771,83909,67565,55443,40334,
购买商品、接受劳务支付的现金(万元),18140,12508,5894,30750,23806,17540,9399,22569,18800,14616,10835,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),20690,15275,4872,24379,19355,14313,4735,21698,20967,18245,15376,
支付的各项税费(万元),7605,6347,2198,10367,7404,6364,2772,9734,7201,7459,3937,
支付的其他与经营活动有关的现金(万元),13558,10109,3724,12566,10038,6808,3035,12341,11414,10230,8719,
经营活动现金流出小计(万元),59993,44239,16689,78062,60604,45025,19941,66342,58382,50551,38868,
经营活动产生的现金流量净额(万元),23650,14025,7076,22245,17270,8847,-2170,17567,9184,4892,1466,
收回投资所收到的现金(万元),,,,,,,,52410,91578,20208,21434,
取得投资收益所收到的现金(万元),,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),7,7,7,3,2,1,0,6,7,2,2,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,
投资活动现金流入小计(万元),7,7,7,3,2,1,0,52416,91585,20210,21435,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3211,967,216,1181,1034,778,195,2404,1175,1039,753,
投资所支付的现金(万元),,,,,,,,,138000,20000,26000,
质押贷款净增加额(万元),,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,
投资活动现金流出小计(万元),3211,967,216,1181,1034,778,195,2404,139175,21039,26753,
投资活动产生的现金流量净额(万元),-3204,-959,-209,-1178,-1033,-778,-195,50013,-47591,-829,-5318,
吸收投资收到的现金(万元),42631,42631,,,,,,,40000,,6925,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,4500,7500,4500,
发行债券收到的现金(万元),,,,,,,,,,,,
