报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),68653,43982,26111,85038,64152,39194,22551,76328,31402,63611,59731,55928,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),2650,2399,2069,3226,2806,2748,264,2478,1739,2174,2462,2696,
经营活动现金流入小计(万元),71303,46380,28180,88264,66959,41942,22815,78806,33141,65785,62193,58624,
购买商品、接受劳务支付的现金(万元),30833,19427,9060,37572,28547,17156,8939,30428,12811,26088,28203,21129,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),12964,8719,4386,15532,11110,7919,3919,12933,6548,11421,11507,11614,
支付的各项税费(万元),7409,5575,3625,10983,7901,5771,3463,10286,4816,8427,8055,7718,
支付的其他与经营活动有关的现金(万元),6507,5325,4716,11134,8580,7052,3243,12502,5192,8602,7557,7272,
经营活动现金流出小计(万元),57712,39046,21786,75222,56138,37898,19563,66149,29366,54538,55322,47732,
经营活动产生的现金流量净额(万元),13591,7335,6394,13042,10821,4044,3252,12657,3775,11247,6871,10892,
收回投资所收到的现金(万元),134400,85900,38700,173450,111900,88420,39120,194819,103644,230000,112930,82400,
取得投资收益所收到的现金(万元),851,396,157,974,435,429,135,696,326,643,550,317,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,0,,2,0,0,0,8,,5,2,1,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),135252,86297,38857,174426,112336,88849,39255,195523,103970,230649,113483,82718,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),8404,6945,2515,6532,3957,1940,1113,863,454,357,904,917,
投资所支付的现金(万元),220560,107100,62600,173450,137950,94100,53900,178500,105900,228300,116930,96400,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),228964,114045,65115,179982,141907,96040,55013,179363,106354,228657,117834,97317,
投资活动产生的现金流量净额(万元),-93712,-27748,-26258,-5557,-29572,-7191,-15758,16160,-2385,1992,-4352,-14599,
吸收投资收到的现金(万元),68365,68365,,,,,,2398,2398,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,
取得借款收到的现金(万元),7000,7000,7000,3000,500,,2500,3900,1400,5400,5950,1500,
发行债券收到的现金(万元),,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,30,120,
筹资活动现金流入小计(万元),75365,75365,7000,3000,500,0,2500,6298,3798,5400,5980,1620,
偿还债务支付的现金(万元),7000,,,3900,1400,1400,3000,5400,2344,2500,4950,6617,
分配股利、利润或偿付利息所支付的现金(万元),234,166,50,130,101,74,41,11813,10530,6244,4014,390,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),2308,1936,24,269,241,189,146,28,,,,,
筹资活动现金流出小计(万元),9543,2102,74,4299,1741,1663,3187,17242,12875,8744,8964,7007,
筹资活动产生的现金流量净额(万元),65822,73263,6926,-1299,-1241,-1663,-687,-10944,-9077,-3344,-2984,-5387,
汇率变动对现金及现金等价物的影响(万元),-108,-135,-130,-33,39,-258,-172,-256,-37,143,-34,10,
现金及现金等价物净增加额(万元),-14406,52715,-13068,6154,-19954,-5067,-13364,17617,-7723,10038,-499,-9084,
加:期初现金及现金等价物余额(万元),38941,38941,38941,32786,32786,32786,32786,15170,15170,5132,5631,14715,
期末现金及现金等价物余额(万元),24534,91655,25873,38941,12833,27719,19422,32786,7447,15170,5132,5631,
净利润(万元),,7496,4796,13685,,6794,3977,10125,3677,9447,6632,6041,
少数股东损益(万元),,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,
资产减值准备(万元),,72,-14,40,,50,17,-32,13,-50,6,-59,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,548,275,1090,,551,274,1129,627,1116,1257,1275,
无形资产摊销(万元),,19,9,55,,29,16,68,,71,,,
长期待摊费用摊销(万元),,35,18,59,,37,20,64,,62,,,
待摊费用的减少(万元),,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,0,,,,,,,,,,,
固定资产报废损失(万元),,1,0,3,,1,-0,11,,13,,,
公允价值变动损失(万元),,-59,68,-181,,-314,22,391,230,-126,-21,-0,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,
财务费用(万元),,39,40,-67,,1,71,288,136,33,132,337,
投资损失(万元),,-402,-141,-745,,-99,6,-535,-304,-695,-554,-317,
递延所得税资产减少(万元),,215,170,157,,125,-3,-508,-538,-4,101,19,
递延所得税负债增加(万元),,1,7,,,18,,-37,-37,32,5,,
存货的减少(万元),,1958,2379,-1676,,1155,1383,-870,1122,898,-538,268,
经营性应收项目的减少(万元),,-325,558,-2337,,-269,-1146,1027,1757,-1584,-149,815,
经营性应付项目的增加(万元),,-2838,-1262,2046,,-4188,-635,-41,-5903,2839,-525,2517,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,
其他(万元),,574,-510,913,,156,-749,1577,2996,-806,523,-4,
经营活动产生现金流量净额(万元),,7335,6394,13042,,4044,3252,12657,3775,11247,6871,10892,
债务转为资本(万元),,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,
现金的期末余额(万元),24534,91655,25873,38941,12833,27719,19422,32786,7447,15170,5132,5631,
现金的期初余额(万元),38941,38941,38941,32786,32786,32786,32786,15170,15170,5132,5631,14715,
现金等价物的期末余额(万元),,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-14406,52715,-13068,6154,-19954,-5067,-13364,17617,-7723,10038,-499,-9084,

