报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),18709,16498,6660,29610,15416,13483,4419,23133,16623,21915,27793,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,
收到的税费返还(万元),0,0,,,0,,,,32,,,
收到的其他与经营活动有关的现金(万元),469,168,95,441,401,146,79,450,259,340,22,
经营活动现金流入小计(万元),19178,16665,6756,30051,15817,13628,4498,23583,16914,22255,27815,
购买商品、接受劳务支付的现金(万元),5873,4401,2818,8155,4711,3392,1401,5420,3947,6742,7259,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5338,3673,2136,5333,3998,2773,1666,4557,3459,3699,3043,
支付的各项税费(万元),4367,3280,2148,4223,3438,2519,317,1934,1370,2406,3180,
支付的其他与经营活动有关的现金(万元),2153,1693,804,2876,1759,1131,698,1898,1306,1397,2227,
经营活动现金流出小计(万元),17732,13047,7906,20588,13906,9814,4082,13809,10081,14244,15709,
经营活动产生的现金流量净额(万元),1446,3618,-1150,9462,1911,3814,416,9774,6833,8011,12106,
收回投资所收到的现金(万元),151000,61000,5000,61000,,,,12000,,30000,33500,
取得投资收益所收到的现金(万元),1364,527,23,484,,,,88,,159,261,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,,,3,,6,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,74,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,
投资活动现金流入小计(万元),152364,61527,5023,61484,0,0,0,12091,74,30165,33761,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),154,111,22,230,94,55,36,792,696,3969,3082,
投资所支付的现金(万元),216000,106000,71000,61000,56000,,,12000,,30000,33500,
质押贷款净增加额(万元),,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,
投资活动现金流出小计(万元),216154,106111,71022,61230,56094,55,36,12792,696,33969,36582,
投资活动产生的现金流量净额(万元),-63790,-44584,-65999,254,-56094,-55,-36,-701,-623,-3804,-2822,
吸收投资收到的现金(万元),,,,60151,60151,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,,,,
发行债券收到的现金(万元),,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),202,100,,,,,,22,22,301,42,
筹资活动现金流入小计(万元),202,100,0,60151,60151,0,0,22,22,301,42,
偿还债务支付的现金(万元),,,,,,,,,,,,
分配股利、利润或偿付利息所支付的现金(万元),5633,5274,,3960,3960,3960,3960,3520,3520,3080,3036,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),205,102,,2701,2611,,,22,22,581,42,
筹资活动现金流出小计(万元),5837,5376,0,6661,6571,3960,3960,3542,3542,3661,3078,
筹资活动产生的现金流量净额(万元),-5635,-5276,0,53490,53580,-3960,-3960,-3520,-3520,-3360,-3036,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,
现金及现金等价物净增加额(万元),-67979,-46242,-67149,63206,-603,-201,-3580,5553,2691,847,6248,
加:期初现金及现金等价物余额(万元),86266,86266,86266,23060,23060,23060,23060,17507,17507,16660,10412,
期末现金及现金等价物余额(万元),18287,40024,19117,86266,22457,22859,19480,23060,20197,17507,16660,
净利润(万元),,5850,,14133,,5682,,11656,,11088,10579,
少数股东损益(万元),,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,
资产减值准备(万元),,3847,,3014,,1673,,828,,1097,1856,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,122,,323,,162,,293,,255,186,
无形资产摊销(万元),,219,,429,,213,,422,,80,21,
长期待摊费用摊销(万元),,,,1039,,520,,1040,,1024,1070,
待摊费用的减少(万元),,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,-2,,-6,-2,
固定资产报废损失(万元),,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,
财务费用(万元),,,,,,,,,,,,
投资损失(万元),,-497,,-457,,,,-83,,-159,-261,
递延所得税资产减少(万元),,-602,,-347,,-249,,-104,,-157,-278,
递延所得税负债增加(万元),,,,,,,,,,,,
存货的减少(万元),,-1379,,3006,,1083,,-16,,-3476,-3368,
经营性应收项目的减少(万元),,-2639,,-12134,,-4436,,-5920,,-2235,2446,
经营性应付项目的增加(万元),,-1302,,457,,-834,,1661,,500,-143,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,
其他(万元),,,,,,,,,,,,
经营活动产生现金流量净额(万元),,3618,,9462,,3814,,9774,,8011,12106,
债务转为资本(万元),,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,
现金的期末余额(万元),18287,40024,19117,86266,22457,22859,19480,23060,20197,17507,16660,
现金的期初余额(万元),86266,86266,86266,23060,23060,23060,23060,17507,17507,16660,10412,
现金等价物的期末余额(万元),,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-67979,-46242,-67149,63206,-603,-201,,5553,,847,6248,

