报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2016-03-31,2015-12-31,2015-06-30,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),67006,42769,18584,89690,55692,40815,17114,58053,39607,23708,10110,42830,15112,7742,32403,15712,29796,27898,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),469,353,310,1849,1288,794,151,3904,2237,529,89,248,325,66,558,1701,290,203,
经营活动现金流入小计(万元),67475,43121,18894,91539,56980,41609,17266,61957,41844,24238,10199,43078,15437,7808,32961,17413,30087,28101,
购买商品、接受劳务支付的现金(万元),19917,13650,7597,37658,25166,19450,10155,30770,20996,12938,6598,20944,6514,4370,15290,9738,14457,13601,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),7227,4671,2454,7513,5287,3294,1700,5228,3601,2456,1150,4717,2337,1216,4422,2091,3563,3056,
支付的各项税费(万元),7411,4685,2736,8722,1411,4160,1833,4928,3252,1894,1033,3720,2145,664,3421,1567,3358,3004,
支付的其他与经营活动有关的现金(万元),32527,20361,8171,30824,24288,14368,6441,12989,9107,5042,1834,8179,4564,1452,6609,4167,5698,6806,
经营活动现金流出小计(万元),67083,43368,20957,84716,56152,41273,20129,53915,36956,22330,10615,37560,15561,7702,29742,17563,27076,26467,
经营活动产生的现金流量净额(万元),392,-246,-2063,6823,828,336,-2864,8042,4888,1907,-417,5518,-124,106,3220,-150,3011,1634,
收回投资所收到的现金(万元),,,,15000,15000,1500,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,85,85,5,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),9,1,1,14,1,,0,,,,,,,,20,,41,306,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),9,1,1,15099,15087,1505,0,0,0,0,0,0,0,0,20,0,41,306,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),12818,7953,5733,25726,15977,9870,3785,9776,5748,3964,769,3141,491,1373,2959,372,2650,4557,
投资所支付的现金(万元),,,,15000,15000,7500,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,76,100,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,976,10,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),12818,7953,5733,40726,30977,17370,3785,9776,5748,3964,769,3141,1466,1383,3035,472,2650,4557,
投资活动产生的现金流量净额(万元),-12809,-7952,-5732,-25627,-15890,-15865,-3785,-9776,-5748,-3964,-769,-3141,-1466,-1383,-3016,-472,-2608,-4251,
吸收投资收到的现金(万元),,,,,,,,26825,26825,,,2671,2671,2671,,24,,4832,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),8500,3000,,11969,4000,4000,,1500,1500,1500,,2000,2000,1000,2000,,1500,3000,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,100,,,,100,,,,100,,,,,100,,
筹资活动现金流入小计(万元),8500,3000,0,12069,4000,4000,0,28425,28325,1500,0,4771,4671,3671,2000,24,1600,7832,
偿还债务支付的现金(万元),3786,2189,2094,4400,400,400,,3100,2000,2000,1000,2000,,,1500,500,3000,2000,
分配股利、利润或偿付利息所支付的现金(万元),1408,1275,81,1553,1484,1440,5,68,49,29,15,1365,1298,27,92,39,499,207,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,100,100,100,100,961,100,100,100,100,100,100,,,17,17,
筹资活动现金流出小计(万元),5193,3464,2175,6053,1984,1940,105,4129,2149,2129,1115,3465,1398,127,1592,539,3516,2223,
筹资活动产生的现金流量净额(万元),3307,-464,-2175,6016,2016,2060,-105,24297,26177,-629,-1115,1306,3273,3544,408,-515,-1916,5608,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),-9110,-8662,-9969,-12788,-13047,-13469,-6754,22563,25316,-2686,-2300,3683,1683,2268,612,-1136,-1513,2991,
加:期初现金及现金等价物余额(万元),16855,16855,16855,29643,29643,29643,29643,7080,7080,7080,7080,3397,3397,3397,2785,2785,4298,1307,
期末现金及现金等价物余额(万元),7745,8192,6885,16855,16596,16173,22889,29643,32396,4394,4780,7080,5080,5664,3397,1648,2785,4298,
净利润(万元),,2852,,7199,,2792,,6857,,2459,,5453,1688,,4464,2443,3779,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,192,,234,,179,,266,,107,,-21,57,,55,,213,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1468,,1856,,833,,1215,,565,,991,465,,810,332,655,,
无形资产摊销(万元),,210,,387,,182,,347,,163,,289,143,,288,176,328,,
长期待摊费用摊销(万元),,22,,20,,11,,32,,21,,44,23,,51,6,31,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,-12,,,,,,2,,7,,,50,1,31,,
固定资产报废损失(万元),,7,,51,,1,,5,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,
财务费用(万元),,172,,129,,32,,68,,29,,133,66,,92,36,129,,
投资损失(万元),,,,-85,,-5,,,,,,,,,5,14,-85,,
递延所得税资产减少(万元),,-409,,201,,385,,-715,,-10,,3,-22,,1,5,15,,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,,,,
存货的减少(万元),,-1738,,-1382,,-1959,,-1849,,-875,,-1351,-1612,,-749,-975,-415,,
经营性应收项目的减少(万元),,-5832,,-4154,,-4794,,-3435,,-1124,,-1304,-947,,-2281,-744,-1361,,
经营性应付项目的增加(万元),,2808,,2465,,2734,,5442,,587,,1367,15,,684,-1442,-185,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,
其他(万元),,,,-87,,-53,,-190,,-18,,-92,,,-252,,-123,,
经营活动产生现金流量净额(万元),,-246,,6823,,336,,8042,,1907,,5518,-124,,3220,-150,3011,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),7745,8192,6885,16855,16596,16173,22889,29643,32396,4394,4780,7080,5080,5664,3397,1648,2785,4298,
现金的期初余额(万元),16855,16855,16855,29643,29643,29643,29643,7080,7080,7080,7080,3397,3397,3397,2785,2785,4298,1307,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-9110,-8662,-9969,-12788,-13047,-13469,-6754,22563,25316,-2686,-2300,3683,1683,2268,612,-1136,-1513,2991,

