报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),50837,28642,11749,69166,44236,31339,20050,56720,40425,24088,13647,46363,32721,20803,10217,50248,36944,23296,10911,47098,55912,39155,41259,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),2675,2353,1243,1496,694,184,42,1994,1408,519,,637,624,218,69,122,114,81,,512,903,417,167,
收到的其他与经营活动有关的现金(万元),510,883,538,1399,1054,716,494,904,419,467,1104,822,696,285,228,821,453,209,9,1314,437,930,680,
经营活动现金流入小计(万元),54022,31879,13530,72060,45984,32239,20585,59619,42252,25074,14751,47822,34041,21306,10513,51191,37511,23586,10920,48924,57252,40503,42105,
购买商品、接受劳务支付的现金(万元),40402,26200,13428,46094,35323,21033,11606,35072,26679,16343,9273,29799,22057,13309,7128,26350,20180,13029,6344,32373,30914,23869,21660,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),9863,6982,3792,10598,8038,5674,3300,9072,6996,4916,2847,8195,6397,4822,2787,7739,6087,4502,2720,8102,7269,6351,5598,
支付的各项税费(万元),1345,439,149,3763,3170,2601,2189,2075,1679,1457,1000,2434,1971,1759,1106,4749,4062,2928,1253,2264,1668,2546,1566,
支付的其他与经营活动有关的现金(万元),5758,3661,1751,6815,4776,1429,1469,4802,4095,2885,1970,6006,3859,2662,983,4969,3241,2409,1403,5680,8400,4945,4786,
经营活动现金流出小计(万元),57367,37281,19120,67270,51307,30737,18564,51021,39449,25601,15090,46433,34284,22552,12004,43807,33569,22868,11720,48420,48250,37712,33611,
经营活动产生的现金流量净额(万元),-3345,-5402,-5590,4791,-5324,1502,2021,8598,2803,-527,-338,1389,-242,-1246,-1490,7384,3942,718,-800,505,9001,2790,8494,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,37,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),22,8,,1,1,1,1,6,6,,,,,,,7,7,7,19,17,705,20,2,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,11084,11084,11084,11084,425,161,,,149,,,,620,,1351,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),22,8,0,1,1,1,1,11090,11090,11084,11084,425,161,0,0,156,7,7,19,637,705,1371,39,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1409,979,308,5302,6590,6425,3063,16338,14639,14347,4155,820,1329,851,619,992,936,803,768,2314,3303,1583,1189,
投资所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,5,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,1103,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,11000,22000,6600,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),1409,979,308,5302,6590,6425,3063,16338,14639,14347,4155,11820,23329,7451,619,992,936,803,768,2314,3303,1583,2298,
投资活动产生的现金流量净额(万元),-1386,-971,-308,-5301,-6589,-6424,-3062,-5247,-3549,-3263,6929,-11395,-23168,-7451,-619,-836,-929,-796,-749,-1677,-2598,-212,-2258,
吸收投资收到的现金(万元),421,,,1234,3584,2173,,147,,,,26440,26440,26440,,,,,,,,6480,,
其中：子公司吸收少数股东投资收到的现金(万元),421,,,1234,3584,2173,,147,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),4660,,,,,,,,,,,,,,,,,,,,6000,6000,9600,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,750,29,,,,,,,,,,,,,,,,1000,,
筹资活动现金流入小计(万元),5081,0,0,1234,4334,2203,0,147,0,0,0,26440,26440,26440,0,0,0,0,0,0,6000,13480,9600,
偿还债务支付的现金(万元),,,,,,,,,,,,,,,,,,,,,8000,13600,5770,
分配股利、利润或偿付利息所支付的现金(万元),3564,1292,,4800,4800,4800,,3600,3600,3600,,2400,2400,,,,,,,,7,4240,953,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,,,,3341,3341,3390,,,,,,,,,622,
筹资活动现金流出小计(万元),3564,1292,0,4800,4800,4800,0,3600,3600,3600,0,5741,5741,3390,0,0,0,0,0,0,8007,17840,7345,
筹资活动产生的现金流量净额(万元),1516,-1292,0,-3566,-466,-2597,0,-3453,-3600,-3600,0,20699,20699,23050,0,0,0,0,0,0,-2007,-4360,2255,
汇率变动对现金及现金等价物的影响(万元),65,31,0,2,13,-34,,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),-3150,-7634,-5898,-4073,-12365,-7552,-1041,-103,-4346,-7390,6591,10693,-2711,14352,-2109,6548,3013,-78,-1549,-1173,4397,-1782,8491,
加:期初现金及现金等价物余额(万元),26473,26473,26473,30546,30546,30546,30546,30649,30649,30649,30649,19955,19955,19955,19955,13408,13408,13408,13408,14580,10184,11965,3474,
期末现金及现金等价物余额(万元),23322,18839,20575,26473,18181,22994,29505,30546,26303,23258,37239,30649,17244,34308,17846,19955,16420,13330,11858,13408,14580,10184,11965,
净利润(万元),,3592,,4660,,2348,,5929,,2187,,5959,,2711,,4951,,2481,,4421,4040,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,392,,1166,,380,,1023,,363,,976,,235,,1283,,345,,793,672,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1490,,1720,,564,,1154,,583,,1239,,626,,1138,,568,,1033,935,,,
无形资产摊销(万元),,77,,147,,73,,117,,53,,112,,55,,105,,51,,96,96,,,
