报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),133201,78362,37763,139635,94294,58151,29451,133375,93176,58907,33335,104091,105271,98372,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),5244,4539,2854,14648,8861,6003,2444,9695,7268,4456,1773,7395,8041,8783,
收到的其他与经营活动有关的现金(万元),12408,10339,4308,11871,9916,7459,4367,8251,6150,4969,2859,19796,37376,69416,
经营活动现金流入小计(万元),150853,93241,44925,166153,113071,71614,36262,151320,106594,68332,37967,131282,150687,176572,
购买商品、接受劳务支付的现金(万元),84469,53717,30798,105357,73566,49326,21849,83225,59974,35228,23519,68455,66705,76430,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),23754,16579,7389,27162,19349,12920,6744,23413,17076,11164,5498,18872,18058,15486,
支付的各项税费(万元),7802,5692,3996,9444,8388,5163,2597,7563,5088,3340,1424,7553,6086,4512,
支付的其他与经营活动有关的现金(万元),24930,14582,6974,22166,18505,14799,6482,18884,13964,11218,5269,22545,45569,71782,
经营活动现金流出小计(万元),140956,90569,49157,164129,119807,82208,37672,133086,96101,60951,35710,117425,136417,168210,
经营活动产生的现金流量净额(万元),9896,2672,-4232,2025,-6736,-10594,-1410,18234,10493,7381,2257,13857,14270,8363,
收回投资所收到的现金(万元),14620,12620,1420,71400,58041,30135,,,,,,34191,18209,,
取得投资收益所收到的现金(万元),111,100,41,554,,,,,,,,695,147,27,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),74,61,23,7585,6971,2482,79,308,1504,494,65,754,539,519,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,0,
收到的其他与投资活动有关的现金(万元),,,119,1025,,,,902,902,902,65,1669,8067,45665,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,
投资活动现金流入小计(万元),14805,12781,1603,80564,65012,32616,79,1210,2406,1396,130,37309,26963,46211,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),13744,11677,6056,22670,13461,5129,3654,14445,13302,7165,2958,15923,2313,5793,
投资所支付的现金(万元),13000,11000,1600,71400,71380,57600,,105,105,105,,16071,33120,473,
质押贷款净增加额(万元),,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),3103,3103,3103,1632,949,,,300,,,,300,4867,1442,
支付的其他与投资活动有关的现金(万元),8139,,1,1025,,,,,,,,,,44479,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,
投资活动现金流出小计(万元),37986,25780,10760,96727,85790,62729,3654,14850,13407,7270,2958,32294,40300,52187,
投资活动产生的现金流量净额(万元),-23181,-12999,-9157,-16163,-20778,-30112,-3575,-13640,-11001,-5875,-2828,5015,-13337,-5977,
吸收投资收到的现金(万元),,,,45360,45310,45310,,,,,,8576,3754,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,50,,,,,,,,,,,
取得借款收到的现金(万元),51910,30410,12910,66595,52995,20695,6995,52720,43520,10420,5520,58120,108785,110249,
发行债券收到的现金(万元),,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),3914,,,,,,,,,,,5600,83969,,
筹资活动现金流入小计(万元),55824,30410,12910,111955,98305,66005,6995,52720,43520,10420,5520,72296,196508,110249,
偿还债务支付的现金(万元),24700,18000,500,71595,48495,17915,750,50720,38120,7900,3357,62550,131825,106569,
分配股利、利润或偿付利息所支付的现金(万元),5210,4614,748,2122,1923,1403,706,2136,1527,1012,625,2278,3779,6006,
其中：子公司支付给少数股东的股利、利润(万元),,,,20,,,,,,,,15,,,
支付其他与筹资活动有关的现金(万元),261,261,,3311,2669,2446,443,1535,1237,914,438,34050,56275,407,
筹资活动现金流出小计(万元),30171,22875,1248,77027,53087,21764,1899,54390,40884,9826,4419,98877,191879,112982,
筹资活动产生的现金流量净额(万元),25653,7535,11662,34928,45218,44241,5096,-1670,2636,594,1101,-26581,4629,-2733,
汇率变动对现金及现金等价物的影响(万元),804,384,-95,-1337,-217,155,-657,-690,-611,-283,-110,985,1350,-282,
现金及现金等价物净增加额(万元),13173,-2408,-1823,19453,17487,3690,-546,2234,1517,1818,419,-6723,6913,-630,
加:期初现金及现金等价物余额(万元),24218,24218,32247,4765,4765,4765,4761,2531,2531,2531,2531,9254,2342,2971,
期末现金及现金等价物余额(万元),37391,21810,30425,24218,22252,8455,4214,4765,4048,4349,2950,2531,9254,2342,
净利润(万元),,6225,,12988,,5216,,12211,,,,8288,7925,,
少数股东损益(万元),,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,
资产减值准备(万元),,185,,1243,,512,,-126,,,,1001,594,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,3030,,5909,,2863,,5613,,,,4511,3916,,
无形资产摊销(万元),,163,,242,,102,,250,,,,271,180,,
长期待摊费用摊销(万元),,31,,31,,11,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,74,,-1628,,-1735,,-35,,,,9,618,,
固定资产报废损失(万元),,,,129,,7,,42,,,,185,21,,
公允价值变动损失(万元),,20,,,,437,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,
财务费用(万元),,1118,,2240,,1224,,2917,,,,1403,2277,,
投资损失(万元),,75,,754,,-116,,23,,,,-685,-2508,,
递延所得税资产减少(万元),,108,,93,,-116,,-30,,,,-440,-468,,
递延所得税负债增加(万元),,,,,,,,,,,,,,,
存货的减少(万元),,-1542,,-17393,,-8210,,-99,,,,-6926,2010,,
经营性应收项目的减少(万元),,-9193,,-8194,,-10267,,-5718,,,,6379,-21295,,
经营性应付项目的增加(万元),,2378,,5612,,-524,,3185,,,,-1162,20157,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,1024,845,,
经营活动产生现金流量净额(万元),,2672,,2025,,-10594,,18234,,,,13857,14270,,
债务转为资本(万元),,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,
现金的期末余额(万元),37391,21810,30425,24218,22252,8455,4214,4765,4048,4349,2950,2531,9254,2342,
现金的期初余额(万元),24218,24218,32247,4765,4765,4765,4761,2531,2531,2531,2531,9254,2342,2971,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),13173,-2408,-1823,19453,17487,3690,-546,2234,,1818,419,-6723,6913,-630,

