报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),87813,59315,98496,61070,46884,64443,42768,28028,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),2547,2411,2261,1852,1598,1966,768,1023,
收到的其他与经营活动有关的现金(万元),1469,747,488,272,102,624,213,180,
经营活动现金流入小计(万元),91829,62472,101245,63194,48583,67033,43749,29230,
购买商品、接受劳务支付的现金(万元),60757,42403,61462,43757,33048,42361,29502,20634,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),4258,3447,4743,3028,2511,3643,2315,1690,
支付的各项税费(万元),6269,4897,6865,5764,3910,4500,1699,562,
支付的其他与经营活动有关的现金(万元),6557,3391,6291,4134,2924,4165,2517,2097,
经营活动现金流出小计(万元),77842,54139,79360,56684,42393,54670,36034,24983,
经营活动产生的现金流量净额(万元),13987,8334,21885,6511,6190,12363,7715,4247,
收回投资所收到的现金(万元),80100,57500,36900,25900,23900,17500,12640,3200,
取得投资收益所收到的现金(万元),353,257,194,113,83,46,120,34,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,5,1,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),30,17,28,19,13,58,13,5,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),80483,57774,37122,26032,23996,17610,12773,3239,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1131,799,3694,2874,3492,195,158,208,
投资所支付的现金(万元),98100,57500,36900,31900,23900,17500,12640,3200,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),99231,58299,40594,34774,27392,17695,12798,3408,
投资活动产生的现金流量净额(万元),-18749,-525,-3472,-8742,-3396,-86,-25,-170,
吸收投资收到的现金(万元),,,,,,1800,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,
筹资活动现金流入小计(万元),0,0,0,0,0,1800,0,0,
偿还债务支付的现金(万元),,,,,,,,,
分配股利、利润或偿付利息所支付的现金(万元),4000,4000,4525,2525,2165,7475,800,200,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),99,99,208,94,,,,,
筹资活动现金流出小计(万元),4099,4099,4733,2619,2165,7475,800,200,
筹资活动产生的现金流量净额(万元),-4099,-4099,-4733,-2619,-2165,-5675,-800,-200,
汇率变动对现金及现金等价物的影响(万元),143,-300,-69,140,-120,-665,87,136,
现金及现金等价物净增加额(万元),-8718,3410,13611,-4710,510,5937,6978,4013,
加:期初现金及现金等价物余额(万元),31826,31826,18215,18215,18215,12278,5300,1287,
期末现金及现金等价物余额(万元),23108,35236,31826,13505,18725,18215,12278,5300,
净利润(万元),,16333,23235,,11136,,,,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,56,442,,158,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,128,245,,122,,,,
无形资产摊销(万元),,153,275,,123,,,,
长期待摊费用摊销(万元),,,,,,,,,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,,
固定资产报废损失(万元),,,,,,,,,
公允价值变动损失(万元),,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),,283,41,,107,,,,
投资损失(万元),,-257,-194,,-91,,,,
递延所得税资产减少(万元),,13,-85,,,,,,
递延所得税负债增加(万元),,,,,,,,,
存货的减少(万元),,-1046,-1066,,1824,,,,
经营性应收项目的减少(万元),,-6555,-6505,,-4220,,,,
经营性应付项目的增加(万元),,-832,5491,,-2972,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,,,,,,,,
经营活动产生现金流量净额(万元),,8334,21885,,6190,,,,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),23108,35236,31826,13505,18725,18215,12278,5300,
现金的期初余额(万元),31826,31826,18215,18215,18215,12278,5300,1287,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),-8718,3410,13611,-4710,510,5937,6978,4013,

