报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),44162,29657,16458,68422,37463,23581,11062,59238,35560,22845,11797,55211,37237,23732,12355,50972,37373,43742,20102,31649,29638,32930,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),958,900,270,2220,1429,638,112,198,198,198,,813,813,344,20,516,516,162,40,271,61,19,
收到的其他与经营活动有关的现金(万元),1816,1358,457,1512,880,514,327,686,908,799,314,1049,959,306,72,918,381,389,270,196,305,113,
经营活动现金流入小计(万元),46936,31915,17186,72154,39773,24733,11501,60123,36666,23842,12111,57073,39009,24383,12446,52406,38270,44293,20412,32116,30005,33062,
购买商品、接受劳务支付的现金(万元),23252,13852,6005,36970,21528,14046,6329,28340,15591,8900,3837,29631,22016,12628,6296,25972,17286,24503,11972,15643,15148,15522,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),9811,7200,4330,12996,9454,6635,3870,10448,8001,5796,3577,8991,6950,5105,3148,8079,6224,6570,3385,5046,5597,5357,
支付的各项税费(万元),3007,2049,507,4105,3933,3131,1833,2976,2461,1691,775,3879,2106,1665,1000,2475,1690,2971,1872,2218,1969,3206,
支付的其他与经营活动有关的现金(万元),1985,1349,513,4311,2379,1991,829,3048,3318,2302,688,3499,2548,1726,656,3150,2278,2899,1115,2076,1842,2371,
经营活动现金流出小计(万元),38055,24450,11355,58382,37294,25802,12862,44812,29371,18689,8878,45999,33621,21124,11100,39676,27478,36942,18344,24983,24556,26456,
经营活动产生的现金流量净额(万元),8881,7466,5831,13772,2479,-1069,-1361,15310,7295,5153,3233,11074,5389,3259,1346,12730,10792,7351,2068,7133,5449,6606,
收回投资所收到的现金(万元),96470,68292,36959,170035,125155,90494,61217,140112,86395,46302,14427,22549,13433,9847,2971,9932,5976,33050,22936,76480,42814,38137,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,5,,54,55,55,32,100,120,30,25,117,110,17,,15,15,199,114,14,15,8,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,3,3,3,,3000,3000,335,168,1502,1655,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),96475,68297,36959,170089,125210,90549,61249,140212,86515,46332,14452,22669,13546,9867,2971,12948,8991,33584,23218,77996,44485,38144,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),10830,8758,5948,30026,19386,14559,8302,16235,7475,4741,3042,12972,10434,8937,4464,10823,10718,10473,4218,7377,3731,5511,
投资所支付的现金(万元),91526,66104,32901,149740,105953,68494,48996,174236,119309,79890,48400,21382,13074,8690,2322,11073,6470,29752,19647,80273,42552,38375,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,3000,3000,80,80,1807,1000,280,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),102357,74863,38849,179766,125339,83053,57298,190471,126784,84631,51442,34354,23508,17627,6786,24896,20188,40305,23945,89457,47283,44166,
投资活动产生的现金流量净额(万元),-5882,-6565,-1890,-9677,-129,7496,3951,-50259,-40269,-38299,-36990,-11685,-9961,-7760,-3814,-11949,-11197,-6721,-727,-11461,-2798,-6022,
吸收投资收到的现金(万元),,,,,,,,44850,44850,44850,44850,,,,,,,,,6800,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),1555,1555,,,,,,2000,2000,2000,2000,20023,17160,11572,7948,15830,13137,4952,,1524,,,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,1041,630,,325,,,,,,,,,,688,688,4240,1359,950,
筹资活动现金流入小计(万元),1555,1555,0,0,1041,630,0,47175,46850,46850,46850,20023,17160,11572,7948,15830,13137,5640,688,12564,1359,950,
偿还债务支付的现金(万元),1598,,,,,,,10122,10044,10044,8603,17339,11511,7496,4800,15676,12440,,,1524,,,
分配股利、利润或偿付利息所支付的现金(万元),3210,3200,,2800,2800,2770,,2731,2731,2702,31,2200,439,143,66,1827,444,1090,747,8046,,2391,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,,,669,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,642,643,643,265,,,,,,,4001,100,2355,1570,3959,
筹资活动现金流出小计(万元),4808,3200,0,2800,2800,2770,0,13496,13418,13389,8899,19539,11950,7639,4866,17503,12885,5091,847,11924,1570,6351,
筹资活动产生的现金流量净额(万元),-3253,-1645,0,-2800,-1759,-2140,0,33679,33432,33461,37951,484,5210,3933,3082,-1673,253,548,-159,640,-211,-5401,
汇率变动对现金及现金等价物的影响(万元),71,14,-20,-66,,,,-96,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),-183,-730,3921,1228,591,4286,2590,-1365,458,315,4194,-127,638,-567,614,-892,-152,1178,1182,-3688,2440,-4816,
加:期初现金及现金等价物余额(万元),1712,1712,1712,484,484,484,484,1849,1849,1849,1849,1976,1976,1976,1976,2868,2868,1690,1690,5378,2939,7755,
期末现金及现金等价物余额(万元),1530,982,5633,1712,1075,4770,3074,484,2307,2164,6044,1849,2613,1408,2590,1976,2715,2868,2871,1690,5378,2939,
净利润(万元),,7250,,15878,,6869,,13964,,5856,,11696,8287,5042,,9409,6185,7586,,6518,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,60,,570,,240,,86,,65,,664,586,372,,307,76,189,,453,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,4228,,7325,,3476,,6223,,3006,,5336,3876,2524,,4474,3254,3859,,3655,,,
无形资产摊销(万元),,138,,224,,109,,176,,88,,171,128,85,,169,127,168,,113,,,
长期待摊费用摊销(万元),,,,,,,,,,,,,,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-0,,-25,,-25,,-56,,,,3,-2,-8,,41,42,38,,4,,,
固定资产报废损失(万元),,,,,,,,,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,7,7,7,,-7,-7,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,,,,
财务费用(万元),,0,,-56,,,,151,,16,,625,344,230,,300,224,105,,4,,,
投资损失(万元),,-450,,-1007,,-734,,-1324,,-590,,-19,-11,-9,,-7,-6,-44,,-22,,,
递延所得税资产减少(万元),,-66,,-226,,-118,,-53,,-6,,-84,-66,-34,,-46,-14,-99,,-77,,,
递延所得税负债增加(万元),,,,,,,,,,,,-1,-1,-1,,1,1,,,,,,
存货的减少(万元),,-1072,,-6726,,-4591,,848,,-1738,,-4911,-3598,-4140,,-1603,-2019,-2564,,-1866,,,
经营性应收项目的减少(万元),,472,,-10573,,-4355,,-4599,,-2027,,-9268,-6603,-3727,,-1951,262,-6156,,-8282,,,
经营性应付项目的增加(万元),,-3095,,8386,,-1941,,-105,,482,,6855,2441,2919,,1641,2668,3772,,6634,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,,,496,,,,,
经营活动产生现金流量净额(万元),,7466,,13772,,-1069,,15310,,5153,,11074,5389,3259,,12730,10792,7351,,7133,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),1530,982,5633,1712,1075,4770,3074,484,2307,2164,6044,1849,2613,1408,2590,1976,2715,2868,2871,1690,5378,2939,
现金的期初余额(万元),1712,1712,1712,484,484,484,484,1849,1849,1849,1849,1976,1976,1976,1976,2868,2868,1690,1690,5378,2939,7755,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-183,-730,3921,1228,591,4286,2590,-1365,458,315,4194,-127,638,-567,614,-892,-152,1178,1182,-3688,2440,-4816,

