报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),35094,24303,45178,34543,22355,48041,33645,55981,39813,40953,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),2247,1665,3046,2269,1565,2088,1001,1820,1142,,
收到的其他与经营活动有关的现金(万元),1125,1010,6250,5562,2770,2042,148,1092,1731,1219,
经营活动现金流入小计(万元),38466,26979,54474,42373,26690,52172,34795,58893,42687,42172,
购买商品、接受劳务支付的现金(万元),6143,3907,6730,5574,4482,8819,15254,22673,15118,10754,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),10673,6966,15623,12031,8246,18052,8906,15154,10576,8675,
支付的各项税费(万元),6535,4031,7888,6730,3854,9349,4313,6790,4832,3211,
支付的其他与经营活动有关的现金(万元),5097,2791,7614,5786,4449,8457,3515,7739,5054,3854,
经营活动现金流出小计(万元),28448,17695,37855,30121,21031,44677,31988,52357,35580,26494,
经营活动产生的现金流量净额(万元),10018,9283,16619,12252,5659,7495,2807,6536,7107,15678,
收回投资所收到的现金(万元),22500,8500,5300,0,,,,,,,
取得投资收益所收到的现金(万元),83,64,19,0,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),20,13,8,8,166,4989,1806,54,95,32,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,564,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),22602,8576,5327,8,731,4989,1806,54,95,32,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),6970,4194,1541,1648,942,9275,1730,7091,8861,1749,
投资所支付的现金(万元),22500,8500,5300,5300,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),29470,12694,6841,6948,942,9275,1730,7091,8861,1749,
投资活动产生的现金流量净额(万元),-6867,-4118,-1514,-6940,-212,-4285,76,-7037,-8767,-1717,
吸收投资收到的现金(万元),21805,,,0,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,
取得借款收到的现金(万元),,,,,,9892,4884,16842,16000,10709,
发行债券收到的现金(万元),,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,
筹资活动现金流入小计(万元),21805,0,0,0,0,9892,4884,16842,16213,11444,
偿还债务支付的现金(万元),23,22,9332,2653,428,9604,6525,15750,11631,20392,
分配股利、利润或偿付利息所支付的现金(万元),,1,326,,218,2125,916,743,374,481,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),760,112,181,153,123,837,,,,,
筹资活动现金流出小计(万元),784,135,9839,2806,769,13153,8028,16852,15833,25113,
筹资活动产生的现金流量净额(万元),21022,-135,-9839,-2806,-769,-3261,-3144,-10,380,-13669,
汇率变动对现金及现金等价物的影响(万元),18,-1,23,6,2,1,-8,-26,61,259,
现金及现金等价物净增加额(万元),24191,5030,5289,2512,4680,-50,-269,-538,-1219,552,
加:期初现金及现金等价物余额(万元),7534,7534,2245,2245,2245,2295,2295,2833,4052,3500,
期末现金及现金等价物余额(万元),31724,12564,7534,4757,6925,2245,2026,2295,2833,4052,
净利润(万元),,,12155,,6352,12434,,,,,
少数股东损益(万元),,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,
资产减值准备(万元),,,269,,415,-21,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,,3567,,1783,3357,,,,,
无形资产摊销(万元),,,364,,192,302,,,,,
长期待摊费用摊销(万元),,,139,,69,115,,,,,
待摊费用的减少(万元),,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,58,,25,-616,,,,,
固定资产报废损失(万元),,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,
递延收益增加(减：减少)(万元),,,3517,,1992,354,,,,,
预计负债(万元),,,,,,,,,,,
财务费用(万元),,,291,,215,472,,,,,
投资损失(万元),,,-19,,,,,,,,
递延所得税资产减少(万元),,,-619,,-397,254,,,,,
