报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),5837,3384,822,27329,34232,7985,7679,42449,53359,18485,25021,29149,9931,2122,119,56,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),13524,8379,887,8938,442,341,83,1638,618,454,280,875,106,3296,1007,213,
经营活动现金流入小计(万元),19361,11763,1710,36267,34674,8326,7762,44087,53977,18939,25301,30024,10037,5419,1125,269,
购买商品、接受劳务支付的现金(万元),42007,29057,14762,27788,42464,7694,7373,48340,61248,25284,29191,34953,14108,10797,997,50,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),5053,2853,1723,6672,4759,3494,1839,5794,4234,2644,1339,2697,981,889,230,64,
支付的各项税费(万元),2933,2836,1358,6463,5869,2692,1785,4129,3317,1791,1183,4700,1857,1401,3,0,
支付的其他与经营活动有关的现金(万元),5609,4680,2350,6899,5587,3115,1050,5162,5094,2819,1559,3048,1103,3916,1218,122,
经营活动现金流出小计(万元),55602,39427,20194,47822,58680,16995,12046,63424,73893,32538,33273,45398,18048,17002,2448,236,
经营活动产生的现金流量净额(万元),-36241,-27664,-18484,-11555,-24006,-8669,-4284,-19338,-19916,-13599,-7972,-15374,-8011,-11584,-1322,33,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),85,85,,,134,,,,,,,,,,3,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),16,,,2,,3,,60,,,,19,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),12000,12000,7031,31379,9000,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),12101,12085,7031,31382,9134,3,0,60,0,0,0,19,0,0,3,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),9220,4602,697,16505,6178,4095,923,5051,3356,1557,1735,5203,3280,523,223,37,
投资所支付的现金(万元),800,,,,2143,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,
