报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),307135,172865,49005,462444,360336,194656,51084,434468,120179,250978,176227,29125,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),110,86,27,416,358,279,132,692,452,566,110,,
收到的其他与经营活动有关的现金(万元),30619,18084,9354,26928,20227,18287,9072,11060,21493,12505,3045,2267,
经营活动现金流入小计(万元),337864,191035,58386,489788,380921,213221,60288,446221,142125,264049,179382,31392,
购买商品、接受劳务支付的现金(万元),148540,109507,37241,268684,235262,146609,28212,202788,15590,130761,80518,5108,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),22342,15484,10689,31693,24576,17852,10577,29289,15793,20847,12396,6915,
支付的各项税费(万元),13200,9867,4234,38752,36312,33341,12878,15395,6543,13320,7418,984,
支付的其他与经营活动有关的现金(万元),26662,21304,3689,29405,19547,12960,5591,15359,7916,23276,12090,9072,
经营活动现金流出小计(万元),210744,156162,55853,368534,315697,210762,57257,262831,45842,188204,112423,22080,
经营活动产生的现金流量净额(万元),127120,34873,2533,121254,65224,2459,3031,183389,96282,75845,66959,9312,
收回投资所收到的现金(万元),,,,3000,,,,2,,,,,
取得投资收益所收到的现金(万元),584,584,584,2663,,,,7,7,,32,78,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),485,464,361,835,287,12,,167,144,2605,,,
处置子公司及其他营业单位收到的现金净额(万元),6403,6403,1563,22160,14131,12282,2700,,,,,,
收到的其他与投资活动有关的现金(万元),6546,546,2815,19696,19624,12995,9313,8045,,8,22474,819,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),14018,7997,5323,48354,34042,25290,12013,8221,151,2613,22505,897,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),96162,87150,64193,200946,130471,89512,42555,200015,84988,388523,312261,345206,
投资所支付的现金(万元),4108,688,,4313,1180,1083,,12267,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),392,392,392,5,2,,,1999,1841,2605,,10224,
支付的其他与投资活动有关的现金(万元),0,,,11886,6006,6,,1264,2832,2649,767,66547,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),100662,88230,64585,217151,137659,90601,42555,215544,89661,393778,313028,421977,
投资活动产生的现金流量净额(万元),-86644,-80233,-59262,-168797,-103617,-65312,-30542,-207323,-89510,-391165,-290523,-421080,
吸收投资收到的现金(万元),305898,305596,5,28745,14149,14149,14202,94000,,200000,25125,62079,
其中：子公司吸收少数股东投资收到的现金(万元),302,,,28745,14149,14149,,,,,,59912,
取得借款收到的现金(万元),228490,212276,136876,540331,410424,300191,156550,120350,35350,129345,274601,122000,
