报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),168298,104271,52287,219902,149830,93851,43719,169673,108504,61715,28522,159793,107433,65901,25705,142743,88066,57263,25464,129877,112422,99592,110408,37442,86981,88014,73447,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),52,52,,618,414,19,,49,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),27630,29523,17203,21508,21142,11824,3276,13283,9105,5962,1795,11831,8865,5345,1744,11249,7817,4592,2630,5967,6184,4735,4676,2232,3901,3129,2773,
经营活动现金流入小计(万元),195980,133846,69490,242027,171387,105693,46995,183005,117609,67677,30317,171624,116298,71247,27448,153992,95883,61856,28093,135844,118607,104327,115084,39674,90883,91142,76220,
购买商品、接受劳务支付的现金(万元),144071,92921,43269,186295,140677,95239,52392,124728,88809,56071,24978,114281,81259,53703,34002,99033,70310,47555,26055,93120,78413,66182,83452,28526,61828,57763,61555,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),20146,13735,7785,23704,16454,11637,6250,12263,8900,5767,2806,10479,7721,4976,2537,10654,7951,5209,2573,9393,7500,6244,4812,2249,4090,3433,2842,
