报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),38286,25005,51074,34837,18944,41306,40543,40917,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),393,155,753,524,159,649,650,620,
收到的其他与经营活动有关的现金(万元),738,1445,3839,779,1092,5907,2445,3317,
经营活动现金流入小计(万元),39418,26605,55666,36140,20196,47862,43638,44854,
购买商品、接受劳务支付的现金(万元),18202,11620,20469,15930,9223,18632,17835,16312,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),12009,9141,14350,10344,7868,13898,12856,11490,
支付的各项税费(万元),2650,1924,4407,3331,1910,3749,3119,3273,
支付的其他与经营活动有关的现金(万元),6322,3955,9868,4951,2910,8030,6286,7254,
经营活动现金流出小计(万元),39183,26641,49094,34555,21911,44309,40097,38328,
经营活动产生的现金流量净额(万元),235,-36,6573,1585,-1715,3553,3542,6526,
收回投资所收到的现金(万元),,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),126,125,4,4,4,49,1,3,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,1058,350,1058,,3000,3000,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),126,125,1063,355,1062,49,3001,3003,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),2903,1819,5539,3332,3747,1367,2534,1440,
投资所支付的现金(万元),,,2,,,,,,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,316,316,316,708,3000,3000,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),2903,1819,5857,3648,4063,2075,5534,4440,
投资活动产生的现金流量净额(万元),-2777,-1694,-4794,-3294,-3000,-2027,-2533,-1437,
吸收投资收到的现金(万元),,,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,
筹资活动现金流入小计(万元),0,0,0,0,0,0,0,0,
偿还债务支付的现金(万元),,,,,,,,,
分配股利、利润或偿付利息所支付的现金(万元),,,410,402,,15682,593,688,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,
筹资活动现金流出小计(万元),0,0,410,402,0,15682,593,688,
筹资活动产生的现金流量净额(万元),0,0,-410,-402,0,-15682,-593,-688,
汇率变动对现金及现金等价物的影响(万元),28,8,-9,16,-1,15,-2,-2,
现金及现金等价物净增加额(万元),-2514,-1721,1359,-2095,-4717,-14141,415,4399,
加:期初现金及现金等价物余额(万元),15466,14684,13325,13612,13325,27465,27051,22652,
期末现金及现金等价物余额(万元),12951,12963,14684,11517,8608,13325,27465,27051,
净利润(万元),,2947,6425,,1699,4246,4439,4745,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,99,-102,,-176,356,438,348,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,673,1263,,631,1127,938,825,
无形资产摊销(万元),,30,55,,24,19,6,1,
长期待摊费用摊销(万元),,22,30,,16,60,14,6,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,-3,,-3,-41,,,
固定资产报废损失(万元),,-1,45,,36,1,12,-1,
公允价值变动损失(万元),,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),,,,,,,,,
投资损失(万元),,,,,,,,,
递延所得税资产减少(万元),,-152,-47,,-7,-37,-76,-91,
递延所得税负债增加(万元),,125,116,,,,,,
存货的减少(万元),,-1050,-544,,-801,-2696,-2473,-769,
经营性应收项目的减少(万元),,-1966,-4361,,-2257,-2258,-936,645,
经营性应付项目的增加(万元),,-763,3696,,-879,2777,1181,817,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,,,,,,,,
经营活动产生现金流量净额(万元),,-36,6573,,-1715,3553,3542,6526,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),12951,12963,14684,11517,8608,13325,27465,27051,
现金的期初余额(万元),15466,14684,13325,13612,13325,27465,27051,22652,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),-2514,-1721,1359,-2095,-4717,-14141,415,4399,

