报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),198230,132950,63349,245657,173904,117193,51539,205149,147503,97884,58341,179774,160681,141041,115672,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,60,,,2,,,,,,,,,
收到的其他与经营活动有关的现金(万元),2446,1721,467,1231,929,883,4130,992,170,167,2948,575,688,728,478,
经营活动现金流入小计(万元),200676,134671,63816,246948,174832,118076,55672,206141,147673,98051,61289,180349,161369,141769,116150,
购买商品、接受劳务支付的现金(万元),145021,98670,48529,184457,126670,82145,33611,152628,108968,69885,41516,131163,126975,111322,90443,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),17424,10915,5970,19494,13474,9307,4774,15855,11026,7607,3956,13541,11328,10099,8221,
支付的各项税费(万元),11848,8914,4696,11479,9295,6094,2860,8008,6339,3820,2367,7318,5066,4814,4733,
支付的其他与经营活动有关的现金(万元),24248,16222,7753,21087,19131,11846,9592,18823,15351,9374,11022,16249,13831,10856,9054,
经营活动现金流出小计(万元),198541,134722,66947,236518,168570,109392,50838,195314,141685,90687,58861,168271,157200,137221,112521,
经营活动产生的现金流量净额(万元),2136,-50,-3131,10430,6262,8685,4834,10826,5988,7365,2428,12078,4168,4548,3629,
收回投资所收到的现金(万元),,,,,,,,,,,,2985,,,,
取得投资收益所收到的现金(万元),817,640,279,1527,865,359,82,220,143,93,38,101,122,98,48,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),-17,-7,2,23,2,1,0,19,11,10,,7,3,13,30,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,216,
收到的其他与投资活动有关的现金(万元),529,529,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),1329,1162,281,1550,867,361,82,239,154,103,38,3093,125,111,293,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4337,2027,684,4615,2818,2708,391,3374,2665,1632,505,3798,5060,4161,3146,
投资所支付的现金(万元),2000,31140,33091,2000,51420,40200,8175,,2200,,3867,,122,1613,1200,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,114,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),6337,33167,33775,6615,54238,42908,8566,3374,4865,1632,4372,3798,5182,5774,4460,
投资活动产生的现金流量净额(万元),-5007,-32004,-33494,-5065,-53371,-42548,-8484,-3135,-4711,-1528,-4334,-705,-5056,-5663,-4167,
吸收投资收到的现金(万元),4075,3345,,42293,42293,42293,41152,,,,,,,410,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,410,,
取得借款收到的现金(万元),6000,5000,5000,5000,5000,,,,,,,,2000,1000,,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),10075,8345,5000,47293,47293,42293,41152,0,0,0,0,0,2000,1410,0,
偿还债务支付的现金(万元),175,175,5000,,,,,,,,,3000,,,,
分配股利、利润或偿付利息所支付的现金(万元),4423,3411,,3272,3080,3064,864,3540,2578,1307,1750,1630,1812,1334,1000,
其中：子公司支付给少数股东的股利、利润(万元),494,321,,409,200,200,,100,100,100,,,146,284,,
支付其他与筹资活动有关的现金(万元),0,0,,1141,1276,1276,,,,,,,,,,
筹资活动现金流出小计(万元),4598,3586,5000,4413,4356,4340,864,3540,2578,1307,1750,4630,1812,1911,1000,
筹资活动产生的现金流量净额(万元),5478,4759,0,42880,42937,37953,40288,-3540,-2578,-1307,-1750,-4630,188,-501,-1000,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),2606,-27296,-36625,48245,-4172,4090,36638,4151,-1301,4529,-3656,6743,-700,-1615,-1538,
加:期初现金及现金等价物余额(万元),59892,59892,59892,11648,11648,11648,11648,7497,7497,7497,7591,753,1454,3069,4606,
期末现金及现金等价物余额(万元),62498,32596,23268,59892,7476,15738,48286,11648,6196,12026,3936,7497,753,1454,3069,
净利润(万元),,6732,,13075,,5335,,10456,,,,8151,6596,,,
少数股东损益(万元),,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,
资产减值准备(万元),,153,,139,,108,,54,,,,30,11,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,661,,1214,,577,,1210,,,,1075,652,,,
无形资产摊销(万元),,157,,321,,112,,329,,,,212,64,,,
长期待摊费用摊销(万元),,1057,,1929,,901,,1668,,,,1107,1194,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,7,,13,,0,,25,,,,18,1,,,
固定资产报废损失(万元),,,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,
财务费用(万元),,112,,,,,,,,,,143,,,,
投资损失(万元),,-640,,-1527,,-359,,-220,,,,-101,-122,,,
递延所得税资产减少(万元),,-239,,-766,,-201,,-440,,,,-104,19,,,
递延所得税负债增加(万元),,,,,,,,,,,,,,,,
存货的减少(万元),,-5289,,-9418,,-4444,,-2375,,,,-3764,-5674,,,
经营性应收项目的减少(万元),,-2028,,-425,,881,,-4235,,,,164,-2832,,,
经营性应付项目的增加(万元),,-734,,5876,,5776,,4355,,,,5148,4259,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-50,,10430,,8685,,10826,,,,12078,4168,,,
债务转为资本(万元),,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,
现金的期末余额(万元),62498,32596,23268,59892,7476,15738,48286,11648,6196,12026,3936,7497,753,1454,3069,
现金的期初余额(万元),59892,59892,59892,11648,11648,11648,11648,7497,7497,7497,7591,753,1454,3069,4606,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),2606,-27296,-36625,48245,-4172,4090,36638,4151,,4529,-3656,6743,-700,-1615,-1538,

