报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),42889,29681,17850,50350,37617,25359,14944,57162,40955,28229,13857,49091,28779,41658,34673,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,
收到的税费返还(万元),546,362,184,1176,831,613,221,2000,1718,1004,561,1725,1209,1670,1919,
收到的其他与经营活动有关的现金(万元),238,192,131,620,401,362,10,32,24,17,8,37,23,89,245,
经营活动现金流入小计(万元),43673,30234,18164,52146,38849,26335,15174,59194,42696,29249,14426,50853,30011,43417,36837,
购买商品、接受劳务支付的现金(万元),31460,22103,13319,37799,28259,16221,8465,39309,29880,24303,12716,40933,28922,27376,50218,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6866,4488,1832,7974,5917,3832,1770,7052,5634,3441,1585,5936,3848,5303,4003,
支付的各项税费(万元),3300,1271,645,4652,4328,2350,935,3995,1634,1193,901,5043,2953,3004,243,
支付的其他与经营活动有关的现金(万元),981,531,156,1375,537,444,210,978,629,294,113,827,1535,1111,1024,
经营活动现金流出小计(万元),42606,28394,15952,51799,39042,22847,11380,51335,37776,29232,15314,52739,37258,36793,55489,
经营活动产生的现金流量净额(万元),1067,1841,2212,347,-193,3488,3795,7859,4920,17,-887,-1886,-7247,6623,-18652,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,24,24,24,21,15,7,4,,17,17,0,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,27334,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),0,0,0,24,24,24,21,15,7,4,0,17,17,27335,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3829,2529,1675,4702,3017,2156,1228,3354,3580,2860,1723,5775,3034,4886,6284,
投资所支付的现金(万元),,,,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,2000,,,3300,,,,,,,,,26805,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),3829,4529,1675,4702,6317,2156,1228,3354,3580,2860,1723,5775,3034,31692,6284,
投资活动产生的现金流量净额(万元),-3829,-4529,-1675,-4679,-6293,-2133,-1207,-3340,-3573,-2857,-1723,-5758,-3017,-4357,-6284,
吸收投资收到的现金(万元),,,,1470,1470,1470,,30440,,,,,,18000,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,1470,1470,1470,,,,,,,,,,
取得借款收到的现金(万元),15300,,,25200,9500,,,37426,11798,2979,463,27025,9354,27827,27606,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),7443,4700,3368,400,,,,6824,5534,5430,5466,,,2000,,
筹资活动现金流入小计(万元),22743,4700,3368,27070,10970,1470,0,74690,17332,8409,5930,27025,9354,47827,27606,
偿还债务支付的现金(万元),15300,,,33514,17810,10307,8305,30889,13888,4281,2130,27359,9661,27706,2508,
分配股利、利润或偿付利息所支付的现金(万元),2994,800,290,3595,3336,660,384,1345,910,617,303,1298,992,2613,540,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,1028,,
支付其他与筹资活动有关的现金(万元),9112,5790,2710,5198,556,556,556,6157,3269,2960,,974,,7172,2911,
筹资活动现金流出小计(万元),27406,6590,3000,42307,21702,11523,9245,38391,18068,7858,2433,29632,10653,37491,5959,
筹资活动产生的现金流量净额(万元),-4662,-1890,367,-15237,-10732,-10053,-9245,36298,-736,551,3497,-2607,-1299,10336,21646,
汇率变动对现金及现金等价物的影响(万元),4,3,-12,-31,-18,-35,-38,16,52,42,117,123,145,-12,-70,
现金及现金等价物净增加额(万元),-7420,-4576,893,-19599,-17236,-8733,-6695,40833,663,-2246,1003,-10128,-11417,12591,-3360,
加:期初现金及现金等价物余额(万元),26269,26269,26269,45868,45868,45868,45868,5035,5035,5035,5035,15163,15163,2572,5932,
期末现金及现金等价物余额(万元),18848,21693,27162,26269,28632,37135,39173,45868,5698,2789,6038,5035,3745,15163,2572,
净利润(万元),,2410,,5997,,2820,,6251,,2583,,5823,,4012,2750,
少数股东损益(万元),,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,
资产减值准备(万元),,-124,,282,,162,,177,,-28,,189,,287,184,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,868,,1398,,693,,1303,,630,,1143,,1181,1101,
无形资产摊销(万元),,52,,104,,52,,104,,52,,104,,102,100,
长期待摊费用摊销(万元),,,,,,,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,
