报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),59787,38232,23602,68622,56064,42985,18904,57928,44762,24674,10257,62085,40006,26772,7471,48448,63040,31216,42452,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),4066,3292,2226,7689,4978,1450,67,1886,626,519,317,791,601,474,409,725,818,17188,1215,
经营活动现金流入小计(万元),63853,41524,25829,76311,61042,44435,18970,59814,45389,25193,10574,62876,40607,27245,7881,49173,63857,48405,43668,
购买商品、接受劳务支付的现金(万元),52028,30413,19363,36859,27772,16197,6245,19963,19338,13167,6369,23067,9960,7230,3516,10766,13021,8939,13161,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),20324,14107,7214,26249,19676,13731,6222,26297,18438,13621,6629,20773,13144,9411,4756,16449,19176,15650,12389,
支付的各项税费(万元),7893,6305,2986,10842,9219,7213,3459,11266,9413,6477,3286,10592,8510,4927,1689,9575,10603,9686,10512,
支付的其他与经营活动有关的现金(万元),2183,1545,743,3924,4602,1858,1190,3062,2966,1824,670,2993,2682,1253,750,2151,2418,18123,3048,
经营活动现金流出小计(万元),82428,52369,30306,77875,61270,38999,17115,60587,50155,35089,16954,57425,34296,22821,10710,38942,45218,52398,39111,
经营活动产生的现金流量净额(万元),-18575,-10845,-4478,-1564,-228,5436,1855,-774,-4766,-9896,-6380,5451,6311,4425,-2830,10231,18640,-3994,4557,
