报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),31656,19855,6945,26593,15269,8927,4801,18290,11133,7500,3272,20626,12240,8982,6081,21875,14677,11698,6846,37310,56270,37884,46648,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),371,166,54,126,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),1699,495,165,3343,3658,1974,230,746,492,323,88,1834,1295,999,80,1666,1288,833,197,4174,2704,6437,3581,
经营活动现金流入小计(万元),33726,20517,7163,30061,18927,10901,5031,19036,11625,7824,3360,22460,13534,9981,6161,23540,15965,12531,7044,41485,58974,44321,50229,
购买商品、接受劳务支付的现金(万元),22699,13940,5045,19731,17222,8695,2949,12573,11108,5474,2390,8519,6517,3196,1324,8405,6976,3409,1185,22376,31417,28575,31930,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),6940,4628,2107,6923,4587,3046,1535,5487,3901,2482,1266,5368,3951,2588,1387,5208,3973,2475,1319,5485,6760,6229,5354,
支付的各项税费(万元),1944,1692,1303,1619,1400,1197,703,1637,917,753,461,2704,2047,1452,1007,3688,3369,1711,578,3808,3373,2548,3633,
支付的其他与经营活动有关的现金(万元),5016,2730,1598,4204,4193,1390,645,3676,2395,1745,895,2659,2295,1756,919,3380,2666,1914,755,5083,8360,6064,5141,
经营活动现金流出小计(万元),36598,22990,10053,32478,27401,14327,5831,23374,18321,10453,5012,19250,14810,8992,4637,20681,16984,9510,3837,36752,49911,43417,46058,
经营活动产生的现金流量净额(万元),-2872,-2474,-2889,-2416,-8474,-3426,-800,-4338,-6696,-2629,-1652,3210,-1276,989,1524,2859,-1019,3021,3207,4733,9063,904,4171,
