报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-06-30,2016-12-31,2016-09-30,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),18504,9773,4173,42384,22647,17195,6759,30860,9722,17368,9516,13909,7986,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,
收到的税费返还(万元),357,115,123,231,152,88,69,104,104,46,34,4,76,
收到的其他与经营活动有关的现金(万元),783,742,360,324,179,179,22,251,30,136,106,534,693,
经营活动现金流入小计(万元),19644,10630,4657,42939,22978,17462,6850,31215,9857,17550,9656,14448,8756,
购买商品、接受劳务支付的现金(万元),19701,12860,7420,21756,17302,11795,3539,15723,5450,11029,7415,4706,3964,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4561,2998,1807,6204,4328,2899,1562,5124,2547,3631,2516,2149,1565,
支付的各项税费(万元),3300,1839,743,4027,3697,1807,905,5007,3346,2735,1714,1031,833,
支付的其他与经营活动有关的现金(万元),4066,1881,1685,4246,3140,1997,1039,4241,2656,3554,2741,4370,2433,
经营活动现金流出小计(万元),31627,19578,11655,36233,28467,18498,7045,30095,13999,20949,14386,12257,8795,
经营活动产生的现金流量净额(万元),-11983,-8948,-6999,6706,-5489,-1036,-194,1120,-4142,-3399,-4730,2190,-39,
收回投资所收到的现金(万元),,,,1250,1250,1250,1250,4656,,8150,6700,500,400,
取得投资收益所收到的现金(万元),,,,2,2,2,2,5,4,17,14,0,0,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,2,2,,,5,0,11,4,0,1,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,
投资活动现金流入小计(万元),0,0,0,1254,1254,1252,1252,4666,4,8178,6718,500,402,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1189,327,158,1124,569,456,7,818,200,756,184,261,151,
投资所支付的现金(万元),,,,1250,1250,1250,1250,4506,,8300,7700,500,400,
质押贷款净增加额(万元),,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,863,273,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,
投资活动现金流出小计(万元),1189,327,158,2374,1819,1706,1257,6187,473,9056,7884,761,551,
投资活动产生的现金流量净额(万元),-1189,-327,-158,-1120,-565,-454,-5,-1521,-469,-878,-1166,-261,-149,
吸收投资收到的现金(万元),39645,39625,20,,,,,5870,5845,3205,3200,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,25,,5,,,,
取得借款收到的现金(万元),6090,5590,1100,10200,9783,4800,1100,4700,3000,5874,5674,6420,5220,
发行债券收到的现金(万元),,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,2610,2120,1510,,1661,600,1973,805,,288,
筹资活动现金流入小计(万元),45735,45215,1120,12810,11903,6310,1100,12230,9445,11052,9679,6420,5508,
偿还债务支付的现金(万元),5900,2000,,10100,8100,5600,,4500,4000,5320,4098,5750,5350,
分配股利、利润或偿付利息所支付的现金(万元),254,179,,314,173,126,53,146,66,300,209,523,270,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),3093,608,1820,90,50,20,1797,4760,770,1848,,885,,
筹资活动现金流出小计(万元),9246,2787,1820,10504,8323,5746,1851,9406,4836,7468,4307,7158,5620,
筹资活动产生的现金流量净额(万元),36489,42428,-700,2306,3580,564,-751,2824,4609,3584,5372,-738,-112,
汇率变动对现金及现金等价物的影响(万元),26,17,-1,7,12,-4,-11,-51,15,7,,,,
现金及现金等价物净增加额(万元),23342,33170,-7859,7898,-2463,-930,-961,2372,14,-686,-524,1191,-301,
加:期初现金及现金等价物余额(万元),11179,11179,11179,3281,3281,3281,3281,909,909,1595,1595,404,705,
期末现金及现金等价物余额(万元),34521,44349,3320,11179,818,2351,2320,3281,923,909,1071,1595,404,
净利润(万元),,4962,1902,7613,,4520,1815,6202,3951,4355,3135,1593,-111,
少数股东损益(万元),,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,
资产减值准备(万元),,1025,544,312,,704,232,539,439,425,370,133,181,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,380,189,730,,357,170,678,329,556,412,538,523,
无形资产摊销(万元),,35,17,57,,24,12,35,18,33,23,29,31,
长期待摊费用摊销(万元),,83,41,146,,73,32,131,64,108,80,69,45,
待摊费用的减少(万元),,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,17,1,-6,-3,1,-1,
固定资产报废损失(万元),,,,3,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,
财务费用(万元),,151,51,309,,156,53,235,48,320,213,323,351,
投资损失(万元),,,,-2,,-2,-2,-5,-4,-17,-14,-0,-0,
递延所得税资产减少(万元),,-141,-75,-3,,-102,-35,-35,-40,-61,-51,-20,-28,
递延所得税负债增加(万元),,,,12,,-2,,6,-3,6,-3,-3,7,
存货的减少(万元),,1539,-316,-315,,937,-508,-906,-287,-2286,-1607,-354,-1350,
经营性应收项目的减少(万元),,-17695,-8111,-9636,,-14977,-7389,-13145,-16385,-10921,-8173,-1245,-1986,
经营性应付项目的增加(万元),,713,-1242,7481,,7276,5426,7368,7728,4089,887,1126,2298,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-8948,-6999,6706,,-1036,-194,1120,-4142,-3399,-4730,2190,-39,
债务转为资本(万元),,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,
现金的期末余额(万元),34521,44349,3320,11179,818,2351,2320,3281,923,909,1071,1595,404,
现金的期初余额(万元),11179,11179,11179,3281,3281,3281,3281,909,909,1595,1595,404,705,
现金等价物的期末余额(万元),,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),23342,33170,-7859,7898,-2463,-930,-961,2372,14,-686,-524,1191,-301,

