报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),83158,52917,96298,71352,43440,81071,53501,38332,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),590,418,422,422,385,430,198,,
收到的其他与经营活动有关的现金(万元),379,128,1833,527,139,352,289,66,
经营活动现金流入小计(万元),84128,53464,98554,72300,43963,81853,53988,38398,
购买商品、接受劳务支付的现金(万元),44292,28250,70651,56495,32362,50817,35144,22843,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),11402,7987,15941,11778,8009,13190,11154,8530,
支付的各项税费(万元),3073,1974,3811,2600,1770,2994,2950,1827,
支付的其他与经营活动有关的现金(万元),2175,1471,2809,2007,1597,2739,1949,1434,
经营活动现金流出小计(万元),60942,39682,93212,72881,43738,69740,51197,34634,
经营活动产生的现金流量净额(万元),23186,13782,5342,-580,226,12113,2791,3764,
收回投资所收到的现金(万元),,,,,,,,,
取得投资收益所收到的现金(万元),,,16,16,9,17,40,29,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),41,40,59,57,57,1950,587,0,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),500,,9300,9300,6100,12500,20210,1000,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),541,40,9375,9373,6167,14467,20837,1029,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),22025,15147,21002,16498,14344,31300,9436,4152,
投资所支付的现金(万元),,,,,,,,1337,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,8500,8500,5300,12600,19660,2250,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),22025,15147,29502,24998,19644,43900,29096,7739,
投资活动产生的现金流量净额(万元),-21485,-15106,-20128,-15625,-13477,-29433,-8259,-6710,
吸收投资收到的现金(万元),48822,,,,,10534,600,9436,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,
取得借款收到的现金(万元),10000,8000,30500,18000,16000,6500,,200,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),167,166,11050,11151,5100,2635,10116,40,
筹资活动现金流入小计(万元),58989,8166,41550,29151,21100,19669,10716,9676,
偿还债务支付的现金(万元),5050,3050,17540,6500,3000,2000,197,3,
分配股利、利润或偿付利息所支付的现金(万元),872,605,1190,795,560,375,36,1,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),5390,3513,5173,3093,1604,2203,2185,7496,
筹资活动现金流出小计(万元),11312,7168,23903,10388,5164,4578,2417,7500,
筹资活动产生的现金流量净额(万元),47677,998,17647,18763,15936,15091,8298,2176,
汇率变动对现金及现金等价物的影响(万元),24,-3,0,10,-1,-54,16,46,
现金及现金等价物净增加额(万元),49402,-330,2861,2568,2683,-2283,2846,-724,
加:期初现金及现金等价物余额(万元),3622,3622,761,761,761,3044,198,922,
期末现金及现金等价物余额(万元),53024,3292,3622,3329,3444,761,3044,198,
净利润(万元),,4209,9807,,3679,6910,6277,5059,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,-4,522,,156,295,254,265,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,2426,3876,,1772,2092,1150,706,
无形资产摊销(万元),,79,107,,49,84,37,13,
长期待摊费用摊销(万元),,1271,2001,,870,1364,769,504,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-32,-30,,-30,-53,40,14,
固定资产报废损失(万元),,138,41,,40,49,26,0,
公允价值变动损失(万元),,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),,1111,2148,,841,612,81,-45,
投资损失(万元),,,-16,,-9,-17,-41,-29,
递延所得税资产减少(万元),,-5,545,,11,-623,-55,-17,
递延所得税负债增加(万元),,26,,,,,,,
存货的减少(万元),,2732,-2346,,-8164,-9557,-2873,-4760,
经营性应收项目的减少(万元),,274,-10252,,-2349,-3423,-9304,-4165,
经营性应付项目的增加(万元),,1557,-1060,,3358,14380,6429,6219,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,,,,,,,,
经营活动产生现金流量净额(万元),,13782,5342,,226,12113,2791,3764,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),53024,3292,3622,3329,3444,761,3044,198,
现金的期初余额(万元),3622,3622,761,761,761,3044,198,922,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),49402,-330,2861,2568,2683,-2283,2846,-724,

