报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),426833,268288,153178,501781,348053,227606,140638,411660,282885,184387,114285,349352,239151,162791,101109,314573,211911,264230,214183,171899,139710,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,102,
收到的其他与经营活动有关的现金(万元),11909,2361,649,6251,4234,1935,724,4051,3519,2765,398,2422,2105,1882,1426,2796,1862,1472,1759,1142,703,
经营活动现金流入小计(万元),438742,270649,153827,508032,352287,229541,141362,415711,286404,187153,114682,351775,241255,164672,102535,317369,213773,265701,215942,173041,140515,
购买商品、接受劳务支付的现金(万元),290112,189353,105786,336658,245450,160980,88900,261951,191123,128986,80499,226134,163531,108641,58181,185862,140989,158563,141568,103438,100817,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),52407,34375,19040,62482,45507,30330,16865,51508,37523,25761,14712,44598,32383,22276,12761,39344,28594,30616,23785,16717,13146,
