报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),50633,26604,4805,78045,54206,32535,74834,65774,50419,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,
收到的税费返还(万元),,,,294,265,237,3,41,78,
收到的其他与经营活动有关的现金(万元),1978,1709,1278,2196,1903,1702,2197,2439,4346,
经营活动现金流入小计(万元),52611,28313,6083,80535,56374,34474,77033,68254,54843,
购买商品、接受劳务支付的现金(万元),23999,17214,9151,30838,26209,16019,33885,29034,20415,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4726,3750,2071,8937,6131,4691,8241,6859,4770,
支付的各项税费(万元),4251,1772,1294,6716,4923,2092,9835,7305,3059,
支付的其他与经营活动有关的现金(万元),13878,6781,2422,9708,9145,4930,9295,10034,8345,
经营活动现金流出小计(万元),46853,29517,14938,56200,46408,27732,61255,53232,36588,
经营活动产生的现金流量净额(万元),5757,-1205,-8854,24335,9966,6742,15778,15022,18255,
收回投资所收到的现金(万元),17965,14082,9234,88280,59718,37225,53342,33251,5500,
取得投资收益所收到的现金(万元),229,163,124,944,804,406,619,295,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,,,16,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),18194,14245,9358,89224,60522,37631,53961,33562,5500,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),5033,3252,1770,5162,3865,2652,7849,7136,7330,
投资所支付的现金(万元),20683,11083,3883,107507,70759,43925,78822,28788,17038,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),25716,14335,5653,112669,74624,46577,86671,35924,24368,
投资活动产生的现金流量净额(万元),-7523,-90,3705,-23445,-14102,-8947,-32711,-2363,-18868,
吸收投资收到的现金(万元),80371,,,,,,20026,,4483,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,500,
发行债券收到的现金(万元),,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,703,1160,
筹资活动现金流入小计(万元),80371,0,0,0,0,0,20026,703,6143,
偿还债务支付的现金(万元),,,,,,,,100,1000,
分配股利、利润或偿付利息所支付的现金(万元),,,,,,,4589,6070,16,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,
支付其他与筹资活动有关的现金(万元),14,14,,78,14,14,74,703,2582,
筹资活动现金流出小计(万元),14,14,0,78,14,14,4663,6873,3598,
筹资活动产生的现金流量净额(万元),80357,-14,0,-78,-14,-14,15362,-6170,2545,
汇率变动对现金及现金等价物的影响(万元),14,5,0,-0,-0,0,0,-0,-0,
现金及现金等价物净增加额(万元),78605,-1304,-5150,812,-4151,-2219,-1570,6489,1932,
加:期初现金及现金等价物余额(万元),8107,8107,8107,7295,7295,7295,8865,2375,444,
期末现金及现金等价物余额(万元),86712,6803,2957,8107,3144,5076,7295,8865,2375,
净利润(万元),,7578,1504,17397,,,,,6189,
少数股东损益(万元),,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,
资产减值准备(万元),,78,89,72,,,,,12,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,778,348,1221,,,,,672,
无形资产摊销(万元),,71,36,100,,,,,58,
长期待摊费用摊销(万元),,9,3,25,,,,,,
待摊费用的减少(万元),,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,,,
固定资产报废损失(万元),,1,,1,,,,,,
公允价值变动损失(万元),,-131,113,-390,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,
预计负债(万元),,,,,,,,,,
财务费用(万元),,-523,-285,-220,,,,,16,
投资损失(万元),,-143,-104,-941,,,,,,
递延所得税资产减少(万元),,,,450,,,,,-309,
递延所得税负债增加(万元),,180,19,270,,,,,,
存货的减少(万元),,-237,-1756,-1223,,,,,-406,
