报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),40348,27644,13370,56310,41681,29457,15523,51558,40202,31125,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),112,108,42,1289,1218,913,570,309,139,125,
收到的其他与经营活动有关的现金(万元),755,245,128,1545,1416,932,564,1459,143,1347,
经营活动现金流入小计(万元),41216,27997,13541,59144,44315,31302,16657,53326,40484,32596,
购买商品、接受劳务支付的现金(万元),24952,17062,7843,32246,23804,15542,8947,29704,16810,10633,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),2289,1691,1095,2929,2299,1677,1046,2601,2169,2403,
支付的各项税费(万元),2394,1566,1036,2336,2025,1421,591,2906,2754,2362,
支付的其他与经营活动有关的现金(万元),2121,1146,680,7321,5572,3742,1807,7749,5680,4440,
经营活动现金流出小计(万元),31756,21465,10654,44833,33700,22382,12391,42960,27413,19838,
经营活动产生的现金流量净额(万元),9460,6532,2887,14311,10615,8920,4266,10366,13071,12758,
收回投资所收到的现金(万元),,,,,,,,39,19,,
取得投资收益所收到的现金(万元),,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,2,2,2,2,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),0,0,0,2,2,2,2,39,19,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1354,716,594,8232,7291,3571,2212,4869,2084,2033,
投资所支付的现金(万元),15000,,,31,,31,31,15,10,,
质押贷款净增加额(万元),,,,,,,,,,,
