报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-06-30,2013-12-31,2013-06-30,2012-12-31,2012-06-30,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
销售商品、提供劳务收到的现金(万元),848699,589736,394986,1264248,800397,602414,406684,1075807,598261,447717,299179,703546,394689,285909,416362,186935,,219692,,238690,516582,,342988,185623,301179,154378,245373,146597,99537,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),5269,3313,634,9011,6251,2356,810,3882,3181,2337,1167,5547,4266,3539,2900,983,,56,,,626,,101,,1245,84,1288,1360,670,
收到的其他与经营活动有关的现金(万元),2593,1652,8789,40091,20045,10874,5342,5836,24084,16567,9714,55900,32426,16967,25293,12341,,12954,,12129,10631,,11732,3963,3601,1452,7011,3952,4189,
经营活动现金流入小计(万元),856561,594702,404409,1313350,826693,615644,412836,1085525,625526,466622,310059,764993,431381,306415,444556,200259,,232702,,250819,527839,,354821,189585,306024,155915,253672,151909,104395,
购买商品、接受劳务支付的现金(万元),449982,397632,282543,790746,501689,393251,289467,666651,384664,294643,186371,389278,243439,158862,217526,106239,,149926,,172630,304508,,187004,110246,173617,86138,148903,54908,64117,
