报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),33885,20820,47730,33816,22829,47098,32670,20618,22473,22367,20467,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,
收到的税费返还(万元),99,68,,,,195,647,,85,82,30,
收到的其他与经营活动有关的现金(万元),723,269,4219,601,372,3786,3032,364,523,3209,1725,
经营活动现金流入小计(万元),34707,21157,51949,34417,23201,51078,36349,20983,23082,25658,22223,
购买商品、接受劳务支付的现金(万元),19892,12323,21364,16719,10468,25381,20826,13828,10485,12971,13817,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),7008,4603,9400,7278,4946,8443,6353,3092,3702,2933,2282,
支付的各项税费(万元),2650,1641,4580,3632,2724,6063,4333,1865,3477,1984,1623,
支付的其他与经营活动有关的现金(万元),1474,837,2463,1993,1165,3643,4686,870,2085,4445,994,
经营活动现金流出小计(万元),31023,19404,37807,29622,19304,43530,36199,19655,19750,22333,18715,
经营活动产生的现金流量净额(万元),3684,1753,14142,4795,3898,7549,150,1328,3332,3325,3508,
收回投资所收到的现金(万元),15080,,,,,210,,,,,,
取得投资收益所收到的现金(万元),,,2,2,1,,,,,0,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),55,2,4,4,,9,44,3,154,1,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,1328,,,
收到的其他与投资活动有关的现金(万元),,,1350,1350,620,66,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,
投资活动现金流入小计(万元),15135,2,1355,1355,621,285,44,3,1482,1,,
