报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),122248,69484,14517,184124,131660,87811,39086,188209,139245,101552,177296,135071,102917,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,
收到的税费返还(万元),104,71,54,52,52,16,,32,32,32,,,,
收到的其他与经营活动有关的现金(万元),18732,13822,6481,16091,14878,13141,1651,9863,8923,6140,3581,4559,3535,
经营活动现金流入小计(万元),141084,83377,21052,200267,146590,100968,40737,198103,148200,107724,180877,139631,106452,
购买商品、接受劳务支付的现金(万元),62024,37865,21093,91111,62433,39265,20291,92506,75092,47383,89311,65189,49546,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),16193,9370,5361,21007,15652,10857,6373,19370,15577,10727,14974,5783,4599,
支付的各项税费(万元),7569,4645,2907,16053,12194,7982,3577,19291,14257,10039,17764,13940,13212,
支付的其他与经营活动有关的现金(万元),52463,41142,12955,42499,42083,23873,7200,40060,23123,16408,34813,21235,17231,
经营活动现金流出小计(万元),138249,93022,42316,170670,132363,81978,37441,171226,128049,84556,156861,106146,84588,
经营活动产生的现金流量净额(万元),2835,-9646,-21264,29597,14227,18990,3296,26877,20152,23168,24016,33484,21864,
收回投资所收到的现金(万元),394,370,,,,,,678,250,250,18051,13985,956,
取得投资收益所收到的现金(万元),911,236,,799,799,799,527,238,91,91,1192,687,2304,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),42,42,72,583,159,158,148,2843,16,11,91,39,8,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,4301,9116,15394,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,
投资活动现金流入小计(万元),1347,648,72,1382,957,956,675,3759,357,352,23635,23828,18663,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),7131,2689,2153,13009,9419,5907,3499,17582,14424,6781,11471,6256,1329,
投资所支付的现金(万元),,,,350,350,350,,400,400,400,400,15200,1150,
质押贷款净增加额(万元),,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,2800,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,1800,8800,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,
投资活动现金流出小计(万元),7131,2689,2153,13359,9769,6257,3499,17982,14824,7181,14671,23256,11279,
投资活动产生的现金流量净额(万元),-5784,-2040,-2081,-11977,-8811,-5301,-2824,-14223,-14467,-6829,8964,572,7384,
吸收投资收到的现金(万元),50041,50041,50041,,,,,480,480,480,12174,5381,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,480,480,480,1680,1575,,
取得借款收到的现金(万元),,,,,,,,,,,,,2000,
发行债券收到的现金(万元),,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,
筹资活动现金流入小计(万元),50041,50041,50041,0,0,0,0,480,480,480,12174,5381,2000,
偿还债务支付的现金(万元),,,,,,,,,,,,,2000,
分配股利、利润或偿付利息所支付的现金(万元),13450,13450,,7920,7920,7920,7920,24460,24460,3960,14000,25354,29936,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,
筹资活动现金流出小计(万元),13450,13450,0,7920,7920,7920,7920,24460,24460,3960,14000,25354,31936,
筹资活动产生的现金流量净额(万元),36591,36591,50041,-7920,-7920,-7920,-7920,-23980,-23980,-3480,-1826,-19973,-29936,
汇率变动对现金及现金等价物的影响(万元),44,22,29,-12,24,-10,-35,111,122,42,-175,108,243,
现金及现金等价物净增加额(万元),33686,24927,26725,9687,-2480,5759,-7484,-11215,-18173,12900,30978,14192,-444,
加:期初现金及现金等价物余额(万元),64325,64325,64325,54638,54638,54638,54638,65852,65852,65852,34874,20682,21127,
期末现金及现金等价物余额(万元),98011,89252,91050,64325,52158,60397,47154,54638,47679,78752,65852,34874,20682,
净利润(万元),,5206,,27122,,16331,,30093,,17810,27385,26814,24517,
少数股东损益(万元),,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,
资产减值准备(万元),,-36,,628,,1396,,1057,,261,475,378,426,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1121,,2152,,863,,1688,,1539,2404,1673,1487,
无形资产摊销(万元),,482,,1152,,624,,1206,,,,,,
长期待摊费用摊销(万元),,,,320,,149,,288,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,-132,,,,-48,,5,20,91,3,
固定资产报废损失(万元),,57,,2,,1,,12,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,
财务费用(万元),,-22,,12,,10,,-111,,-42,175,-425,-528,
投资损失(万元),,-236,,-799,,-799,,-238,,-91,-3132,-647,-1598,
递延所得税资产减少(万元),,38,,-251,,-236,,-258,,-169,-659,-50,-55,
递延所得税负债增加(万元),,,,195,,,,,,,,,,
存货的减少(万元),,-3301,,-1192,,-2021,,490,,-373,-7836,-2755,602,
经营性应收项目的减少(万元),,-9027,,-4426,,-5720,,-10020,,4149,-10599,-2729,-7605,
经营性应付项目的增加(万元),,-3857,,4815,,8393,,2718,,78,12768,8318,4614,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,
