报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),46493,32227,17895,73161,52611,34034,17687,68987,63210,52400,59755,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,
收到的税费返还(万元),203,102,102,78,78,78,,60,,44,172,
收到的其他与经营活动有关的现金(万元),623,985,428,1255,1277,874,476,311,199,291,312,
经营活动现金流入小计(万元),47320,33313,18425,74494,53966,34986,18162,69358,63409,52736,60240,
购买商品、接受劳务支付的现金(万元),11888,8708,2866,24513,20984,15209,8302,25279,19542,21662,21244,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),9636,6817,4260,12317,8727,6374,3950,9861,8049,7574,7576,
支付的各项税费(万元),3210,2359,1004,8160,4829,3009,1838,7659,4263,3605,1868,
支付的其他与经营活动有关的现金(万元),9931,6433,3134,12913,9654,6224,2594,14972,12562,13977,15193,
经营活动现金流出小计(万元),34665,24316,11264,57902,44194,30816,16684,57770,44416,46819,45881,
经营活动产生的现金流量净额(万元),12655,8997,7161,16592,9771,4170,1478,11588,18993,5917,14358,
收回投资所收到的现金(万元),,,,21000,12000,9000,8000,20400,125400,36420,3500,
取得投资收益所收到的现金(万元),528,288,46,585,423,348,247,359,797,562,435,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,4,,8,8,,,42,17,14,26,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),9700,4073,700,,,,,,,3500,2100,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,
投资活动现金流入小计(万元),10232,4365,746,21593,12430,9348,8247,20801,126214,40495,6060,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),21274,10732,1594,9782,10783,10494,2552,8765,2066,1396,2184,
投资所支付的现金(万元),25000,,,12000,12700,12000,3000,29400,112400,45920,3500,
质押贷款净增加额(万元),,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,14643,,,,,,,2100,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,
投资活动现金流出小计(万元),46274,10732,1594,36425,23483,22494,5552,38165,114466,47316,7784,
投资活动产生的现金流量净额(万元),-36042,-6367,-849,-14832,-11053,-13146,2695,-17364,11748,-6821,-1723,
吸收投资收到的现金(万元),35027,,10083,,,,3623,,12324,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,
取得借款收到的现金(万元),22268,22268,,16439,9608,6923,,,,79,40,
发行债券收到的现金(万元),,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,
筹资活动现金流入小计(万元),57295,22268,10083,16439,9608,6923,3623,0,12324,79,40,
偿还债务支付的现金(万元),3636,3214,1765,10232,7940,4803,,,,79,266,
分配股利、利润或偿付利息所支付的现金(万元),1377,340,120,8967,8939,8918,,4385,6818,6458,7061,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),902,65,,95,95,95,85,35,175,,,
筹资活动现金流出小计(万元),5915,3620,1885,19294,16975,13816,85,4420,6993,6537,7328,
