报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),89553,59840,33976,134786,91593,59436,32362,112955,80028,53307,27199,98828,71756,89057,88651,80015,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),1315,1313,585,2003,1684,1334,544,1079,771,314,236,346,301,427,102,421,
收到的其他与经营活动有关的现金(万元),3465,1706,521,1132,1591,1154,252,863,752,254,191,1022,1112,744,601,625,
经营活动现金流入小计(万元),94334,62860,35082,137921,94869,61924,33158,114897,81551,53874,27626,100197,73168,90228,89354,81061,
购买商品、接受劳务支付的现金(万元),42212,27395,17821,72256,49806,32320,19966,61132,45061,27868,16865,50355,38083,39806,47510,40234,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),33019,21552,10868,36542,26258,17218,8727,28880,21052,14234,6809,23766,17249,21550,21396,18721,
支付的各项税费(万元),5357,3436,1790,5845,4367,2934,1377,7008,5827,3762,1953,7045,5512,6481,5929,6569,
支付的其他与经营活动有关的现金(万元),11024,7266,2807,11827,7207,4469,1941,9474,3355,3817,1740,7235,4773,5703,5408,5658,
经营活动现金流出小计(万元),91612,59648,33287,126470,87639,56942,32010,106494,75295,49681,27368,88401,65617,73540,80243,71182,
经营活动产生的现金流量净额(万元),2722,3211,1795,11451,7230,4983,1148,8403,6256,4193,259,11796,7551,16687,9111,9879,
收回投资所收到的现金(万元),61197,42039,13913,87506,65773,50476,28854,1004,,,,,,,7904,,
取得投资收益所收到的现金(万元),,0,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),47,9,0,128,149,116,63,10,17,17,6,68,23,131,112,74,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,120,25,,,242,120,112,,100,100,75,61,72,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),61245,42048,13913,87754,65946,50592,28917,1256,136,129,6,168,123,206,8077,146,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),16816,11812,5956,24538,14893,9340,4661,13245,7428,5478,2005,6021,2856,3503,6899,9397,
投资所支付的现金(万元),47001,29801,13821,82306,64940,45900,26700,25900,,,,,,,7895,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),63817,41613,19777,106844,79833,55240,31361,39145,7428,5478,2005,6021,2856,3503,14794,9397,
