报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2014-09-30,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),125298,64395,21135,161825,88235,46242,18104,102408,73237,32791,10832,10867,3919,8924,5610,9361,7127,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到的税费返还(万元),17,,0,48,63,9,5,134,263,128,42,49,,1,0,0,,
收到的其他与经营活动有关的现金(万元),2149,769,330,4000,2375,1739,353,1456,572,1663,429,2425,235,1267,1345,835,639,
经营活动现金流入小计(万元),127464,65164,21465,165873,90673,47990,18462,103998,74072,34581,11303,13341,4154,10191,6955,10197,7766,
购买商品、接受劳务支付的现金(万元),139638,72533,39782,128103,93894,47262,30154,75029,45545,19936,8158,4787,2076,4020,2249,4804,3644,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),8188,5670,3327,10563,7985,5522,2941,8301,4625,2731,865,1893,981,1707,1164,1062,723,
支付的各项税费(万元),6143,4282,2662,5482,4411,3332,1858,5386,5415,2959,1379,1166,458,1114,996,1025,600,
支付的其他与经营活动有关的现金(万元),5184,3360,1651,7675,5747,4201,2600,7487,5319,2365,661,3111,962,2138,2283,1679,2623,
经营活动现金流出小计(万元),159153,85844,47421,151823,112037,60317,37553,96203,60903,27991,11062,10957,4477,8980,6692,8570,7590,
经营活动产生的现金流量净额(万元),-31689,-20681,-25957,14050,-21364,-12327,-19092,7795,13169,6591,241,2384,-323,1212,263,1627,176,
收回投资所收到的现金(万元),20000,,,,,,,,1920,1015,,,,,,,,
取得投资收益所收到的现金(万元),150,,,,,,,,137,45,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),8,7,7,23,0,0,0,3,40,34,26,1,1,23,23,,0,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),20158,7,7,23,0,0,0,3,2097,1094,26,1,1,23,23,0,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),447,136,63,341,219,161,131,214,112,75,61,641,221,882,693,1776,1117,
投资所支付的现金(万元),51772,13802,,,,,,,1920,1015,1015,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,109,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),52218,13938,63,341,219,161,131,214,2032,1090,1076,641,221,882,693,1776,1226,
投资活动产生的现金流量净额(万元),-32061,-13931,-56,-318,-218,-161,-131,-210,65,4,-1050,-640,-220,-859,-670,-1776,-1225,
吸收投资收到的现金(万元),98827,99045,,,,,,,,,,2976,2976,,,918,485,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),2500,2000,1000,11512,5700,1700,700,4300,5100,1700,1500,3600,1300,3500,3500,3780,1643,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,1000,1000,1000,,,100,849,,,,,,,,
筹资活动现金流入小计(万元),101327,101045,1000,12512,6700,2700,700,4300,5200,2549,1500,6576,4276,3500,3500,4698,2128,
偿还债务支付的现金(万元),8700,3500,1100,9712,4900,2900,400,3450,2750,3100,1550,2600,1500,3700,3000,2899,574,
分配股利、利润或偿付利息所支付的现金(万元),10535,253,156,7999,189,137,234,5221,5195,2139,2053,131,75,161,122,152,70,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),26,20,20,96,61,13,17,106,232,542,20,51,,,,,,
筹资活动现金流出小计(万元),19261,3773,1276,17808,5149,3050,651,8777,8177,5780,3624,2782,1575,3861,3122,3051,644,
筹资活动产生的现金流量净额(万元),82066,97272,-276,-5295,1551,-350,49,-4477,-2977,-3231,-2124,3794,2701,-361,378,1647,1484,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),18317,62660,-26289,8437,-20031,-12838,-19173,3107,10257,3363,-2933,5538,2158,-8,-29,1497,435,
加:期初现金及现金等价物余额(万元),32138,32138,32138,23701,23701,23701,23701,20594,10338,6974,33995,1936,1936,1944,1944,447,12,
期末现金及现金等价物余额(万元),50455,94798,5849,32138,3670,10864,4528,23701,20594,10338,31062,7474,4094,1936,1915,1944,447,
净利润(万元),,10272,,19362,,,,,,,2138,2448,284,1259,342,590,473,
少数股东损益(万元),,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,
资产减值准备(万元),,,,,,,,,,,27,28,-0,-9,-11,11,8,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,55,,84,,,,,,,254,755,407,777,599,599,376,
