报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),40938,24054,14394,87947,61569,38874,27096,39201,19230,10353,7852,18207,20445,24399,16980,14979,11212,9095,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),2548,2239,2083,1532,1266,1134,,317,6,6,,97,53,80,0,6,6,,
收到的其他与经营活动有关的现金(万元),1460,1022,365,1616,437,284,88,467,289,103,79,1070,675,191,176,71,192,146,
经营活动现金流入小计(万元),44946,27316,16842,91096,63272,40293,27185,39986,19525,10462,7931,19374,21172,24670,17156,15056,11410,9240,
购买商品、接受劳务支付的现金(万元),26474,11202,7659,54028,43090,26474,14522,27810,15334,6572,3211,5435,8847,7202,6810,5542,4584,3554,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),8168,5299,2661,9619,7109,5231,2455,6812,4644,2762,1303,5043,5353,4228,2928,2727,2390,1831,
支付的各项税费(万元),4153,2509,1265,3945,4021,1803,1659,2654,1339,1063,965,1621,2832,2176,1693,2254,1473,1435,
支付的其他与经营活动有关的现金(万元),3180,1970,689,4979,3973,1799,1291,6600,4019,2163,1293,2779,2623,2382,1135,1149,1115,1071,
经营活动现金流出小计(万元),41974,20980,12274,72572,58192,35307,19928,43876,25336,12559,6772,14879,19655,15989,12566,11672,9563,7891,
经营活动产生的现金流量净额(万元),2972,6336,4568,18524,5080,4986,7257,-3891,-5811,-2097,1159,4495,1518,8682,4590,3383,1847,1349,
收回投资所收到的现金(万元),15100,3800,,20300,17800,17800,9802,11811,11811,10711,4329,116850,84910,67631,,,,,
取得投资收益所收到的现金(万元),161,10,,76,70,66,,30,30,28,,318,334,253,159,75,109,36,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,5,6,5,1,4,2,2,4,29,3,9,3,25,1,110,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,0,,,,4,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),15261,3810,0,20382,17876,17872,9804,11845,11843,10741,4337,117197,85248,67892,162,100,110,146,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3230,1778,845,5877,4632,3842,2874,9332,7474,4883,3087,5686,5906,1877,1277,3452,634,636,
投资所支付的现金(万元),29345,8800,,20300,19300,17800,9430,11811,11811,10711,5351,116850,84790,67634,3,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),665,665,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,168,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),33240,11244,845,26177,23932,21642,12471,21143,19285,15594,8439,122536,90696,69511,1280,3452,634,636,
投资活动产生的现金流量净额(万元),-17979,-7434,-845,-5795,-6056,-3771,-2668,-9298,-7442,-4853,-4102,-5339,-5448,-1619,-1118,-3352,-524,-490,
吸收投资收到的现金(万元),294,,,2063,,,,15526,,,,,,7210,7210,3,,3000,
其中：子公司吸收少数股东投资收到的现金(万元),294,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),19467,18150,1350,7000,7000,7000,,7000,7000,,,3567,3426,2600,,1500,300,200,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,
筹资活动现金流入小计(万元),19761,18150,1350,9063,7000,7000,0,22526,7000,0,0,3567,3426,9810,7210,1503,300,3200,
偿还债务支付的现金(万元),21323,8350,,8465,7000,,,4528,4528,4518,,100,3500,1000,900,800,200,300,
分配股利、利润或偿付利息所支付的现金(万元),2958,2841,84,2160,2040,1850,100,900,783,119,41,620,2519,19,13,1520,18,1017,
其中：子公司支付给少数股东的股利、利润(万元),,,,25,25,,,25,,25,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,633,614,614,609,430,,,,,,,,,,170,
筹资活动现金流出小计(万元),24281,11191,84,11258,9654,2464,709,5858,5311,4637,41,720,6019,1019,913,2320,218,1487,
筹资活动产生的现金流量净额(万元),-4520,6959,1266,-2195,-2654,4536,-709,16668,1689,-4637,-41,2847,-2593,8791,6297,-817,82,1713,
汇率变动对现金及现金等价物的影响(万元),443,374,38,116,348,123,-516,-216,-151,-70,13,102,140,-17,4,-13,1,-16,
现金及现金等价物净增加额(万元),-19083,6235,5028,10650,-3282,5875,3364,3263,-11716,-11658,-2970,2105,-6384,15836,9773,-799,1406,2556,
加:期初现金及现金等价物余额(万元),30280,30280,30280,19630,19720,19630,19720,16367,16367,16367,16367,14262,20645,4809,4809,5608,4202,1646,
期末现金及现金等价物余额(万元),11197,36515,35308,30280,16438,25505,23084,19630,4650,4709,13397,16367,14262,20645,14581,4809,5608,4202,
净利润(万元),,2806,,14116,,4361,,8234,2984,-26,,3751,3369,5523,4854,4350,3344,2473,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,-166,,304,,-238,,707,196,23,,94,40,18,-11,84,48,10,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1197,,2198,,1072,,1611,1099,658,,662,572,458,334,395,363,285,
无形资产摊销(万元),,72,,128,,58,,111,83,55,,106,89,71,52,20,12,8,
长期待摊费用摊销(万元),,41,,38,,11,,18,12,12,,93,116,122,82,34,23,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,2,,-5,,6,-3,-1,,1,23,-2,-1,8,9,-38,
固定资产报废损失(万元),,,,72,,21,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,
财务费用(万元),,-174,,373,,87,,529,174,94,,20,19,23,13,20,18,17,
投资损失(万元),,-101,,-76,,-66,,-30,-30,-28,,-318,-334,-249,-159,-75,-109,-36,
递延所得税资产减少(万元),,157,,-125,,-246,,-45,,,,,,,,,,,
递延所得税负债增加(万元),,12,,,,,,,,,,,,,,,,,
存货的减少(万元),,2996,,-3471,,-5817,,-5265,-6209,-2064,,378,-880,-895,-661,-164,-236,-295,
经营性应收项目的减少(万元),,-1187,,9979,,11158,,-19503,-11055,-2144,,-2846,1545,187,55,-2259,-2432,-1251,
经营性应付项目的增加(万元),,683,,-5076,,-5411,,9735,6939,1325,,2555,-3041,2322,31,968,807,177,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,
其他(万元),,,,63,,,,,,,,,,1105,,,,,
经营活动产生现金流量净额(万元),,6336,,18524,,4986,,-3891,-5811,-2097,,4495,1518,8682,4590,3383,1847,1349,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),11197,36515,35308,30280,16438,25505,23084,19630,4650,4709,13397,16367,14262,20645,14581,4809,5608,4202,
