报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),132519,75653,36740,194645,128254,90509,44497,168384,107886,61317,25196,116269,72498,99659,76126,74766,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),2105,3258,416,5233,2831,1015,416,1527,764,97,34,3204,1751,781,453,479,
经营活动现金流入小计(万元),134624,78911,37157,199878,131085,91524,44913,169910,108650,61414,25230,119473,74249,100440,76579,75245,
购买商品、接受劳务支付的现金(万元),91717,51380,31984,123026,84796,53884,27047,103894,66180,34656,11417,81180,50820,71855,61381,53390,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),24404,16645,10763,26044,19332,13765,10314,17312,13299,9760,6534,9233,7056,5994,4484,3494,
支付的各项税费(万元),7778,5622,1837,10997,9070,6221,2114,10571,8181,3524,937,8180,6497,7597,3648,3080,
支付的其他与经营活动有关的现金(万元),8813,5052,2641,13434,7697,5723,3625,13904,10799,6487,3326,9371,6620,8886,6868,6330,
经营活动现金流出小计(万元),132712,78699,47224,173501,120896,79592,43100,145681,98459,54428,22214,107965,70993,94332,76381,66293,
