报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-03-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),32838,22589,10773,54235,43018,29538,14502,59832,41480,25927,12829,44827,29317,17879,35995,7826,34698,26912,28730,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),651,350,156,1225,1199,657,499,2595,1837,1216,370,1651,1138,876,562,137,1756,637,853,
收到的其他与经营活动有关的现金(万元),2850,1214,547,4130,2743,1607,278,1446,771,375,27,701,582,510,410,24,615,459,552,
经营活动现金流入小计(万元),36340,24153,11477,59590,46961,31803,15280,63873,44088,27518,13225,47180,31036,19265,36967,7987,37069,28008,30135,
购买商品、接受劳务支付的现金(万元),18241,12193,5144,29621,22980,17040,8328,29513,22074,14322,7209,18607,12434,8112,15507,1212,20620,12973,15729,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4699,3204,1851,6007,4806,3093,1731,5853,4034,3035,1725,4316,3021,2261,3430,1123,3744,2920,2771,
支付的各项税费(万元),4302,3763,252,6067,5599,3169,1979,4095,4252,3114,969,2778,2664,1744,2113,513,1677,1308,1934,
支付的其他与经营活动有关的现金(万元),1381,971,541,3797,2920,1662,829,2445,1708,1507,779,1950,997,799,1840,496,1665,1881,1239,
经营活动现金流出小计(万元),28623,20131,7788,45492,36305,24965,12866,41906,32068,21978,10682,27651,19116,12915,22889,3345,27705,19082,21673,
经营活动产生的现金流量净额(万元),7717,4022,3689,14098,10656,6837,2414,21967,12020,5540,2543,19528,11920,6349,14078,4643,9364,8926,8462,
收回投资所收到的现金(万元),,,,,270016,162916,19600,,,,,243,,,9657,,,,,
取得投资收益所收到的现金(万元),119,34,1,3278,3714,2083,557,682,438,285,119,899,568,567,646,205,516,599,171,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,5,,207,6,6,,43,,32,,7,6,2,59,2,11,1,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),230209,162368,66501,94284,,,,175,,215,100,1995,,500,540,,80,10794,1050,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),230333,162406,66502,97768,273736,165005,20157,900,438,532,219,3144,573,1069,10902,208,607,11393,1221,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4106,2682,665,7586,6967,1586,1051,6184,1738,3363,722,2343,1245,926,4113,2091,2541,2400,4383,
投资所支付的现金(万元),3500,3500,,4700,284495,174360,19100,90100,11306,15000,12500,,11781,11474,2471,1000,9200,3700,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),217439,150339,68207,117468,,,,,,,,10,10,10,200,,1363,500,10644,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),225045,156521,68872,129754,291462,175946,20151,96284,13044,18363,13222,2353,13036,12410,6785,3091,13104,6600,15027,
投资活动产生的现金流量净额(万元),5288,5885,-2370,-31986,-17727,-10942,6,-95384,-12607,-17831,-13003,791,-12463,-11341,4117,-2883,-12496,4793,-13805,
吸收投资收到的现金(万元),20,20,20,60,,,,95759,98110,,,,,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),20,20,20,60,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,,,,,,,,,1656,1000,1000,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,14110,14110,114,7500,,
筹资活动现金流入小计(万元),20,20,20,60,0,0,0,95759,98110,0,0,0,0,0,14110,14110,1770,8500,1000,
偿还债务支付的现金(万元),,,,,,,,,,,,,,,,,2656,1000,1000,
