报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2016-03-31,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),63996,45004,22550,74050,55612,29787,15908,26013,17636,39907,9080,25066,6305,3340,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),22,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),3860,1554,651,1880,1089,589,390,1251,1716,696,495,348,109,488,
经营活动现金流入小计(万元),67878,46558,23202,75929,56701,30376,16298,27264,19352,40603,9575,25414,6414,3828,
购买商品、接受劳务支付的现金(万元),37025,26793,13562,41277,31502,17399,8202,32370,23087,23650,7384,11787,2589,1159,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),8137,5543,2665,9016,6806,4684,2599,7303,5168,5827,1525,3194,1572,982,
支付的各项税费(万元),3395,2629,1453,4845,3622,2366,1263,4477,845,3864,918,3030,910,330,
支付的其他与经营活动有关的现金(万元),4354,2058,644,4077,2672,1933,802,3426,2590,3404,780,1652,1237,956,
经营活动现金流出小计(万元),52911,37023,18324,59215,44602,26382,12867,47575,31690,36745,10607,19662,6308,3428,
经营活动产生的现金流量净额(万元),14967,9535,4878,16714,12098,3994,3430,-20312,-12338,3858,-1031,5752,106,401,
收回投资所收到的现金(万元),28397,,,,,,,,,,,,,400,
取得投资收益所收到的现金(万元),186,,,,,,,,,,,,,7,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,1,,36,2,2,,4,1,0,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,
投资活动现金流入小计(万元),28583,1,0,36,2,2,0,4,1,0,0,0,0,407,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),21726,12680,5519,5119,3059,2865,259,5081,3969,14725,5667,10499,1357,1042,
投资所支付的现金(万元),36397,18397,,,,,,,,,,,,400,
质押贷款净增加额(万元),,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,
投资活动现金流出小计(万元),58123,31077,5519,5119,3059,2865,259,5081,3969,14725,5667,10499,1357,1442,
投资活动产生的现金流量净额(万元),-29540,-31077,-5519,-5083,-3057,-2863,-259,-5077,-3969,-14725,-5667,-10499,-1357,-1035,
吸收投资收到的现金(万元),40810,40810,,,,,,,,,,8000,124,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,
取得借款收到的现金(万元),7014,6000,3000,11780,11000,6000,1000,36956,29480,10500,3000,4900,4154,1150,
发行债券收到的现金(万元),,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,3000,3123,3000,,222,222,1449,,77,116,797,
筹资活动现金流入小计(万元),47824,46810,3000,14780,14123,9000,1000,37177,29701,11949,3000,12977,4394,1947,
偿还债务支付的现金(万元),10030,6850,4670,21320,20935,8210,2690,10232,9467,4934,144,3771,1547,1826,
分配股利、利润或偿付利息所支付的现金(万元),375,262,118,820,671,491,248,727,896,493,97,316,80,46,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1293,2602,64,1515,322,274,59,1004,711,469,38,60,75,,
筹资活动现金流出小计(万元),11698,9714,4852,23655,21929,8976,2997,11963,11073,5896,279,4147,1702,1872,
筹资活动产生的现金流量净额(万元),36126,37096,-1852,-8875,-7806,24,-1997,25214,18628,6053,2721,8830,2692,75,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),21553,15554,-2493,2755,1235,1156,1174,-175,2321,-4813,-3977,4083,1440,-559,
加:期初现金及现金等价物余额(万元),3575,3575,3575,820,820,820,820,995,995,5808,5808,1725,285,844,
期末现金及现金等价物余额(万元),25128,19130,1082,3575,2056,1976,1994,820,3316,995,1830,5808,1725,285,
净利润(万元),,4692,,9812,,3187,,9273,,7561,,,,,
少数股东损益(万元),,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,
资产减值准备(万元),,335,,-814,,-475,,1183,,319,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,2051,,3495,,1715,,3098,,1748,,,,,
无形资产摊销(万元),,89,,133,,66,,111,,67,,,,,
长期待摊费用摊销(万元),,807,,1496,,736,,1289,,690,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,1,,28,,-1,,8,,,,,,,
固定资产报废损失(万元),,167,,176,,18,,44,,140,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,
财务费用(万元),,607,,1485,,752,,1553,,1004,,,,,
投资损失(万元),,,,,,,,,,,,,,,
递延所得税资产减少(万元),,-28,,-19,,5,,-360,,-198,,,,,
递延所得税负债增加(万元),,4,,,,,,,,,,,,,
存货的减少(万元),,-5675,,-1282,,-1337,,-2236,,-1855,,,,,
经营性应收项目的减少(万元),,8232,,-14511,,-8806,,-38465,,-12477,,,,,
经营性应付项目的增加(万元),,-1747,,16714,,8136,,4191,,6642,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,
其他(万元),,,,,,,,,,218,,,,,
经营活动产生现金流量净额(万元),,9535,,16714,,3994,,-20312,,3858,,,,,
债务转为资本(万元),,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,770,,770,,,,1849,,,,,
现金的期末余额(万元),25128,19130,1082,3575,2056,1976,1994,820,3316,995,1830,5808,1725,285,
现金的期初余额(万元),3575,3575,3575,820,820,820,820,995,995,5808,5808,1725,285,844,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),21553,15554,-2493,2755,1235,1156,,-175,2321,-4813,-3977,4083,1440,-559,

