报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),37359,26888,18677,54954,42310,21092,10443,40805,27700,17022,9316,38396,28892,37325,16468,7815,6224,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,
收到的税费返还(万元),1548,1021,384,2534,1901,1101,682,1733,1733,1552,1429,1930,1452,990,348,32,143,
收到的其他与经营活动有关的现金(万元),3828,2206,585,3718,2764,1923,376,687,1778,1530,509,1782,1341,2049,1054,1036,784,
经营活动现金流入小计(万元),42734,30116,19646,61206,46974,24116,11501,43225,31211,20103,11254,42109,31685,40364,17869,8883,7150,
购买商品、接受劳务支付的现金(万元),24357,16735,12618,33685,23935,14342,10996,20602,14167,12009,4714,23940,18014,18549,12490,3721,3390,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),9514,6440,3133,11278,7239,4499,2127,7274,5505,4014,1847,7217,5431,4835,3526,1677,1561,
支付的各项税费(万元),5215,3512,1407,6073,4867,3203,1949,6388,5723,2618,2362,4829,3634,3175,2112,2481,2853,
支付的其他与经营活动有关的现金(万元),10465,5595,2211,8509,10226,5266,4208,6287,5692,2565,2461,6859,5161,6485,3036,1908,1086,
经营活动现金流出小计(万元),49552,32282,19370,59544,46268,27311,19280,40550,31088,21207,11383,42844,32239,33044,21164,9788,8890,
经营活动产生的现金流量净额(万元),-6818,-2167,276,1661,707,-3194,-7779,2675,124,-1103,-129,-736,-554,7320,-3295,-904,-1740,
收回投资所收到的现金(万元),,,,,,,,,,,,,,250,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,48,138,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,10,90,90,2,13,13,13,,,,15,,7,100,
处置子公司及其他营业单位收到的现金净额(万元),,,,102,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,147,,155,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),0,0,0,112,90,90,2,13,13,13,0,147,0,468,138,7,100,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1773,1309,21,213,773,642,40,4011,1890,1826,41,643,374,1413,887,597,1522,
投资所支付的现金(万元),,,,,,,,,,,,,,250,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,-73,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,449,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),1773,1309,21,213,773,642,40,4011,1890,1826,41,643,374,1663,1264,597,1522,
投资活动产生的现金流量净额(万元),-1773,-1309,-21,-102,-683,-552,-38,-3999,-1877,-1813,-41,-497,-374,-1195,-1125,-590,-1422,
吸收投资收到的现金(万元),431,281,,,,,,33284,,,,,,30,,6000,,
其中：子公司吸收少数股东投资收到的现金(万元),431,281,,,,,,,,,,,,30,,,,
