报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2015-06-30,2015-03-31,2014-12-31,2014-06-30,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),24822,16348,7947,68184,40795,24970,18400,78874,60971,42855,19383,73663,36729,71927,32076,18117,44462,22843,42510,31367,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,3,5,,
收到的其他与经营活动有关的现金(万元),1094,978,286,1657,779,531,373,862,850,666,375,1720,788,1664,927,256,356,121,415,98,
经营活动现金流入小计(万元),25917,17326,8234,69841,41574,25501,18773,79736,61821,43521,19758,75383,37516,73591,33002,18373,44818,22967,42930,31465,
购买商品、接受劳务支付的现金(万元),22051,12205,6343,48033,43541,13520,10870,48515,38274,27058,9001,37874,21405,41321,18797,9337,24156,14445,21779,20034,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),7591,5218,3025,10775,8361,5502,2861,14092,10925,7579,4157,13237,6770,11876,5642,2809,8995,3924,7926,5361,
支付的各项税费(万元),1454,945,565,2720,3345,2319,1302,7037,4870,4212,2111,8069,2533,5616,2347,1117,4625,1885,4586,2778,
支付的其他与经营活动有关的现金(万元),5221,1560,1406,3276,3380,1828,1337,5497,5272,3275,1438,8394,3121,6290,2974,1506,5249,1395,1828,2354,
经营活动现金流出小计(万元),36317,19928,11340,64803,58627,23169,16370,75141,59342,42125,16706,67574,33829,65103,29759,14768,43026,21649,36120,30527,
经营活动产生的现金流量净额(万元),-10400,-2602,-3106,5038,-17053,2332,2403,4595,2479,1396,3051,7808,3687,8488,3243,3606,1792,1318,6810,938,
收回投资所收到的现金(万元),116400,88600,53800,92400,57500,39076,16500,45620,32587,24728,14728,36704,16000,4500,,,,,,,
取得投资收益所收到的现金(万元),446,326,145,385,249,238,50,202,146,116,81,160,62,14,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),4,2,1,0,1,0,,24,11,7,0,9,1,30,,0,,,30,29,
处置子公司及其他营业单位收到的现金净额(万元),,,,8,10,10,10,,,,,163,35,,13,0,,,-24,-8,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),116849,88928,53946,92793,57759,39324,16560,45847,32744,24850,14809,37036,16099,4544,13,0,0,0,6,21,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),976,833,440,2018,858,559,102,2159,1460,1083,214,1764,861,2033,1130,480,1660,930,1369,1138,
