报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),32958,21644,43910,35043,26622,34317,27096,21413,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),1691,1059,2539,1277,1031,2072,1372,1468,
收到的其他与经营活动有关的现金(万元),833,164,340,145,51,154,136,306,
经营活动现金流入小计(万元),35483,22867,46789,36465,27705,36542,28603,23187,
购买商品、接受劳务支付的现金(万元),16550,11106,24607,18827,13044,22377,15145,12126,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),6596,4615,7626,6178,4136,6716,5231,3842,
支付的各项税费(万元),2662,1708,5115,3952,2453,2618,2466,2118,
支付的其他与经营活动有关的现金(万元),1338,877,1989,1355,854,1762,1417,1628,
经营活动现金流出小计(万元),27146,18307,39336,30312,20487,33474,24259,19713,
经营活动产生的现金流量净额(万元),8336,4560,7453,6153,7217,3069,4344,3474,
收回投资所收到的现金(万元),,,,,,,,,
取得投资收益所收到的现金(万元),19,17,36,36,35,16,19,73,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),10,,,,,15,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,-57,,,
收到的其他与投资活动有关的现金(万元),2046,1349,3277,3170,2980,5528,4386,23426,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),2075,1366,3313,3206,3016,5503,4404,23499,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),778,451,1354,594,661,2088,3713,4967,
投资所支付的现金(万元),,,,,,,765,,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,5935,
支付的其他与投资活动有关的现金(万元),7055,1056,10238,9374,8913,1620,6117,14415,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),7833,1508,11591,9968,9574,3708,10595,25317,
投资活动产生的现金流量净额(万元),-5758,-142,-8279,-6762,-6559,1795,-6190,-1818,
吸收投资收到的现金(万元),,,,,,,,4000,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,
取得借款收到的现金(万元),5463,5401,3054,3069,2944,2000,2300,,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,462,
筹资活动现金流入小计(万元),5463,5401,3054,3069,2944,2000,2300,4462,
偿还债务支付的现金(万元),5764,5680,2000,2000,2000,2000,300,,
分配股利、利润或偿付利息所支付的现金(万元),3659,3647,2359,2328,1956,121,1169,4884,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,
支付其他与筹资活动有关的现金(万元),93,93,335,284,90,101,539,,
筹资活动现金流出小计(万元),9516,9420,4694,4612,4046,2222,2009,4884,
筹资活动产生的现金流量净额(万元),-4053,-4019,-1640,-1544,-1101,-222,291,-422,
汇率变动对现金及现金等价物的影响(万元),434,88,788,559,181,-277,383,205,
现金及现金等价物净增加额(万元),-1040,488,-1677,-1593,-261,4365,-1172,1438,
加:期初现金及现金等价物余额(万元),3817,3817,5494,5494,5494,1129,2301,863,
期末现金及现金等价物余额(万元),2776,4304,3817,3902,5233,5494,1129,2301,
净利润(万元),,5125,10609,,,,,,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,293,135,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,361,662,,,,,,
无形资产摊销(万元),,15,28,,,,,,
长期待摊费用摊销(万元),,175,347,,,,,,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,,
固定资产报废损失(万元),,0,1,,,,,,
公允价值变动损失(万元),,0,20,,,,,,
