报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),189352,127591,65417,226309,151467,102776,51196,194875,119108,86282,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),1097,489,167,1215,938,402,139,590,568,1144,
经营活动现金流入小计(万元),190449,128080,65583,227524,152405,103178,51335,195466,119675,87426,
购买商品、接受劳务支付的现金(万元),118460,77601,43987,132711,93572,64371,30652,119801,73332,55707,
客户贷款及垫款净增加额(万元),,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),18414,12378,6906,19603,12050,9460,4157,12835,8155,5244,
支付的各项税费(万元),12073,8451,5524,14952,13820,8838,5272,15456,10746,4575,
支付的其他与经营活动有关的现金(万元),30745,17779,9531,29287,22824,15081,6578,24304,18096,14838,
经营活动现金流出小计(万元),179693,116209,65949,196553,142266,97750,46659,172397,110330,80363,
经营活动产生的现金流量净额(万元),10756,11871,-365,30971,10140,5429,4676,23069,9345,7063,
收回投资所收到的现金(万元),,,,,,,,,160,,
取得投资收益所收到的现金(万元),292,199,92,78,32,22,8,51,27,7,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),30,,,2,,,,247,5,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),126120,81320,42450,73738,34500,18500,5000,70402,68436,15791,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,
投资活动现金流入小计(万元),126442,81519,42542,73818,34532,18522,5008,70700,68628,15798,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),11327,5074,1536,7017,4471,2349,1213,13703,4505,1868,
投资所支付的现金(万元),,,,,,,6400,600,400,64,
质押贷款净增加额(万元),,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,10194,10194,10194,,,,,
支付的其他与投资活动有关的现金(万元),168032,81320,42450,73738,38000,18500,5000,70402,67792,16435,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,
投资活动现金流出小计(万元),179359,86394,43986,90949,52666,31043,12613,84705,72697,18367,
投资活动产生的现金流量净额(万元),-52917,-4875,-1445,-17131,-18134,-12521,-7606,-14006,-4069,-2569,
吸收投资收到的现金(万元),95447,,,,,,,7883,700,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,
取得借款收到的现金(万元),1805,1230,181,3112,2962,,,6720,700,2400,
发行债券收到的现金(万元),,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),5080,2452,5532,8291,4956,3356,1710,400,,,
筹资活动现金流入小计(万元),102332,3682,5713,11403,7918,3356,1710,15003,1400,2400,
偿还债务支付的现金(万元),2917,,,6161,429,294,147,3259,2483,2427,
分配股利、利润或偿付利息所支付的现金(万元),34,35,17,194,196,110,55,8465,5143,939,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),18748,2941,5457,13740,6143,3560,1106,2550,400,,
筹资活动现金流出小计(万元),21699,2976,5473,20096,6768,3964,1308,14273,8026,3366,
筹资活动产生的现金流量净额(万元),80633,706,240,-8693,1151,-608,402,730,-6626,-966,
汇率变动对现金及现金等价物的影响(万元),-68,-21,17,-64,-30,-35,20,5,37,0,
现金及现金等价物净增加额(万元),38404,7681,-1554,5083,-6874,-7735,-2508,9797,-1313,3529,
加:期初现金及现金等价物余额(万元),18253,18253,18253,13170,13170,13170,13170,3373,4687,1158,
期末现金及现金等价物余额(万元),56658,25934,16700,18253,6297,5435,10662,13170,3373,4687,
净利润(万元),,,5611,18550,,8528,4257,14656,10551,7174,
