报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),97668,61916,33120,91522,64382,34434,14722,74486,52159,33513,15293,59721,27579,68056,64668,51873,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,
收到的税费返还(万元),78,78,12,35,33,32,24,45,28,28,79,17,,1,,,
收到的其他与经营活动有关的现金(万元),2215,975,1306,2168,1814,1123,949,3107,2628,2168,236,2913,1408,3299,3814,4466,
经营活动现金流入小计(万元),99960,62968,34438,93724,66229,35589,15695,77637,54815,35709,15608,62651,28987,71355,68482,56339,
购买商品、接受劳务支付的现金(万元),96979,58531,27245,81928,60092,35605,12765,59674,41123,23745,10653,43552,19595,47732,47039,39479,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),7763,4786,2446,7925,5748,3764,2090,5962,4321,2712,1502,5671,2930,5882,4967,4325,
支付的各项税费(万元),3390,2010,1106,4550,2741,1523,645,4771,3418,1712,576,6486,3064,5515,4636,4099,
支付的其他与经营活动有关的现金(万元),8613,2515,3241,4254,3864,2474,1610,5380,4101,2641,1124,6245,3510,5566,5786,9470,
经营活动现金流出小计(万元),116746,67842,34038,98657,72444,43366,17110,75787,52963,30810,13855,61954,29099,64695,62428,57373,
经营活动产生的现金流量净额(万元),-16785,-4874,400,-4933,-6215,-7778,-1415,1850,1852,4899,1753,697,-112,6660,6054,-1035,
收回投资所收到的现金(万元),,,6700,200,,,,,230,230,0,1040,50,420,,153,
取得投资收益所收到的现金(万元),422,260,259,414,106,,,0,0,0,,1,0,1,,63,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),14,11,,10,10,10,5,,,,,179,167,32,,4,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,358,358,159,,,
收到的其他与投资活动有关的现金(万元),21300,7300,,13724,4500,,,230,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),21736,7570,6959,14348,4616,10,5,230,230,230,0,1578,575,612,0,220,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),6045,4416,2101,3298,1750,1458,870,4717,4275,1946,862,1422,587,1827,4021,2850,
投资所支付的现金(万元),200,200,14200,500,,,18000,,230,230,,990,,595,,228,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,146,,,
支付的其他与投资活动有关的现金(万元),16600,8600,,20400,19200,18000,,230,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),22845,13216,16301,24198,20950,19458,18870,4947,4505,2176,862,2412,587,2568,4021,3078,
投资活动产生的现金流量净额(万元),-1109,-5645,-9342,-9849,-16334,-19449,-18865,-4717,-4275,-1946,-862,-834,-12,-1957,-4021,-2858,
吸收投资收到的现金(万元),1135,,,32640,32340,32340,32340,0,,,,286,126,600,,2475,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,0,,,,286,126,200,,,
取得借款收到的现金(万元),21800,14300,4800,4400,4000,500,,7250,4850,2350,800,3350,1350,6450,6300,6157,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,16,700,,,,800,800,800,,,,,,,
筹资活动现金流入小计(万元),22935,14300,4816,37740,36340,32840,32340,8050,5650,3150,800,3636,1476,7050,6300,8632,
偿还债务支付的现金(万元),7025,2525,513,6816,4510,4350,4000,3350,1350,1350,350,4850,1850,6500,7300,2557,
分配股利、利润或偿付利息所支付的现金(万元),2867,2681,126,2260,2195,759,68,1487,1408,1237,41,1759,1375,1939,2265,2303,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,0,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,725,724,724,603,0,,,,,,,,,
筹资活动现金流出小计(万元),9892,5206,638,9801,7428,5833,4670,4837,2758,2587,391,6609,3225,8439,9565,4859,
筹资活动产生的现金流量净额(万元),13043,9094,4178,27939,28912,27007,27670,3213,2892,563,409,-2973,-1749,-1389,-3265,3772,
汇率变动对现金及现金等价物的影响(万元),,,,79,,,,23,22,18,,12,5,3,,,
现金及现金等价物净增加额(万元),-4852,-1426,-4764,13236,6363,-219,7390,369,492,3535,1300,-3098,-1867,3318,-1231,-120,
加:期初现金及现金等价物余额(万元),15497,15497,15497,2261,2286,2261,2261,1892,1892,1892,1892,4990,4990,1672,2904,3024,
期末现金及现金等价物余额(万元),10645,14071,10733,15497,8648,2042,9651,2261,2384,5427,3192,1892,3123,4990,1672,2904,
净利润(万元),,4080,,6120,,3207,,5896,,3148,,6197,,5056,5570,,
少数股东损益(万元),,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,
资产减值准备(万元),,216,,1122,,382,,271,,-100,,421,,610,172,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1426,,2212,,1034,,1851,,922,,1799,,1600,1199,,
无形资产摊销(万元),,23,,108,,20,,100,,51,,119,,114,53,,
长期待摊费用摊销(万元),,87,,185,,100,,167,,75,,147,,24,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,-4,,-3,,2,,,,-122,,-26,22,,
固定资产报废损失(万元),,,,40,,40,,0,,,,,,,,,
公允价值变动损失(万元),,,,0,,0,,0,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,
财务费用(万元),,204,,309,,103,,198,,67,,180,,306,340,,
投资损失(万元),,-260,,-416,,0,,-0,,-0,,-119,,146,70,,
递延所得税资产减少(万元),,-64,,-225,,0,,64,,87,,-17,,33,-38,,
递延所得税负债增加(万元),,,,211,,0,,-78,,-78,,43,,35,,,
存货的减少(万元),,-1434,,-2801,,-2156,,-2394,,-753,,-391,,1906,-802,,
经营性应收项目的减少(万元),,-1373,,-16712,,-9879,,-4256,,828,,-6582,,1641,1773,,
经营性应付项目的增加(万元),,-7779,,4920,,-603,,29,,653,,-978,,-4782,-2305,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,
其他(万元),,,,0,,-24,,0,,,,,,,,,
经营活动产生现金流量净额(万元),,-4874,,-4933,,-7778,,1850,,4899,,697,,6660,6054,,
债务转为资本(万元),,,,0,,,,0,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,0,,,,0,,,,,,,,,
融资租入固定资产(万元),,,,0,,,,0,,,,,,,,,
现金的期末余额(万元),10645,14071,10733,15497,8648,2042,9651,2261,2384,5427,3192,1892,3123,4990,1672,2904,
现金的期初余额(万元),15497,15497,15497,2261,2286,2261,2261,1892,1892,1892,1892,4990,4990,1672,2904,3024,
现金等价物的期末余额(万元),,,,0,,,,0,,,,,,,,,
现金等价物的期初余额(万元),,,,0,,,,0,,,,,,,,,
现金及现金等价物的净增加额(万元),-4852,-1426,-4764,13236,6363,-219,7390,369,,3535,1300,-3098,-1867,3318,-1231,-120,

