报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2017-06-30,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),114500,70716,35629,134629,92206,50635,20561,79386,55339,31221,48993,24707,15936,,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),670,46,,663,663,23,4,36,135,99,35,5,,,
收到的其他与经营活动有关的现金(万元),21262,18847,13237,6608,5776,5287,4702,1698,6294,4813,909,558,5176,154,
经营活动现金流入小计(万元),136431,89609,48866,141900,98645,55944,25267,81120,61768,36133,49938,25270,21112,154,
购买商品、接受劳务支付的现金(万元),80591,54961,30432,111305,75084,39640,24179,58884,39106,26816,35682,19438,19215,44,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),1954,1338,798,2237,1700,1199,621,1646,1179,523,900,470,718,98,
支付的各项税费(万元),1459,1038,449,2002,1379,980,364,2808,548,274,175,109,74,9,
支付的其他与经营活动有关的现金(万元),49056,23987,17481,23020,17007,10801,5442,11941,7920,7778,8730,3240,3030,4693,
经营活动现金流出小计(万元),133060,81324,49160,138565,95171,52620,30606,75280,48752,35391,45487,23257,23037,4844,
经营活动产生的现金流量净额(万元),3371,8284,-294,3335,3474,3324,-5338,5840,13016,742,4451,2013,-1925,-4690,
收回投资所收到的现金(万元),,,,,,,,5510,11650,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,45,12,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,,,,,,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,8,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,
投资活动现金流入小计(万元),0,0,0,0,0,0,0,5555,11662,0,8,0,,,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),5494,3172,40,3230,2823,2054,1669,7040,4472,899,3357,528,8035,12112,
投资所支付的现金(万元),7000,,,,,,,5510,11650,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,
投资活动现金流出小计(万元),12494,3172,40,3230,2823,2054,1669,12550,16122,899,3357,528,8035,12112,
投资活动产生的现金流量净额(万元),-12494,-3172,-40,-3230,-2823,-2054,-1669,-6995,-4461,-899,-3349,-528,-8035,-12112,
吸收投资收到的现金(万元),52457,52386,,,11130,,,10045,,,,,5162,18618,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,
取得借款收到的现金(万元),9699,9545,9529,15630,,10130,6630,20000,18550,7000,7451,851,4201,6786,
发行债券收到的现金(万元),,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,54,,20817,5862,
筹资活动现金流入小计(万元),62156,61932,9529,15630,11130,10130,6630,30045,18550,7000,7505,851,30180,31266,
偿还债务支付的现金(万元),17053,7470,3950,14130,10430,6330,3630,23000,19620,5720,5200,1251,904,,
分配股利、利润或偿付利息所支付的现金(万元),1711,1698,1567,598,406,378,201,2316,3340,3028,525,259,442,73,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),1697,999,,3266,3077,1013,536,2856,1637,180,1352,1274,17325,14265,
筹资活动现金流出小计(万元),20462,10167,5517,17994,13913,7721,4367,28172,24598,8929,7078,2785,18670,14338,
筹资活动产生的现金流量净额(万元),41694,51765,4011,-2364,-2783,2409,2263,1873,-6048,-1929,427,-1934,11510,16928,
汇率变动对现金及现金等价物的影响(万元),245,86,99,-29,135,-13,-7,12,-27,-11,-11,-4,18,,
现金及现金等价物净增加额(万元),32815,56963,3776,-2288,-1997,3666,-4751,729,2481,-2097,1518,-453,1569,126,
加:期初现金及现金等价物余额(万元),4135,4135,4135,6423,6423,6423,6423,5693,3213,3213,1694,1694,126,,
期末现金及现金等价物余额(万元),36950,61098,7911,4135,4426,10089,1671,6423,5693,1116,3213,1241,1694,126,
净利润(万元),,4166,,10022,,4859,,9618,6145,2228,3397,1977,-222,-406,
少数股东损益(万元),,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,
资产减值准备(万元),,-66,,151,,,,2,-58,-145,248,131,-104,208,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1801,,2617,,1217,,1992,1561,748,1476,729,554,2,
无形资产摊销(万元),,35,,68,,,,,,33,65,33,62,31,
长期待摊费用摊销(万元),,,,,,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,,,,,,,,,,
固定资产报废损失(万元),,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,6,-6,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,
财务费用(万元),,200,,752,,480,,681,756,320,737,140,150,,
投资损失(万元),,,,,,,,-45,-12,,,,,,
递延所得税资产减少(万元),,-143,,-123,,,,-22,12,22,-24,-24,-26,,
递延所得税负债增加(万元),,,,,,,,,,,,,,,
存货的减少(万元),,-13555,,-5344,,-6501,,-1517,-68,-518,1175,2202,-7776,-8,
经营性应收项目的减少(万元),,2797,,-24107,,-19424,,-13824,3234,-1220,-6790,-4238,-4126,-6771,
经营性应付项目的增加(万元),,13056,,19612,,22732,,8949,1453,-726,4166,1063,9563,2255,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,
其他(万元),,-138,,-312,,-39,,,,,,,,,
经营活动产生现金流量净额(万元),,8284,,3335,,3324,,5840,13016,742,4451,2013,-1925,-4690,
债务转为资本(万元),,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,3846,,,,,
现金的期末余额(万元),36950,61098,7911,4135,4426,10089,1671,6423,5693,1116,3213,1241,1694,126,
现金的期初余额(万元),4135,4135,4135,6423,6423,6423,6423,5693,3213,3213,1694,1694,126,,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),32815,56963,3776,-2288,-1997,3666,-4751,729,2481,-2097,1518,-453,1569,126,

