报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),1195110,819659,394327,1501671,1152787,754504,294362,1512634,1120842,752472,347334,1356324,986725,656289,285853,1258034,931073,1131528,958586,773230,662047,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,456,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),34485,20540,11478,49353,43844,20668,10147,32458,12131,5877,4421,19541,23564,8424,7006,21883,14207,31161,28886,27054,51777,
经营活动现金流入小计(万元),1229595,840199,405805,1551481,1196631,775172,304509,1545091,1132973,758349,351756,1375865,1010289,664713,292859,1279917,945280,1162690,987472,800283,713824,
购买商品、接受劳务支付的现金(万元),113067,68851,32754,154095,106549,61966,29277,209624,125467,72469,35752,167571,101958,60992,25830,148265,90125,172667,182642,140504,186717,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,
