报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),364743,222332,449605,306815,204881,415543,432719,410317,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),,,,,,,16,30,
收到的其他与经营活动有关的现金(万元),5700,4010,4001,3037,1929,22563,19435,15211,
经营活动现金流入小计(万元),370443,226341,453606,309852,206810,438106,452169,425558,
购买商品、接受劳务支付的现金(万元),372958,227950,378119,269341,165897,364211,393308,383415,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),4408,3076,6292,4819,3233,7110,5186,3933,
支付的各项税费(万元),12437,10061,17448,14376,10053,21918,16437,12319,
支付的其他与经营活动有关的现金(万元),8165,4031,10768,8273,5140,21971,27165,31964,
经营活动现金流出小计(万元),397967,245118,412627,296808,184324,415209,442097,431632,
经营活动产生的现金流量净额(万元),-27524,-18777,40979,13044,22486,22897,10072,-6074,
收回投资所收到的现金(万元),341200,230100,2401700,2269300,1411600,1267620,827048,1254930,
取得投资收益所收到的现金(万元),86,63,325,267,159,142,114,115,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,10,10,9,,49,5,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,388,3790,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),341286,230163,2402036,2269577,1411769,1267762,827599,1258840,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),3486,3298,12284,10982,8371,6480,1636,5824,
投资所支付的现金(万元),341200,230100,2401700,2269300,1411600,1267620,827048,1242470,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,2510,
支付的其他与投资活动有关的现金(万元),,,,,,,,133,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),344686,233398,2413984,2280282,1419971,1274100,828684,1250937,
投资活动产生的现金流量净额(万元),-3400,-3234,-11949,-10705,-8203,-6339,-1084,7902,
吸收投资收到的现金(万元),78812,,4802,1738,1625,2794,20000,3500,
其中：子公司吸收少数股东投资收到的现金(万元),147,,4802,1738,1625,2794,,,
取得借款收到的现金(万元),41732,34250,26250,26250,26250,32170,,32000,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),50622,48528,44545,35320,20891,33976,150129,285230,
筹资活动现金流入小计(万元),171166,82778,75597,63308,48766,68940,170129,320730,
偿还债务支付的现金(万元),38802,26250,32170,32170,32170,,32000,,
分配股利、利润或偿付利息所支付的现金(万元),933,768,830,635,460,1198,239,8384,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,341,
支付其他与筹资活动有关的现金(万元),55848,36031,65468,55556,22088,61924,141665,316327,
筹资活动现金流出小计(万元),95583,63049,98468,88361,54717,63121,173903,324711,
筹资活动产生的现金流量净额(万元),75583,19730,-22871,-25053,-5952,5818,-3774,-3980,
汇率变动对现金及现金等价物的影响(万元),,,0,,-0,0,-0,7,
现金及现金等价物净增加额(万元),44659,-2281,6159,-22714,8332,22377,5213,-2145,
加:期初现金及现金等价物余额(万元),35097,35097,28938,28938,28938,6561,1348,3493,
期末现金及现金等价物余额(万元),79756,32816,35097,6224,37270,28938,6561,1348,
净利润(万元),,,28120,,13056,,,,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,,421,,146,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,,2583,,1311,,,,
无形资产摊销(万元),,,248,,124,,,,
长期待摊费用摊销(万元),,,,,,,,,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,-3,,-2,,,,
固定资产报废损失(万元),,,4,,,,,,
公允价值变动损失(万元),,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),,,868,,433,,,,
投资损失(万元),,,-325,,-159,,,,
递延所得税资产减少(万元),,,-65,,11,,,,
递延所得税负债增加(万元),,,,,,,,,
存货的减少(万元),,,3056,,584,,,,
经营性应收项目的减少(万元),,,-43424,,4641,,,,
经营性应付项目的增加(万元),,,49424,,2306,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,,71,,36,,,,
经营活动产生现金流量净额(万元),,,40979,,22486,,,,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),79756,32816,35097,6224,37270,28938,6561,1348,
现金的期初余额(万元),35097,35097,28938,28938,28938,6561,1348,3493,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),44659,-2281,6159,-22714,8332,22377,5213,-2145,

