报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,
销售商品、提供劳务收到的现金(万元),164977,100418,48318,238995,169384,98723,142349,119980,82586,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,
收到的税费返还(万元),14716,9470,4039,21138,15952,13515,9706,8662,5744,
收到的其他与经营活动有关的现金(万元),2738,1896,1259,3099,2381,2350,1080,494,695,
经营活动现金流入小计(万元),182431,111785,53617,263231,187717,114588,153135,129136,89025,
购买商品、接受劳务支付的现金(万元),113812,74208,33335,167657,130382,90094,96484,82795,60695,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),24673,17654,10202,28549,22088,12972,19348,13882,9174,
支付的各项税费(万元),9269,4911,1555,5871,4415,2969,5487,6419,1448,
支付的其他与经营活动有关的现金(万元),21030,12377,6850,20423,16803,9086,15194,11418,7564,
经营活动现金流出小计(万元),168784,109150,51942,222499,173689,115121,136514,114514,78881,
经营活动产生的现金流量净额(万元),13646,2635,1675,40732,14028,-533,16622,14622,10144,
收回投资所收到的现金(万元),,,,50,,,,,,
取得投资收益所收到的现金(万元),32,27,19,161,115,95,19,94,26,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,47,1,35,14,23,59,65,118,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,544,4690,,
收到的其他与投资活动有关的现金(万元),42367,35545,27262,112880,106326,52200,27000,20354,10547,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),42400,35619,27282,113126,106456,52318,27622,25203,10691,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),10552,6570,3260,27056,19508,11926,10121,11749,4372,
投资所支付的现金(万元),,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,1860,2664,
支付的其他与投资活动有关的现金(万元),41351,29715,29710,102009,98679,36452,43900,22387,15155,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),51903,36286,32970,129066,118187,48378,54021,35995,22191,
投资活动产生的现金流量净额(万元),-9503,-667,-5688,-15939,-11731,3941,-26399,-10792,-11500,
吸收投资收到的现金(万元),,,,50,,50,25136,8332,1000,
其中：子公司吸收少数股东投资收到的现金(万元),,,,50,,50,300,3000,1000,
取得借款收到的现金(万元),14000,,,28068,28068,14848,20057,19366,37726,
发行债券收到的现金(万元),,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,1000,5000,
筹资活动现金流入小计(万元),14000,0,0,28118,28068,14898,45193,28698,43726,
偿还债务支付的现金(万元),8184,8184,7684,23886,17865,11737,23711,18836,40713,
分配股利、利润或偿付利息所支付的现金(万元),7136,7016,6140,794,443,329,793,9187,804,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,3734,7416,40,
筹资活动现金流出小计(万元),15320,15200,13824,24681,18308,12066,28238,35438,41557,
筹资活动产生的现金流量净额(万元),-1320,-15200,-13824,3438,9760,2832,16955,-6741,2170,
汇率变动对现金及现金等价物的影响(万元),1066,-16,-908,1775,562,731,-530,540,873,
现金及现金等价物净增加额(万元),3889,-13248,-18745,30005,12618,6971,6648,-2371,1686,
加:期初现金及现金等价物余额(万元),42930,42930,42930,12925,12936,12925,6277,8648,6962,
期末现金及现金等价物余额(万元),46820,29682,24185,42930,25555,19896,12925,6277,8648,
净利润(万元),,,6515,29214,,12374,11271,11542,5595,
少数股东损益(万元),,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,
资产减值准备(万元),,,325,3824,,1847,422,881,513,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,,563,1921,,900,1582,1331,843,
无形资产摊销(万元),,,468,2244,,1309,2494,2271,2237,
长期待摊费用摊销(万元),,,170,708,,348,321,303,252,
待摊费用的减少(万元),,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,-8,,-15,-19,,,
固定资产报废损失(万元),,,-1,93,,41,102,285,382,
公允价值变动损失(万元),,,-270,307,,146,,,4,
递延收益增加(减：减少)(万元),,,,,,,,,,
预计负债(万元),,,,,,,,,,
财务费用(万元),,,647,-1235,,-1285,3574,-1312,-185,
投资损失(万元),,,69,201,,-90,-63,-142,-26,
递延所得税资产减少(万元),,,58,-956,,-1387,-404,-115,-485,
递延所得税负债增加(万元),,,-14,18,,-10,51,-41,68,
存货的减少(万元),,,-4616,2743,,-9555,-4783,-5596,-7757,
经营性应收项目的减少(万元),,,-3835,-10690,,-25346,2393,-8431,-4404,
经营性应付项目的增加(万元),,,1595,12345,,20189,-319,7535,13106,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,
其他(万元),,,,,,,,6111,,
经营活动产生现金流量净额(万元),,,1675,40732,,-533,16622,14622,10144,
债务转为资本(万元),,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,
现金的期末余额(万元),46820,29682,24185,42930,25555,19896,12925,6277,8648,
现金的期初余额(万元),42930,42930,42930,12925,12936,12925,6277,8648,6962,
现金等价物的期末余额(万元),,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,
现金及现金等价物的净增加额(万元),3889,-13248,-18745,30005,12618,6971,6648,-2371,1686,

