报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2016-03-31,2015-12-31,2015-09-30,2015-06-30,2014-12-31,2013-12-31,2012-12-31,2011-12-31,
销售商品、提供劳务收到的现金(万元),41420,20914,18725,49251,33542,23072,19035,28519,25146,15217,11130,28274,20142,15289,12071,32428,24291,14800,21483,17663,14686,13088,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),8604,4807,3794,8727,4705,1998,1181,9373,4941,4571,2098,8377,4711,3045,353,1890,1309,1024,2892,1844,1899,1175,
经营活动现金流入小计(万元),50025,25721,22519,57978,38247,25070,20216,37892,30087,19788,13228,36651,24852,18334,12424,34318,25600,15823,24375,19507,16585,14263,
购买商品、接受劳务支付的现金(万元),28262,20027,16145,22876,15708,8840,6212,35916,18540,10855,7338,21065,18240,11020,8309,20198,17788,13273,16826,13274,9438,11779,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),3398,2489,1416,5605,4498,3191,1815,4564,3267,2259,1385,3112,2520,1836,1107,2812,2173,1480,2420,1498,1005,635,
支付的各项税费(万元),1873,1562,1439,1968,1933,1396,1175,1758,1669,1073,969,1621,1102,1069,893,1220,984,741,1516,1225,1033,572,
支付的其他与经营活动有关的现金(万元),12520,8858,5535,13330,9189,6654,5165,8637,2727,2199,1358,9883,3029,1948,984,9565,3633,1599,4680,3476,1669,1114,
经营活动现金流出小计(万元),46054,32936,24536,43779,31328,20081,14368,50875,26203,16386,11050,35681,24893,15873,11293,33794,24577,17093,25441,19474,13146,14100,
经营活动产生的现金流量净额(万元),3971,-7216,-2017,14199,6919,4989,5849,-12983,3885,3402,2178,970,-40,2461,1131,524,1022,-1270,-1066,33,3439,163,
收回投资所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),26,20,,2,0,0,0,7,0,0,,,,,,,,,,,,4,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),26,20,0,2,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,4,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1294,1285,0,328,323,307,294,1440,134,59,24,112,124,97,21,178,168,160,199,432,197,31,
投资所支付的现金(万元),8450,,,,,,,,,,,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,,,,,,,,84,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,,,,,,
