报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),70545,45334,93857,61589,79500,62889,25523,51361,38273,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,
收到的税费返还(万元),,,,,90,,,,,
收到的其他与经营活动有关的现金(万元),1773,380,2126,744,2594,1254,350,4637,1370,
经营活动现金流入小计(万元),72318,45714,95983,62332,82185,64144,25873,55999,39643,
购买商品、接受劳务支付的现金(万元),11042,5498,12062,9046,15970,8970,3160,6782,4959,
客户贷款及垫款净增加额(万元),,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),56133,38056,62129,46382,48178,40532,21263,34741,26016,
支付的各项税费(万元),5307,3179,6203,3270,6205,4382,2453,3500,2828,
支付的其他与经营活动有关的现金(万元),4532,3114,4236,1770,3791,3619,2052,4993,1637,
经营活动现金流出小计(万元),77014,49845,84631,60468,74144,57503,28929,50015,35440,
经营活动产生的现金流量净额(万元),-4695,-4132,11352,1865,8040,6641,-3056,5983,4203,
收回投资所收到的现金(万元),20,20,259,259,2058,26900,19500,9999,3020,
取得投资收益所收到的现金(万元),109,109,25,25,34,251,220,319,335,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),12,12,0,0,4,,,0,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),140,140,284,284,2096,27151,19720,10318,3355,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),1811,1222,5554,5554,5171,664,293,581,698,
投资所支付的现金(万元),,,250,250,87,26301,17460,3447,12100,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),1811,1222,5804,5804,5258,26965,17753,4028,12798,
投资活动产生的现金流量净额(万元),-1671,-1082,-5520,-5520,-3163,186,1967,6289,-9443,
吸收投资收到的现金(万元),,,,,6165,,759,,180,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,180,
取得借款收到的现金(万元),,,4300,4300,,,,,,
发行债券收到的现金(万元),,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,759,,,,
筹资活动现金流入小计(万元),0,0,4300,4300,6165,759,759,,180,
偿还债务支付的现金(万元),466,311,570,414,,,,,,
分配股利、利润或偿付利息所支付的现金(万元),5610,5500,4245,4193,3028,8807,6536,1375,536,
其中：子公司支付给少数股东的股利、利润(万元),30,30,43,43,27,,4,4,,
支付其他与筹资活动有关的现金(万元),99,66,228,228,,,,,,
筹资活动现金流出小计(万元),6175,5877,5043,4835,3028,8807,6536,1375,536,
筹资活动产生的现金流量净额(万元),-6175,-5877,-743,-535,3138,-8048,-5777,-1375,-356,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,
现金及现金等价物净增加额(万元),-12541,-11090,5089,-4191,8015,-1220,-6866,10897,-5597,
加:期初现金及现金等价物余额(万元),24619,24619,19529,19529,11514,12657,12657,1760,7356,
期末现金及现金等价物余额(万元),12078,13528,24619,15339,19529,11436,5791,12657,1760,
净利润(万元),,4782,,,,7082,2926,4668,3106,
少数股东损益(万元),,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,
资产减值准备(万元),,383,,,,233,153,105,138,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,363,,,,281,136,269,245,
无形资产摊销(万元),,30,,,,5,0,2,7,
长期待摊费用摊销(万元),,,,,,28,14,163,12,
待摊费用的减少(万元),,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,,,,,4,2,587,1,
固定资产报废损失(万元),,2,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,
预计负债(万元),,,,,,,,,,
财务费用(万元),,97,,,,,,6,,
投资损失(万元),,-120,,,,-224,-185,-354,-332,
递延所得税资产减少(万元),,-50,,,,-30,-20,-17,-18,
递延所得税负债增加(万元),,,,,,,,,,
存货的减少(万元),,11,,,,-4,-8,31,-29,
经营性应收项目的减少(万元),,-7426,,,,-3251,-3416,-982,-1702,
经营性应付项目的增加(万元),,-2203,,,,2516,-2803,1505,2775,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,
其他(万元),,,,,,,143,,,
经营活动产生现金流量净额(万元),,-4132,,,,6641,-3056,5983,4203,
债务转为资本(万元),,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,
现金的期末余额(万元),12078,13528,24619,15339,19529,11436,5791,12657,1760,
现金的期初余额(万元),24619,24619,19529,19529,11514,12657,12657,1760,7356,
现金等价物的期末余额(万元),,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,
现金及现金等价物的净增加额(万元),-12541,-11090,5089,-4191,8015,-1220,-6866,10897,-5597,

