报告日期,2020-09-30,2020-06-30,2019-12-31,2019-09-30,2019-06-30,2018-12-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),36025,21236,52118,35661,22250,55408,47169,35982,
客户存款和同业存放款项净增加额(万元),,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,
收到的税费返还(万元),,,,,,,,,
收到的其他与经营活动有关的现金(万元),1267,709,2559,1459,869,1458,852,734,
经营活动现金流入小计(万元),37292,21945,54677,37120,23119,56865,48021,36716,
购买商品、接受劳务支付的现金(万元),12591,8561,16500,11870,9212,20825,20197,12584,
客户贷款及垫款净增加额(万元),,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,
支付给职工以及为职工支付的现金(万元),7947,5520,10856,7852,5531,11456,9034,8715,
支付的各项税费(万元),3290,1966,5294,4651,2847,6391,6744,4096,
支付的其他与经营活动有关的现金(万元),6033,3366,7829,6410,3602,5789,8150,5701,
经营活动现金流出小计(万元),29862,19412,40481,30783,21192,44461,44125,31096,
经营活动产生的现金流量净额(万元),7430,2533,14196,6338,1927,12405,3896,5620,
收回投资所收到的现金(万元),7500,7500,,,,44375,4000,15500,
取得投资收益所收到的现金(万元),33,33,,,,544,87,418,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,,,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,2,
减少质押和定期存款所收到的现金(万元),,,,,,,,,
投资活动现金流入小计(万元),7533,7533,0,0,0,44919,4087,15919,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),2387,1348,2926,2885,2612,2112,1460,1500,
投资所支付的现金(万元),7500,7500,,,,40616,7910,12500,
质押贷款净增加额(万元),,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,107,107,107,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,
投资活动现金流出小计(万元),9887,8848,3033,2992,2719,42728,9370,14000,
投资活动产生的现金流量净额(万元),-2354,-1315,-3033,-2992,-2719,2192,-5284,1920,
吸收投资收到的现金(万元),,,,,,17778,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,
取得借款收到的现金(万元),16000,16000,21000,18000,18000,7000,4000,,
发行债券收到的现金(万元),,,,,,,,,
收到其他与筹资活动有关的现金(万元),,225,581,288,288,735,445,,
筹资活动现金流入小计(万元),16000,16225,21581,18288,18288,25513,4445,0,
偿还债务支付的现金(万元),18000,18000,9000,6000,6000,8000,,,
分配股利、利润或偿付利息所支付的现金(万元),337,274,31385,26587,26430,261,9010,,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,400,,
支付其他与筹资活动有关的现金(万元),545,261,297,574,318,778,,1411,
筹资活动现金流出小计(万元),18881,18535,40682,33161,32747,9039,9010,1411,
筹资活动产生的现金流量净额(万元),-2881,-2310,-19101,-14873,-14459,16474,-4566,-1411,
汇率变动对现金及现金等价物的影响(万元),-190,72,106,118,6,104,-78,49,
现金及现金等价物净增加额(万元),2005,-1021,-7832,-11409,-15245,31174,-6032,6178,
加:期初现金及现金等价物余额(万元),39842,39842,47674,47674,47674,16501,22532,16354,
期末现金及现金等价物余额(万元),41848,38821,39842,36265,32430,47674,16501,22532,
净利润(万元),,6085,12401,,6351,,,,
少数股东损益(万元),,,,,,,,,
未确认的投资损失(万元),,,,,,,,,
资产减值准备(万元),,281,619,,239,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,1058,2117,,1061,,,,
无形资产摊销(万元),,68,122,,57,,,,
长期待摊费用摊销(万元),,14,,,,,,,
待摊费用的减少(万元),,,,,,,,,
预提费用的增加(万元),,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,0,-10,,-4,,,,
固定资产报废损失(万元),,,,,,,,,
公允价值变动损失(万元),,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,
预计负债(万元),,,,,,,,,
财务费用(万元),,294,397,,77,,,,
投资损失(万元),,-33,,,,,,,
递延所得税资产减少(万元),,-29,-60,,-41,,,,
递延所得税负债增加(万元),,102,380,,224,,,,
存货的减少(万元),,-875,-917,,-1491,,,,
经营性应收项目的减少(万元),,-4275,4205,,-4103,,,,
经营性应付项目的增加(万元),,-261,-5058,,-590,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,
其他(万元),,,,,,,,,
经营活动产生现金流量净额(万元),,2533,14196,,1927,,,,
债务转为资本(万元),,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,
融资租入固定资产(万元),,,,,,,,,
现金的期末余额(万元),41848,38821,39842,36265,32430,47674,16501,22532,
现金的期初余额(万元),39842,39842,47674,47674,47674,16501,22532,16354,
现金等价物的期末余额(万元),,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,
现金及现金等价物的净增加额(万元),2005,-1021,-7832,-11409,-15245,31174,-6032,6178,

