报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),63945,62270,22375,79986,89513,53761,9357,40705,29127,41731,11187,2197,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),6774,3305,829,4988,3421,1504,353,5052,4216,5329,165,78,
收到的其他与经营活动有关的现金(万元),5659,3823,3261,1979,855,534,1352,2954,2379,4809,179,41,
经营活动现金流入小计(万元),76378,69399,26466,86953,93790,55799,11062,48710,35722,51870,11531,2316,
购买商品、接受劳务支付的现金(万元),52597,46035,13888,62440,67873,31980,10168,26117,18220,27663,7322,1894,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),10601,7061,3362,8605,6252,4032,2051,5226,3390,3017,1392,986,
支付的各项税费(万元),8520,5951,1406,7666,5800,3407,521,7220,5547,5525,546,87,
支付的其他与经营活动有关的现金(万元),14958,6765,3513,8191,7040,5500,3426,7399,5306,5919,813,260,
经营活动现金流出小计(万元),86676,65812,22169,86903,86965,44919,16165,45961,32463,42124,10074,3226,
经营活动产生的现金流量净额(万元),-10298,3587,4297,50,6825,10880,-5103,2750,3260,9746,1457,-910,
收回投资所收到的现金(万元),,,,,,,,2300,2300,1500,,500,
取得投资收益所收到的现金(万元),,,,,,,,0,0,4,,4,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,,0,,,,1,1,797,,,
