报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2016-06-30,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),47676,25360,66438,33109,13782,43922,34313,10599,24137,20227,16690,15828,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),2399,1990,2073,997,834,1645,940,539,766,710,463,508,
收到的其他与经营活动有关的现金(万元),5388,3639,7099,3984,2897,4253,4192,2558,2412,3787,2614,2278,
经营活动现金流入小计(万元),55463,30989,75610,38091,17513,49820,39445,13696,27315,24724,19767,18614,
购买商品、接受劳务支付的现金(万元),17069,11503,29505,23230,15080,18082,13695,5020,8700,8862,8098,7264,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),10635,8094,9288,6763,4486,6469,4770,2507,4321,3744,2820,2353,
支付的各项税费(万元),6352,4217,9522,7366,2820,4998,4076,1677,2757,2467,2091,2339,
支付的其他与经营活动有关的现金(万元),12045,7685,16538,11498,7417,10360,9599,4166,7264,5121,4697,4120,
经营活动现金流出小计(万元),46100,31499,64852,48857,29803,39909,32140,13369,23041,20195,17706,16076,
经营活动产生的现金流量净额(万元),9363,-509,10758,-10766,-12290,9911,7305,326,4274,4529,2061,2539,
收回投资所收到的现金(万元),,,,,,,,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),1,1,3,2,2,,0,,,0,0,4,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),1,1,3,2,2,0,0,0,0,0,0,4,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),4077,3551,2424,1422,1157,1585,1386,800,1899,1815,2175,6482,
投资所支付的现金(万元),,,,,,,,,,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),4077,3551,2424,1422,1157,1585,1386,800,1899,1815,2175,6482,
投资活动产生的现金流量净额(万元),-4076,-3550,-2421,-1420,-1155,-1585,-1385,-800,-1899,-1815,-2175,-6478,
吸收投资收到的现金(万元),,,,,,,,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,400,1500,1000,6100,
发行债券收到的现金(万元),,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),166,166,,,,1950,100,100,207,100,18,133,
筹资活动现金流入小计(万元),166,166,0,0,0,1950,100,100,607,1600,1018,6233,
偿还债务支付的现金(万元),16,16,,,,,2950,2950,1633,1450,3016,2033,
分配股利、利润或偿付利息所支付的现金(万元),3293,3293,2710,1001,999,1002,460,349,234,481,354,200,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),100,60,256,10,10,180,20,20,440,259,18,122,
筹资活动现金流出小计(万元),3409,3369,2966,1011,1009,1182,3430,3319,2307,2190,3388,2355,
筹资活动产生的现金流量净额(万元),-3243,-3203,-2966,-1011,-1009,768,-3330,-3219,-1700,-590,-2370,3878,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,
现金及现金等价物净增加额(万元),2043,-7263,5371,-13197,-14454,9095,2589,-3692,675,2124,-2484,-61,
加:期初现金及现金等价物余额(万元),25000,25000,19629,19629,19629,10534,7945,7945,7270,5146,7630,7691,
期末现金及现金等价物余额(万元),27043,17737,25000,6432,5175,19629,10534,4253,7945,7270,5146,7630,
净利润(万元),,12132,18070,,,,,,,,,,
少数股东损益(万元),,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,
资产减值准备(万元),,,803,,,,,,,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,847,1395,,,,,,,,,,
无形资产摊销(万元),,37,71,,,,,,,,,,
长期待摊费用摊销(万元),,76,101,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-0,-2,,,,,,,,,,
固定资产报废损失(万元),,1,4,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,
财务费用(万元),,0,1,,,,,,,,,,
投资损失(万元),,,,,,,,,,,,,
递延所得税资产减少(万元),,34,-139,,,,,,,,,,
递延所得税负债增加(万元),,,,,,,,,,,,,
存货的减少(万元),,2303,-9795,,,,,,,,,,
经营性应收项目的减少(万元),,-7244,-10998,,,,,,,,,,
经营性应付项目的增加(万元),,-9355,11245,,,,,,,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-509,10758,,,,,,,,,,
债务转为资本(万元),,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,
现金的期末余额(万元),27043,17737,25000,6432,5175,19629,10534,4253,7945,7270,5146,7630,
现金的期初余额(万元),25000,25000,19629,19629,19629,10534,7945,7945,7270,5146,7630,7691,
现金等价物的期末余额(万元),,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),2043,-7263,5371,-13197,-14454,9095,2589,-3692,675,2124,-2484,-61,

