报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),471769,298815,130027,573516,424718,265678,119900,511477,372053,235387,477720,474702,420507,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),7604,2208,1336,8929,5380,2324,1287,4475,3338,1616,5373,3203,3210,
经营活动现金流入小计(万元),479372,301024,131362,582445,430097,268002,121187,515952,375392,237002,483094,477905,423717,
购买商品、接受劳务支付的现金(万元),376512,231122,101567,452020,326998,203542,94434,388176,289870,193999,359605,352330,322153,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),49226,35803,18626,60688,46500,31671,16314,53120,41489,27508,52046,48054,39493,
支付的各项税费(万元),13879,8986,4030,17740,14137,8607,3351,20766,15324,8967,18682,22917,17986,
支付的其他与经营活动有关的现金(万元),8396,3557,2584,8270,6910,3484,2110,7982,5572,2852,7110,9135,8926,
经营活动现金流出小计(万元),448013,279469,126806,538719,394546,247305,116209,470044,352255,233326,437444,432437,388558,
经营活动产生的现金流量净额(万元),31360,21555,4556,43726,35552,20697,4978,45908,23137,3676,45650,45468,35159,
收回投资所收到的现金(万元),47000,40300,33000,61500,55500,6000,6000,1820,1820,1820,1510,,,
取得投资收益所收到的现金(万元),1227,1167,,567,567,567,,1039,1039,1039,1438,92,30,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3336,2291,960,8599,3872,3562,2046,9375,4968,1893,4229,3442,3194,
处置子公司及其他营业单位收到的现金净额(万元),1,,,,,,,3103,3103,3103,,27772,,
收到的其他与投资活动有关的现金(万元),5,,,1286,1286,2877,,2993,54,891,3300,7189,5524,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,
投资活动现金流入小计(万元),51568,43758,33960,81962,71235,23016,8046,25637,18291,16456,83349,123963,73022,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),27881,21354,10160,41147,28571,24269,16744,59845,27889,26873,54785,74990,61862,
投资所支付的现金(万元),118889,47974,39074,56916,56805,17805,,13746,9282,7533,30010,4339,3467,
质押贷款净增加额(万元),,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),1670,1670,1670,,1305,,,6747,6747,6747,783,18527,1019,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,
投资活动现金流出小计(万元),148440,70998,50903,98063,86681,42074,16744,81096,44675,42396,141697,178321,149734,
