报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2016-09-30,2016-06-30,2015-12-31,2015-06-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),17839,13131,9606,18672,14969,11642,9233,20136,16069,10622,6470,12758,9417,7718,13409,7464,13127,11706,9880,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),246,148,11,460,216,109,19,379,277,147,59,699,521,285,147,17,69,102,274,
经营活动现金流入小计(万元),18085,13279,9617,19133,15185,11751,9252,20515,16345,10769,6528,13457,9938,8003,13556,7481,13196,11808,10154,
购买商品、接受劳务支付的现金(万元),6114,4140,2474,7886,6576,4711,2777,6333,4993,3032,1675,4239,3358,2915,4010,2276,3728,2783,3301,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),8456,5422,2644,10387,7877,5721,2202,8558,6753,4431,2108,6851,5273,3596,6313,3657,5387,4973,3899,
支付的各项税费(万元),2019,1512,525,2481,1946,1358,614,2378,1780,1285,625,1781,1314,818,2368,1616,1246,1184,1057,
支付的其他与经营活动有关的现金(万元),1516,875,687,1596,1565,1087,456,1568,1097,771,387,1516,1033,690,1473,655,1195,1280,875,
经营活动现金流出小计(万元),18105,11949,6330,22351,17964,12877,6049,18837,14623,9519,4795,14387,10978,8019,14164,8204,11557,10220,9132,
经营活动产生的现金流量净额(万元),-20,1330,3287,-3218,-2778,-1126,3203,1678,1723,1250,1734,-930,-1039,-16,-609,-723,1639,1588,1022,
收回投资所收到的现金(万元),1800,1800,200,32500,24000,14000,7000,3360,360,360,,470,470,470,5500,4900,3500,,4900,
取得投资收益所收到的现金(万元),112,112,1,427,334,213,126,29,1,1,,1,1,1,23,21,16,,26,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),5,4,4,8,4,5,4,0,0,,,106,104,-0,1,1,1,0,1,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,26,,26,26,64,,,,,733,253,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,26,,,,64,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,,,,,,,
投资活动现金流入小计(万元),1916,1916,205,32934,24338,14218,7130,3415,387,387,26,641,639,471,5525,4923,4250,253,4926,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),2462,1192,796,816,477,338,150,300,208,135,76,351,271,188,486,425,142,1338,228,
投资所支付的现金(万元),2664,2664,1978,26940,25795,17295,7000,10360,7418,360,200,270,270,270,5700,4900,3731,7,4910,
质押贷款净增加额(万元),,,,,,,,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),1087,1049,,374,,,,74,,,,147,147,147,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,,,,,159,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,,,,,,,
投资活动现金流出小计(万元),6214,4905,2774,28130,26272,17632,7150,10733,7625,495,276,768,688,605,6186,5325,3872,1504,5138,
投资活动产生的现金流量净额(万元),-4297,-2989,-2569,4804,-1934,-3415,-20,-7319,-7238,-108,-250,-128,-49,-134,-661,-403,378,-1251,-211,
吸收投资收到的现金(万元),393,393,393,1762,1762,1762,,18556,18556,20894,,214,214,,117,31,1208,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,,,,,,,
取得借款收到的现金(万元),1250,,,,,,,850,850,850,350,2550,1850,500,1500,,1000,1150,3300,
发行债券收到的现金(万元),,,,,,,,,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,,,,159,553,,
筹资活动现金流入小计(万元),1643,393,393,1762,1762,1762,0,19406,19406,21744,350,2764,2064,500,1617,31,2367,1703,3300,
偿还债务支付的现金(万元),,,,,,,,3400,3400,850,350,1500,1000,,1000,,1150,2500,2300,
分配股利、利润或偿付利息所支付的现金(万元),1429,,,1268,1290,161,,207,210,111,30,884,850,199,770,151,926,597,859,
其中：子公司支付给少数股东的股利、利润(万元),,,,201,,,,,,,,,,137,,,,,,
支付其他与筹资活动有关的现金(万元),23,1,1,277,,,,771,509,2357,,,,,,,450,30,,
筹资活动现金流出小计(万元),1452,1,1,1545,1290,161,0,4378,4118,3318,380,2384,1850,199,1770,151,2526,3127,3159,
筹资活动产生的现金流量净额(万元),191,392,392,216,471,1601,0,15028,15287,18425,-30,380,214,301,-152,-121,-159,-1423,141,
汇率变动对现金及现金等价物的影响(万元),,,,,,,,,,,,,,,,,,,,
现金及现金等价物净增加额(万元),-4126,-1266,1111,1803,-4241,-2940,3183,9387,9771,19567,1454,-678,-874,151,-1422,-1246,1857,-1086,951,
加:期初现金及现金等价物余额(万元),13094,13094,13094,11291,11291,11291,11291,1904,1904,1904,1904,2583,2583,2583,4005,4005,2148,3234,2283,
期末现金及现金等价物余额(万元),8968,11828,14205,13094,7050,8351,14474,11291,11676,21472,3359,1904,1709,2734,2583,2758,4005,2148,3234,
净利润(万元),,2931,,5929,,2604,,5220,,2191,,4192,,1264,2621,,3190,,,
少数股东损益(万元),,,,,,,,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,,,,,,,
资产减值准备(万元),,586,,984,,401,,771,,320,,578,,292,479,,237,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,203,,306,,135,,245,,149,,263,,140,266,,327,,,
无形资产摊销(万元),,34,,63,,30,,68,,29,,57,,28,32,,33,,,
长期待摊费用摊销(万元),,22,,33,,6,,5,,2,,9,,5,10,,11,,,
待摊费用的减少(万元),,,,,,,,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,2,,5,,5,,1,,0,,-5,,1,0,,-1,,,
固定资产报废损失(万元),,,,1,,1,,,,,,,,,,,,,,
公允价值变动损失(万元),,,,,,,,,,,,,,,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,,,,,,,
财务费用(万元),,,,,,,,73,,66,,97,,40,79,,69,,,
投资损失(万元),,-193,,-534,,-201,,-29,,1,,-102,,16,-19,,-103,,,
递延所得税资产减少(万元),,-104,,-183,,-51,,-142,,-63,,-67,,-18,-126,,-56,,,
递延所得税负债增加(万元),,-1,,-3,,-0,,-1,,-0,,-1,,-0,,,,,,
存货的减少(万元),,,,,,,,,,,,,,,,,,,,
经营性应收项目的减少(万元),,-2584,,-9779,,-2760,,-4294,,751,,-7439,,-1195,-2874,,-3782,,,
经营性应付项目的增加(万元),,133,,-479,,-1298,,-242,,-2195,,1488,,-589,-1076,,1714,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,,,,,,,
其他(万元),,300,,438,,,,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,1330,,-3218,,-1126,,1678,,1250,,-930,,-16,-609,,1639,,,
债务转为资本(万元),,,,,,,,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,,,,,,,
现金的期末余额(万元),8968,11828,14205,13094,7050,8351,14474,11291,11676,21472,3359,1904,1709,2734,2583,2758,4005,2148,3234,
现金的期初余额(万元),13094,13094,13094,11291,11291,11291,11291,1904,1904,1904,1904,2583,2583,2583,4005,4005,2148,3234,2283,
现金等价物的期末余额(万元),,,,,,,,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-4126,-1266,1111,1803,-4241,-2940,3183,9387,9771,19567,1454,-678,-874,151,-1422,-1246,1857,-1086,951,

