报告日期,2020-09-30,2020-06-30,2020-03-31,2019-12-31,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2017-12-31,2016-12-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,
销售商品、提供劳务收到的现金(万元),56503,38585,19551,63817,37806,23297,11110,56933,38551,40043,48679,34258,52016,64432,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,0,,566,65,367,256,212,245,814,
收到的其他与经营活动有关的现金(万元),1805,978,190,1639,1200,396,191,918,1115,750,13458,12238,9525,6224,
经营活动现金流入小计(万元),58308,39562,19741,65456,39006,23693,11301,58417,39731,41160,62393,46709,61785,71471,
购买商品、接受劳务支付的现金(万元),20411,9331,5081,34230,19195,9839,6464,24911,20609,26996,34239,22966,43594,53514,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),4567,2979,1502,5951,3972,3295,1313,5747,4799,4268,3411,2970,4219,4057,
支付的各项税费(万元),5821,4163,2616,6470,5544,3122,1435,5636,5988,2619,1531,1610,1260,1341,
支付的其他与经营活动有关的现金(万元),5137,2330,730,6632,6111,3307,1068,6272,4676,4669,10812,5767,6412,10238,
经营活动现金流出小计(万元),35937,18802,9930,53283,34822,19563,10281,42566,36072,38553,49993,33313,55484,69150,
经营活动产生的现金流量净额(万元),22371,20760,9811,12173,4184,4130,1020,15852,3658,2607,12400,13395,6301,2320,
收回投资所收到的现金(万元),,,,,,,,4031,1973,,,,,,
取得投资收益所收到的现金(万元),,,,,,,,942,,,,,,31,
