报告日期,2019-09-30,2019-06-30,2018-12-31,2018-09-30,2018-06-30,2017-12-31,2016-12-31,2015-12-31,2015-09-30,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),130843,87003,174036,128985,85531,143893,83605,88114,64450,84772,81003,61689,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,
收到的税费返还(万元),808,458,784,695,563,1170,284,88,87,284,217,119,
收到的其他与经营活动有关的现金(万元),1050,467,1749,1361,586,649,679,222,100,87,76,44,
经营活动现金流入小计(万元),132701,87927,176569,131041,86680,145712,84568,88424,64638,85143,81296,61852,
购买商品、接受劳务支付的现金(万元),77033,49753,112437,81774,53271,93007,55937,50680,36247,50351,47531,42765,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),20022,14597,25031,18726,12746,21713,11073,12519,9212,10032,8378,6057,
支付的各项税费(万元),5041,4007,9160,7348,5873,15057,16594,4436,3257,3688,3166,2396,
支付的其他与经营活动有关的现金(万元),11287,5674,11595,9109,5983,11000,8395,10118,7520,11978,9970,7110,
经营活动现金流出小计(万元),113383,74031,158223,116958,77873,140777,91999,77752,56236,76050,69046,58328,
经营活动产生的现金流量净额(万元),19319,13896,18346,14083,8807,4935,-7431,10671,8402,9094,12250,3525,
收回投资所收到的现金(万元),,,,,,,,,,,,,
取得投资收益所收到的现金(万元),3,0,62,7,7,,,,,1,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),,,3,23,29,22,24,56,48,0,2,0,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,23085,72463,,,,,,
收到的其他与投资活动有关的现金(万元),1130,350,1262,1262,1262,,2851,34670,4437,24,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,
投资活动现金流入小计(万元),1133,350,1327,1292,1298,23107,75338,34725,4485,25,2,0,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),10860,5373,23932,19101,13690,15982,6697,16041,13251,6884,6212,6576,
投资所支付的现金(万元),,,,,,,,,,711,1159,,
质押贷款净增加额(万元),,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,22495,,,,,,
支付的其他与投资活动有关的现金(万元),1130,1014,1262,1262,1262,,7473,27350,,152,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,
投资活动现金流出小计(万元),11990,6387,25194,20363,14952,15982,36665,43391,13251,7746,7371,6576,
投资活动产生的现金流量净额(万元),-10857,-6036,-23868,-19071,-13654,7125,38673,-8666,-8767,-7721,-7370,-6576,
吸收投资收到的现金(万元),103686,,,,,600,,2896,2896,,,240,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,
取得借款收到的现金(万元),16190,14194,27160,17070,14283,23900,47943,38578,35235,22680,18921,28145,
发行债券收到的现金(万元),,,,,,,,,,,,,
收到其他与筹资活动有关的现金(万元),562,,5461,280,,17580,8594,,,,,,
筹资活动现金流入小计(万元),120438,14194,32621,17350,14283,42080,56536,41474,38131,22680,18921,28385,
偿还债务支付的现金(万元),24352,12767,21583,7518,3761,26565,33429,28754,23729,18800,18814,24322,
分配股利、利润或偿付利息所支付的现金(万元),1185,882,4426,3803,3323,22530,26635,13812,13489,5750,1099,1987,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,
