报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,,,
客户存款和同业存放款项净增加额(万元),2149979,2092276,2062863,2393856,2147083,1922915,1479087,2016958,2642511,
向中央银行借款净增加额(万元,,,,,,,,349887,23843,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,
收取利息、手续费及佣金的现金(万元),892661,604289,296087,1100349,804467,452610,237389,927331,879489,
拆入资金净增加额(万元),,,616957,348640,313164,,433182,485861,572221,
回购业务资金净增加额(万元),455388,734870,99196,,,236637,,608242,122213,
收到的税费返还(万元),,,,,,,,,,
收到的其他与经营活动有关的现金(万元),76284,65985,32756,152729,82612,63539,73179,7414,103562,
经营活动现金流入小计(万元),3648569,3503168,3107859,4744495,3895334,2787799,2253650,4395693,4613321,
购买商品、接受劳务支付的现金(万元),,,,,,,,,,
客户贷款及垫款净增加额(万元),1528277,1279942,926201,2726635,2502094,1513044,999697,2159620,2058883,
存放中央银行和同业款项净增加额(万元),479304,,183778,,,,453348,547817,38194,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,
支付利息、手续费及佣金的现金(万元),413953,294644,160945,602497,459561,275259,165905,489109,600047,
支付保单红利的现金(万元),,,,,,,,,,
支付给职工以及为职工支付的现金(万元),130530,97111,63372,144610,115947,79069,45663,141836,127699,
支付的各项税费(万元),75206,54558,8055,129328,98097,62961,11343,98511,123623,
支付的其他与经营活动有关的现金(万元),116388,67373,84601,147815,109069,64844,57003,228705,94695,
经营活动现金流出小计(万元),4095774,4264818,2992080,5599288,5337871,2909391,2276466,3700842,6196667,
经营活动产生的现金流量净额(万元),-447205,-761650,115779,-854793,-1442536,-121592,-22816,694850,-1583347,
收回投资所收到的现金(万元),11468874,8352784,5844336,31292608,21350890,16750181,8119201,36865691,23064253,
取得投资收益所收到的现金(万元),241503,163326,63213,548688,414560,305522,141442,538143,454764,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),3565,3152,1245,5180,4678,13,13,2477,300,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,
投资活动现金流入小计(万元),11713943,8519261,5908794,31846476,21770128,17055716,8260656,37406311,23519316,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),17033,12883,9117,33921,20658,5088,10752,29503,39044,
投资所支付的现金(万元),14086442,10090405,6897311,31929975,22136974,18564026,10414108,36556167,24211648,
质押贷款净增加额(万元),,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,
投资活动现金流出小计(万元),14103475,10103288,6906428,31963896,22157632,18569114,10424860,36585670,24250692,
投资活动产生的现金流量净额(万元),-2389532,-1584026,-997634,-117420,-387504,-1513398,-2164203,820641,-731376,
吸收投资收到的现金(万元),262000,,,910,,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,,
发行债券收到的现金(万元),12898000,7117000,3570000,6308000,3847000,2174000,1190000,5356000,7934000,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,
筹资活动现金流入小计(万元),13160000,7117000,3570000,6308910,3847000,2174000,1190000,5356000,7934000,
