报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2017-09-30,2017-06-30,2017-03-31,2016-12-31,2015-12-31,2014-12-31,
销售商品、提供劳务收到的现金(万元),162191,120942,42504,215569,149073,96022,53676,236620,156212,101246,47242,237023,252825,258885,
客户存款和同业存放款项净增加额(万元),,,,,,,,,,,,,,,
向中央银行借款净增加额(万元,,,,,,,,,,,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,,,,,,,,,,,,,,
收取利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
拆入资金净增加额(万元),,,,,,,,,,,,,,,
回购业务资金净增加额(万元),,,,,,,,,,,,,,,
收到的税费返还(万元),,,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),8751,5748,1128,3385,5956,5629,4709,3635,3474,4616,245,11931,4757,3292,
经营活动现金流入小计(万元),170943,126690,43632,218954,155029,101651,58386,240255,159686,105863,47488,248954,257582,262177,
购买商品、接受劳务支付的现金(万元),71725,50248,12481,74504,69682,37506,30798,108048,74452,48496,22074,94310,96856,109068,
客户贷款及垫款净增加额(万元),,,,,,,,,,,,,,,
存放中央银行和同业款项净增加额(万元),,,,,,,,,,,,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),,,,,,,,,,,,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),31243,20346,10775,46631,31084,21422,10996,46712,31062,20131,9665,55109,57081,49372,
支付的各项税费(万元),12750,9830,3525,23094,17303,11366,4285,23316,16420,11350,5579,30682,29306,26876,
支付的其他与经营活动有关的现金(万元),29689,20881,9229,46420,27979,25343,11459,44708,29393,22974,10284,37151,33928,42217,
经营活动现金流出小计(万元),145406,101305,36010,190648,146048,95637,57538,222783,151327,102952,47602,217251,217171,227532,
经营活动产生的现金流量净额(万元),25537,25385,7622,28306,8981,6014,847,17471,8359,2910,-115,31703,40411,34644,
收回投资所收到的现金(万元),2140,,,,,,,,,,,,44309,7000,
