报告日期,2019-09-30,2019-06-30,2019-03-31,2018-12-31,2018-09-30,2018-06-30,2018-03-31,2017-12-31,2016-12-31,2015-12-31,2014-12-31,2013-12-31,2012-12-31,
销售商品、提供劳务收到的现金(万元),,,,,,,,,,,,,,
客户存款和同业存放款项净增加额(万元),1642287,1772440,620103,1867499,1476731,1150131,357534,2291580,2317977,1176181,,,,
向中央银行借款净增加额(万元,98920,22100,47800,291428,134698,33918,3918,,50000,,,,,
向其他金融机构拆入资金净增加额(万元),,,,,,,,,,,,,,
收到原保险合同保费取得的现金(万元),,,,,,,,,,,,,,
收到再保险业务现金净额(万元),,,,,,,,,,,,,,
保户储金及投资款净增加额(万元),,,,,,,,,,,,,,
处置交易性金融资产净增加额(万元),,264321,221432,614436,528957,,,218089,,,,,,
收取利息、手续费及佣金的现金(万元),821364,534731,275229,855100,597321,390658,190585,724874,703621,777241,,,,
拆入资金净增加额(万元),469830,133517,70771,41867,,8702,,,170775,160000,,,,
回购业务资金净增加额(万元),62257,,321731,637326,358187,,64983,477973,,188730,,,,
收到的税费返还(万元),,,,,,,,,,,,,,
收到的其他与经营活动有关的现金(万元),37466,21246,35937,23990,30703,5099,5047,163578,70306,49436,,,,
经营活动现金流入小计(万元),3812791,3212939,1882559,4585729,3486395,2118546,1289448,3865657,3593030,2965089,,,,
购买商品、接受劳务支付的现金(万元),,,,,,,,,,,,,,
客户贷款及垫款净增加额(万元),3605839,3060648,1598068,2630308,1824340,1207882,570330,1229303,689490,921547,,,,
存放中央银行和同业款项净增加额(万元),,11453,,347973,398420,289014,297446,285917,161549,5699,,,,
支付原保险合同赔付款项的现金(万元),,,,,,,,,,,,,,
支付利息、手续费及佣金的现金(万元),284151,188701,116262,386236,301363,226912,116912,344376,281292,271243,,,,
支付保单红利的现金(万元),,,,,,,,,,,,,,
支付给职工以及为职工支付的现金(万元),117936,87337,48507,131987,102409,74073,45810,124233,114594,108188,,,,
支付的各项税费(万元),148562,122761,81011,121207,92458,82445,43428,108074,112186,109187,,,,
支付的其他与经营活动有关的现金(万元),63141,38733,27396,208394,53464,52749,32959,59676,55751,108127,,,,
经营活动现金流出小计(万元),4387895,3776640,2035517,4822128,3645573,2541767,1443472,3653329,1651605,1634006,,,,
经营活动产生的现金流量净额(万元),-575104,-563702,-152957,-236399,-159178,-423221,-154024,212329,1941425,1331082,783019,885965,492334,
收回投资所收到的现金(万元),8012472,3828315,2926678,8534136,6602823,4114642,2184193,9001922,7662849,3598646,,,,
取得投资收益所收到的现金(万元),435526,300934,148640,440303,333964,206459,97153,303449,155035,91950,,,,
处置固定资产、无形资产和其他长期资产所收回的现金净额(万元),2296,176,205,1189,974,766,183,38081,9437,1555,,,,
处置子公司及其他营业单位收到的现金净额(万元),,,,,,,,,,,,,,
收到的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,
减少质押和定期存款所收到的现金(万元),,,,,,,,,,,,,,
投资活动现金流入小计(万元),8450294,4129425,3075523,8975628,6937762,4321866,2281530,9343452,7827321,3692151,,,,
购建固定资产、无形资产和其他长期资产所支付的现金(万元),19539,11776,4629,24516,19457,13067,6071,79941,56315,64844,,,,
投资所支付的现金(万元),8622283,4312543,3395340,10128895,7855072,4895957,2454323,10583954,11421970,5108911,,,,
质押贷款净增加额(万元),,,,,,,,,,,,,,
取得子公司及其他营业单位支付的现金净额(万元),,,,,,,,,,,,,,
支付的其他与投资活动有关的现金(万元),,,,,,,,,,,,,,
增加质押和定期存款所支付的现金(万元),,,,,,,,,,,,,,
投资活动现金流出小计(万元),8641822,4324319,3399969,10153410,7874529,4909024,2460393,10663895,11478285,5173755,,,,
投资活动产生的现金流量净额(万元),-191528,-194895,-324447,-1177783,-936767,-587157,-178864,-1320442,-3650964,-1481604,,,,
吸收投资收到的现金(万元),,,,,,,,,82300,,,,,
其中：子公司吸收少数股东投资收到的现金(万元),,,,,,,,,,,,,,
取得借款收到的现金(万元),,,,,,,,,,,,,,
发行债券收到的现金(万元),6770430,4142507,1427403,6893610,5576111,3097478,1283731,5457243,3316724,444155,,,,
收到其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,
筹资活动现金流入小计(万元),6985638,4357714,1642611,6893610,5576111,3097478,1283731,5457243,3399024,444155,,,,
偿还债务支付的现金(万元),5979983,3790343,1287379,5403405,4727751,2326587,1175933,3852470,1662681,98990,,,,
分配股利、利润或偿付利息所支付的现金(万元),247954,173094,31621,171147,139800,62413,36067,73636,63036,51008,,,,
其中：子公司支付给少数股东的股利、利润(万元),,,,,,,,,,,,,,
支付其他与筹资活动有关的现金(万元),,,,,,,,,,,,,,
筹资活动现金流出小计(万元),6227937,3963437,1319000,5574551,4867551,2389000,1212000,3926106,1725718,149999,,,,
筹资活动产生的现金流量净额(万元),757701,394277,323611,1319059,708560,708478,71731,1531137,1673306,294157,,,,
汇率变动对现金及现金等价物的影响(万元),1162,317,-1220,1626,2875,3843,-2206,-3321,1294,1605,,,,
现金及现金等价物净增加额(万元),-7769,-364003,-155014,-93497,-384511,-298057,-263362,419703,-34940,145240,,,,
加:期初现金及现金等价物余额(万元),1350918,1350918,1350918,1444415,1444415,1444415,1444415,1024713,1059653,914413,,,,
期末现金及现金等价物余额(万元),1343149,986915,1195904,1350918,1059904,1146358,1181053,1444415,1024713,1059653,,,,
净利润(万元),,142297,,244409,204626,126188,,214029,190377,186354,,,,
少数股东损益(万元),,,,,,,,,,,,,,
未确认的投资损失(万元),,,,,,,,,,,,,,
资产减值准备(万元),,9543,,193229,112103,65206,,107458,124059,115252,,,,
固定资产折旧、油气资产折耗、生产性物资折旧(万元),,14934,,31927,23984,16143,,31072,24832,20086,,,,
无形资产摊销(万元),,,,,,,,,,,,,,
长期待摊费用摊销(万元),,,,,,,,,,,,,,
待摊费用的减少(万元),,,,,,,,,,,,,,
预提费用的增加(万元),,,,,,,,,,,,,,
处置固定资产、无形资产和其他长期资产的损失(万元),,-83,,-551,-551,-462,,-8523,-8827,-1169,,,,
固定资产报废损失(万元),,,,,,,,,,,,,,
公允价值变动损失(万元),,7723,,-5556,-4780,-2079,,3945,,,,,,
递延收益增加(减：减少)(万元),,,,,,,,,,,,,,
预计负债(万元),,,,,,,,,,,,,,
财务费用(万元),,-53904,,-214374,-161199,-115454,,-232974,-185802,-93014,,,,
投资损失(万元),,-84854,,-63222,-32346,-3275,,1439,-7521,-8826,,,,
递延所得税资产减少(万元),,-22273,,-27280,-11326,-1561,,-14198,-16239,-1222,,,,
递延所得税负债增加(万元),,,,,,,,,,,,,,
存货的减少(万元),,,,,,,,,,,,,,
经营性应收项目的减少(万元),,-2555759,,-2840956,-1957600,-1339508,,-2406017,-531818,-375977,,,,
经营性应付项目的增加(万元),,1838384,,2447667,1668975,832285,,2517513,2354444,1493544,,,,
已完工尚未结算款的减少(减:增加)(万元),,,,,,,,,,,,,,
已结算尚未完工款的增加(减:减少)(万元),,,,,,,,,,,,,,
其他(万元),,,,,,,,,,,,,,
经营活动产生现金流量净额(万元),,-563702,,-236399,-159178,-423221,,212329,1941425,1331082,,,,
债务转为资本(万元),,,,,,,,,,,,,,
一年内到期的可转换公司债券(万元),,,,,,,,,,,,,,
融资租入固定资产(万元),,,,,,,,,,,,,,
现金的期末余额(万元),1343149,986915,1195904,1350918,1059904,1146358,1181053,1444415,1024713,1059653,,,,
现金的期初余额(万元),1350918,1350918,1350918,1444415,1444415,1444415,1444415,1024713,1059653,914413,,,,
现金等价物的期末余额(万元),,,,,,,,,,,,,,
现金等价物的期初余额(万元),,,,,,,,,,,,,,
现金及现金等价物的净增加额(万元),-7769,-364003,-155014,-93497,-384511,-298057,,419703,-34940,145240,,,,

